task_id,task_type,level_min_need,task_group,task_index,task_id_before,task_condition,task_value,reward,name,content,content_param,link
200000,4,1,200001,0,0,3,1,1:2:100,Level Up Achievements,Complete all dungeons in Seoul,,4
200001,4,1,200001,1,200000,3,8,5:3000004:10,Level Up Achievements,Complete Dungeon {0},2-7,4
200002,4,1,200001,2,200001,61,10,5:3000006:50,Level Up Achievements,Standard summon 10 times,,8
200003,4,1,200001,3,200002,95,20,1:2:500,Level Up Achievements,Any Angel upgrade to Lv20,,1|0
200004,4,1,200001,4,200003,3,15,5:3000004:10,Level Up Achievements,Complete Dungeon {0},2-14,4
110002,4,1,200001,5,200004,3,20,5:3000004:10,Level Up Achievements,Complete all dungeons in Tokyo,,4
200005,4,1,200001,6,110002,1,15,5:3000004:10,Level Up Achievements,Player upgrade to Lv15 and unlock Enhance,,4
200006,4,1,200001,7,200005,22,15,5:3000006:50,Level Up Achievements,Any Angel all gears enhanced by 15 levels,,1|0
200007,4,1,200001,8,200006,95,30,1:2:500,Level Up Achievements,Any Angel upgrade to Lv30,,1|0
110003,4,1,200001,9,200007,3,40,5:3000005:5,Level Up Achievements,Complete all dungeons in Athens,,4
200008,4,1,200001,10,110003,1,20,1:2:500,Level Up Achievements,Player upgrade to Lv20 and unlock Arena,,4
200009,4,1,200001,11,200008,28,1000,1:2:500,Level Up Achievements,No.1000 in Arena,,3|0
200010,4,1,200001,12,200009,1,25,1:3:5000,Level Up Achievements,Player upgrade to Lv25 and unlock Craft,,4
200011,4,1,200001,13,200010,93,6,1:3:5000,Level Up Achievements,Craft 6 gears,,102|1
200012,4,1,200001,14,200011,95,41,5:3000006:200,Level Up Achievements,Any Angel upgrade to Lv41,,1|0
200013,4,1,200001,15,200012,3,60,5:3000005:5,Level Up Achievements,Complete all dungeons in Sparta,,4
200014,4,1,200001,16,200013,1,30,1:2:500,Level Up Achievements,Player upgrade to Lv30,,4
200015,4,1,200001,17,200014,103,1,1:2:500,Level Up Achievements,Own one SR (or higher) rarity Angel,,8
200016,4,1,200001,18,200015,3,80,5:3000005:10,Level Up Achievements,Complete all dungeons in the Great Pyramid,,4
200017,4,1,200001,19,200016,1,35,1:2:1000,Level Up Achievements,Player upgrade to Lv35 and unlock Clash of Titans,,4
110004,4,1,200001,20,200017,3,100,5:3000005:10,Level Up Achievements,Complete all dungeons in the Nile,,4
200018,4,1,200001,21,110004,1,40,5:3000007:200,Level Up Achievements,Player upgrade to Lv40 and unlock Sky-towerandTrain,,4
200019,4,1,200001,22,200018,202,1500,5:3000007:100,Level Up Achievements,Any Angel training higher than 1500,,1|2
200020,4,1,200001,23,200019,49,30,5:3000007:100,Level Up Achievements,Clear Story 30 of Sky Tower,,10
200021,4,1,200001,24,200020,3,130,5:3000005:10,Level Up Achievements,Complete all dungeons in Hell,,4
200022,4,1,200001,25,200021,49,60,5:3000007:100,Level Up Achievements,Clear Story 60 of Sky Tower,,10
200023,4,1,200001,26,200022,202,3000,5:3000008:100,Level Up Achievements,Any Angel training higher than 3000,,1|2
200024,4,1,200001,27,200023,3,160,5:3000005:10,Level Up Achievements,Complete all dungeons in Scarlet Castle,,4
