task_id,task_type,level_min_need,task_group,task_index,task_id_before,task_condition,task_value,reward,name,content,content_param,link
80001,1,1,80001,0,0,1,5,1:2:100|7:2017:15,等级提升,Upgrade to Lv.{0},5,
80002,1,1,80001,1,80001,1,10,1:2:100|7:2017:15,等级提升,Upgrade to Lv.10,,
80003,1,1,80001,2,80002,1,15,1:2:100|1:1:5000,等级提升,Upgrade to Lv.15,,
80004,1,1,80001,3,80003,1,20,1:2:100|1:1:25000,等级提升,Upgrade to Lv.20,,
80005,1,1,80001,4,80004,1,25,1:2:100|1:1:45000,等级提升,Upgrade to Lv.25,,
80006,1,1,80001,5,80005,1,30,1:2:100|1:1:50000,等级提升,Upgrade to Lv.30,,
80007,1,1,80001,6,80006,1,35,1:2:100|1:1:55000,等级提升,Upgrade to Lv.35,,
80008,1,1,80001,7,80007,1,40,1:2:100|1:1:75000,等级提升,Upgrade to Lv.40,,
80009,1,1,80001,8,80008,1,45,1:2:100|1:1:75000,等级提升,Upgrade to Lv.45,,
80010,1,1,80001,9,80009,1,50,1:2:200|1:1:135000,等级提升,Upgrade to Lv.50,,
80011,1,1,80001,10,80010,1,55,1:2:200|1:1:135000,等级提升,Upgrade to Lv.55,,
80012,1,1,80001,11,80011,1,60,1:2:200|1:1:120000,等级提升,Upgrade to Lv.60,,
80013,1,1,80001,12,80012,1,65,1:2:200|1:1:135000,等级提升,Upgrade to Lv.65,,
80014,1,1,80001,13,80013,1,70,1:2:200|1:1:145000,等级提升,Upgrade to Lv.70,,
80015,1,1,80001,14,80014,1,75,1:2:200|1:1:155000,等级提升,Upgrade to Lv.75,,
80016,1,1,80001,15,80015,1,80,1:2:200|1:1:170000,等级提升,Upgrade to Lv.80,,
80017,1,1,80001,16,80016,1,85,1:2:200|1:1:175000,等级提升,Upgrade to Lv.85,,
80018,1,1,80001,17,80017,1,90,1:2:200|1:1:255000,等级提升,Upgrade to Lv.90,,
80019,1,1,80001,18,80018,1,95,1:2:200|1:1:275000,等级提升,Upgrade to Lv.95,,
80020,1,1,80001,19,80019,1,100,1:2:300|1:1:220000,等级提升,Upgrade to Lv.100,,
