task_id,task_type,task_condition,task_value,reward,active_value,name,content,content_param,link,level_min_need
5000001,5,13,15,5:2000022:1,10,Weekly enhance,Enhance any piece of gear 15 times,,1|0,0
5000002,5,94,20,5:2000020:1,10,Weekly level up,Level up any angel 20 times,,1|0,0
5000003,5,126,10,5:2000021:1,10,Clash of Titans,Challenge 10 times in Clash of Titans,,,0
5000004,5,93,10,5:2000005:30,10,Weekly craft,Craft 10 pieces of gear or artifacts,,102|1,0
5000005,5,99,20,5:2000019:1,10,Weekly purchase,Purchase 20 times from the shop,,,0
5000006,5,33,20,5:2000018:1,10,Weekly adventure,Go on an adventure 20 times,,5,0
5000007,5,26,10,1:9:300,10,Weekly battle in arena,Challenge the Arena 10 times,,3|0,0
5000008,5,48,10,5:6000001:1,10,Weekly sweep sky-tower,Sweep Sky-tower 10 times,,10,0
5000009,5,25,5,5:2000006:1,10,Quick Combat,Quick-Combat 5 times,,4,0
5000010,5,92,20,1:2:50,10,Weekly summon,Summon 20 times,20,8,0
5000011,5,116,30,1:15:500,10,Weekly battle in secret abyss,Join a Secret Abyss battle 30 times,,18,0
5000012,5,51,5,5:1000006:1,10,Weekly battle in star trial,Join a Star Trial battle 5 times,,11,70
5000013,5,122,50,5:3000066:1,10,Weekly wish,Wish 50 times,,20,100
