npc_id,hero_cid,hero_level,hero_awake,name,avatar_path,spine_name,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
10001,2007,60,2,Ungnyeo,2007.png,XN,71930,7698,9750,859,2855,7383,7361,4955,747,4071,4071,0,0,180,90,500,700,700,450,0,0,150
10002,2018,60,2,Minotaur,2018.png,MNTLS,72039,7704,9761,859,2855,7393,7372,4965,749,4082,4082,0,0,180,90,500,700,700,450,0,0,150
10003,2020,60,2,Muse,2020.png,MS,72094,7685,9723,859,2855,7355,7355,4930,750,4066,4088,0,0,180,90,500,700,700,450,0,0,150
10004,2030,60,2,Gabriel,2030.png,WL,71897,7686,9725,859,2855,7358,7383,4932,746,4093,4068,0,0,180,90,500,700,700,450,0,0,150
10005,2005,60,2,Nephthys,2005.png,NFDS,73459,7764,9881,859,2855,7514,7514,5075,775,4224,4224,0,0,180,90,500,700,700,450,0,0,150
10006,2008,60,2,Shennong,2008.png,SN,73344,7758,9870,859,2855,7502,7502,5065,773,4213,4213,0,0,180,90,500,700,700,450,0,0,150
10007,2010,60,2,Lilith,2010.png,NBLS,73516,7767,9887,859,2855,7519,7519,5081,776,4230,4230,0,0,180,90,500,700,700,450,0,0,150
10008,2017,60,2,Raphael,2017.png,LFE,73402,7761,9875,859,2855,7508,7508,5070,774,4218,4218,0,0,180,90,500,700,700,450,0,0,150
10009,2023,60,2,Sif,2023.png,XF,73287,7755,9864,859,2855,7496,7496,5060,772,4207,4207,0,0,180,90,500,700,700,450,0,0,150
10010,2029,60,2,Apep,2029.png,APP,73367,7759,9872,859,2855,7504,7504,5067,773,4215,4215,0,0,180,90,500,700,700,450,0,0,150
20001,2010,60,2,Lilith,2010.png,NBLS,82952,10199,12451,3106,3556,8597,8597,5600,824,4491,4491,0,0,180,90,500,700,700,450,0,0,150
20002,2017,60,2,Raphael,2017.png,LFE,82838,10194,12439,3106,3556,8586,8586,5589,822,4480,4480,0,0,180,90,500,700,700,450,0,0,150
20003,2023,60,2,Sif,2023.png,XF,82723,10188,12428,3106,3556,8574,8574,5579,820,4468,4468,0,0,180,90,500,700,700,450,0,0,150
20004,2029,60,2,Apep,2029.png,APP,82803,10192,12436,3106,3556,8582,8582,5586,821,4476,4476,0,0,180,90,500,700,700,450,0,0,150
20005,2009,60,2,Geb,2009.png,GB,84920,10298,12647,3106,3556,8794,8794,5780,860,4688,4688,0,0,180,90,500,700,700,450,0,0,150
20006,2021,60,2,Iris,2021.png,YXS,84860,10295,12641,3106,3556,8788,8788,5775,859,4682,4682,0,0,180,90,500,700,700,450,0,0,150
20007,2022,60,2,Verdandi,2022.png,BLDD,84560,10280,12611,3106,3556,8758,8758,5747,854,4652,4652,0,0,180,90,500,700,700,450,0,0,150
20008,2018,60,2,Minotaur,2018.png,MNTLS,81475,10136,12325,3106,3556,8471,8450,5484,797,4344,4344,0,0,180,90,500,700,700,450,0,0,150
20009,2020,60,2,Muse,2020.png,MS,81530,10117,12286,3106,3556,8433,8433,5449,798,4327,4349,0,0,180,90,500,700,700,450,0,0,150
20010,2030,60,2,Gabriel,2030.png,WL,81334,10118,12289,3106,3556,8436,8461,5451,794,4355,4329,0,0,180,90,500,700,700,450,0,0,150
30001,2005,60,2,Nephthys,2005.png,NFDS,142260,19072,21451,7980,8430,9788,9788,6143,871,4747,4747,0,0,180,90,500,700,700,450,0,0,150
30002,2008,60,2,Shennong,2008.png,SN,142145,19067,21440,7980,8430,9777,9777,6133,869,4736,4736,0,0,180,90,500,700,700,450,0,0,150
30003,2010,60,2,Lilith,2010.png,NBLS,142317,19075,21457,7980,8430,9794,9794,6149,872,4753,4753,0,0,180,90,500,700,700,450,0,0,150
30004,2017,60,2,Raphael,2017.png,LFE,142202,19070,21446,7980,8430,9783,9783,6138,870,4742,4742,0,0,180,90,500,700,700,450,0,0,150
30005,2023,60,2,Sif,2023.png,XF,142088,19064,21434,7980,8430,9771,9771,6128,868,4730,4730,0,0,180,90,500,700,700,450,0,0,150
30006,2029,60,2,Apep,2029.png,APP,142168,19068,21442,7980,8430,9779,9779,6135,869,4738,4738,0,0,180,90,500,700,700,450,0,0,150
30007,2009,60,2,Geb,2009.png,GB,144284,19174,21654,7980,8430,9991,9991,6329,908,4950,4950,0,0,180,90,500,700,700,450,0,0,150
30008,2021,60,2,Iris,2021.png,YXS,144224,19171,21648,7980,8430,9985,9985,6324,907,4944,4944,0,0,180,90,500,700,700,450,0,0,150
30009,2022,60,2,Verdandi,2022.png,BLDD,143925,19156,21618,7980,8430,9955,9955,6296,902,4914,4914,0,0,180,90,500,700,700,450,0,0,150
30010,2027,60,2,Xiwangmu,2027.png,XWM,143985,19159,21624,7980,8430,9961,9961,6302,903,4920,4920,0,0,180,90,500,700,700,450,0,0,150
40001,2033,70,2,Nyx,2033.png,NKS,170887,25321,28234,10091,10541,13126,13126,7831,1067,5815,5815,0,0,180,90,500,700,700,450,0,0,150
40002,2034,70,2,Anubis,2034.png,ANBS,170947,25324,28240,10091,10541,13132,13132,7836,1068,5821,5821,0,0,180,90,500,700,700,450,0,0,150
40003,2001,70,2,Medusa,2001.png,MDS,174086,25481,28554,10091,10541,13446,13446,8124,1126,6135,6135,0,0,180,90,500,700,700,450,0,0,150
40004,2002,70,2,Poseidon,2002.png,BSD,174151,25484,28560,10091,10541,13453,13453,8130,1127,6141,6141,0,0,180,90,500,700,700,450,0,0,150
40005,2017,70,2,Raphael,2017.png,LFE,168821,25218,28027,10091,10541,12920,12920,7641,1029,5608,5608,0,0,180,90,500,700,700,450,0,0,150
40006,2023,70,2,Sif,2023.png,XF,168707,25212,28016,10091,10541,12908,12908,7631,1027,5597,5597,0,0,180,90,500,700,700,450,0,0,150
40007,2029,70,2,Apep,2029.png,APP,168787,25216,28024,10091,10541,12916,12916,7638,1028,5605,5605,0,0,180,90,500,700,700,450,0,0,150
50001,2027,70,2,Xiwangmu,2027.png,XWM,170767,25315,28222,10091,10541,13114,13114,7820,1065,5803,5803,0,0,180,90,500,700,700,450,0,0,150
50002,2033,70,2,Nyx,2033.png,NKS,170887,25321,28234,10091,10541,13126,13126,7831,1067,5815,5815,0,0,180,90,500,700,700,450,0,0,150
50003,2034,70,2,Anubis,2034.png,ANBS,170947,25324,28240,10091,10541,13132,13132,7836,1068,5821,5821,0,0,180,90,500,700,700,450,0,0,150
50004,2001,70,2,Medusa,2001.png,MDS,174086,25481,28554,10091,10541,13446,13446,8124,1126,6135,6135,0,0,180,90,500,700,700,450,0,0,150
50005,2002,70,2,Poseidon,2002.png,BSD,174151,25484,28560,10091,10541,13453,13453,8130,1127,6141,6141,0,0,180,90,500,700,700,450,0,0,150
50006,2003,70,2,Jeanne d'Arc,2003.png,LXF,174348,25494,28580,10091,10541,13472,13472,8148,1130,6161,6161,0,0,180,90,500,700,700,450,0,0,150
50007,2004,70,2,Siren,2004.png,Y,174282,25491,28573,10091,10541,13466,13466,8142,1129,6154,6154,0,0,180,90,500,700,700,450,0,0,150
60001,2033,70,3,Nyx,2033.png,NKS,170887,25321,28234,10091,10541,13126,13126,7831,1067,5815,5815,0,0,180,90,500,700,700,450,0,0,150
60002,2034,70,3,Anubis,2034.png,ANBS,170947,25324,28240,10091,10541,13132,13132,7836,1068,5821,5821,0,0,180,90,500,700,700,450,0,0,150
60003,2011,70,3,Nuit,2011.png,NT,174217,25487,28567,10091,10541,13459,13459,8136,1128,6148,6148,0,0,180,90,500,700,700,450,0,0,150
60004,2014,70,3,Nike,2014.png,NK,174086,25481,28554,10091,10541,13446,13446,8124,1126,6135,6135,0,0,180,90,500,700,700,450,0,0,150
60005,2015,70,3,Idun,2015.png,YD,174021,25478,28547,10091,10541,13440,13440,8118,1124,6128,6128,0,0,180,90,500,700,700,450,0,0,150
60006,2019,70,3,Nemesis,2019.png,NMXS,174151,25484,28560,10091,10541,13453,13453,8130,1127,6141,6141,0,0,180,90,500,700,700,450,0,0,150
60007,2036,70,3,Phantasos,2036.png,FTSS,174282,25491,28573,10091,10541,13466,13466,8142,1129,6154,6154,0,0,180,90,500,700,700,450,0,0,150
70001,2002,80,3,Poseidon,2002.png,BSD,181607,25857,29306,10091,10541,14198,14198,8814,1264,6887,6887,0,0,180,90,500,700,700,450,0,0,150
70002,2003,80,3,Jeanne d'Arc,2003.png,LXF,181803,25867,29325,10091,10541,14218,14218,8832,1267,6906,6906,0,0,180,90,500,700,700,450,0,0,150
70003,2004,80,3,Siren,2004.png,Y,181738,25864,29319,10091,10541,14211,14211,8826,1266,6900,6900,0,0,180,90,500,700,700,450,0,0,150
70004,2027,80,3,Xiwangmu,2027.png,XWM,177601,25657,28905,10091,10541,13798,13798,8447,1190,6486,6486,0,0,180,90,500,700,700,450,0,0,150
70005,2033,80,3,Nyx,2033.png,NKS,177721,25663,28917,10091,10541,13810,13810,8458,1192,6498,6498,0,0,180,90,500,700,700,450,0,0,150
70006,2034,80,3,Anubis,2034.png,ANBS,177781,25666,28923,10091,10541,13816,13816,8463,1193,6504,6504,0,0,180,90,500,700,700,450,0,0,150
70007,2019,80,3,Nemesis,2019.png,NMXS,181607,25857,29306,10091,10541,14198,14198,8814,1264,6887,6887,0,0,180,90,500,700,700,450,0,0,150
70008,2009,80,3,Geb,2009.png,GB,177901,25672,28935,10091,10541,13828,13828,8474,1196,6516,6516,0,0,180,90,500,700,700,450,0,0,150
80001,2026,80,3,Fuxi,2026.png,FX,189728,26263,30118,10091,10541,15010,15010,9559,1413,7699,7699,0,0,180,90,500,700,700,450,0,0,150
80002,2028,80,3,Princess Bari,2028.png,BLGZ,189880,26271,30133,10091,10541,15026,15026,9573,1415,7714,7714,0,0,180,90,500,700,700,450,0,0,150
80003,2038,80,3,Izu Dancer,2038.png,WN,190033,26278,30148,10091,10541,15041,15041,9587,1418,7729,7729,0,0,180,90,500,700,700,450,0,0,150
80004,2004,80,3,Siren,2004.png,Y,181738,25864,29319,10091,10541,14211,14211,8826,1266,6900,6900,0,0,180,90,500,700,700,450,0,0,150
80005,2011,80,3,Nuit,2011.png,NT,181672,25860,29312,10091,10541,14205,14205,8820,1265,6893,6893,0,0,180,90,500,700,700,450,0,0,150
80006,2014,80,3,Nike,2014.png,NK,181542,25854,29299,10091,10541,14192,14192,8808,1262,6880,6880,0,0,180,90,500,700,700,450,0,0,150
80007,2015,80,3,Idun,2015.png,YD,181476,25850,29293,10091,10541,14185,14185,8802,1261,6874,6874,0,0,180,90,500,700,700,450,0,0,150
80008,2019,80,3,Nemesis,2019.png,NMXS,181607,25857,29306,10091,10541,14198,14198,8814,1264,6887,6887,0,0,180,90,500,700,700,450,0,0,150
90001,2038,80,3,Izu Dancer,2038.png,WN,190033,26278,30148,10091,10541,15041,15041,9587,1418,7729,7729,0,0,180,90,500,700,700,450,0,0,150
90002,2040,80,3,Zhu Rong,2040.png,HSZR,189728,26263,30118,10091,10541,15010,15010,9559,1413,7699,7699,0,0,180,90,500,700,700,450,0,0,150
90003,2041,80,3,Hephaestus,2041.png,HFSTS,189575,26255,30103,10091,10541,14995,14995,9545,1410,7683,7683,0,0,180,90,500,700,700,450,0,0,150
90004,2046,80,3,Izanami,2046.png,YXNM,190185,26286,30164,10091,10541,15056,15056,9601,1421,7744,7744,0,0,180,90,500,700,700,450,0,0,150
90005,2001,80,3,Medusa,2001.png,MDS,181542,25854,29299,10091,10541,14192,14192,8808,1262,6880,6880,0,0,180,90,500,700,700,450,0,0,150
90006,2002,80,3,Poseidon,2002.png,BSD,181607,25857,29306,10091,10541,14198,14198,8814,1264,6887,6887,0,0,180,90,500,700,700,450,0,0,150
90007,2003,80,3,Jeanne d'Arc,2003.png,LXF,181803,25867,29325,10091,10541,14218,14218,8832,1267,6906,6906,0,0,180,90,500,700,700,450,0,0,150
90008,2004,80,3,Siren,2004.png,Y,181738,25864,29319,10091,10541,14211,14211,8826,1266,6900,6900,0,0,180,90,500,700,700,450,0,0,150
100001,2038,90,4,Izu Dancer,2038.png,WN,196137,26583,30759,10091,10541,15651,15651,10147,1530,8340,8340,0,0,180,90,500,700,700,450,0,0,150
100002,2040,90,4,Zhu Rong,2040.png,HSZR,195832,26568,30728,10091,10541,15621,15621,10119,1525,8309,8309,0,0,180,90,500,700,700,450,0,0,150
100003,2041,90,4,Hephaestus,2041.png,HFSTS,195679,26561,30713,10091,10541,15606,15606,10105,1522,8294,8294,0,0,180,90,500,700,700,450,0,0,150
100004,2046,90,4,Izanami,2046.png,YXNM,196289,26591,30774,10091,10541,15667,15667,10161,1533,8355,8355,0,0,180,90,500,700,700,450,0,0,150
100005,2014,90,4,Nike,2014.png,NK,186774,26115,29822,10091,10541,14715,14715,9288,1358,7403,7403,0,0,180,90,500,700,700,450,0,0,150
100006,2015,90,4,Idun,2015.png,YD,186708,26112,29816,10091,10541,14708,14708,9282,1357,7397,7397,0,0,180,90,500,700,700,450,0,0,150
100007,2019,90,4,Nemesis,2019.png,NMXS,186839,26119,29829,10091,10541,14722,14722,9294,1360,7410,7410,0,0,180,90,500,700,700,450,0,0,150
100008,2036,90,4,Phantasos,2036.png,FTSS,186970,26125,29842,10091,10541,14735,14735,9306,1362,7423,7423,0,0,180,90,500,700,700,450,0,0,150
100009,2034,90,4,Anubis,2034.png,ANBS,182577,25905,29403,10091,10541,14295,14295,8903,1281,6984,6984,0,0,180,90,500,700,700,450,0,0,150
110001,2001,90,4,Medusa,2001.png,MDS,186774,26115,29822,10091,10541,14715,14715,9288,1358,7403,7403,0,0,180,90,500,700,700,450,0,0,150
110002,2002,90,4,Poseidon,2002.png,BSD,186839,26119,29829,10091,10541,14722,14722,9294,1360,7410,7410,0,0,180,90,500,700,700,450,0,0,150
110003,2003,90,4,Jeanne d'Arc,2003.png,LXF,187035,26128,29849,10091,10541,14741,14741,9312,1363,7429,7429,0,0,180,90,500,700,700,450,0,0,150
110004,2004,90,4,Siren,2004.png,Y,186970,26125,29842,10091,10541,14735,14735,9306,1362,7423,7423,0,0,180,90,500,700,700,450,0,0,150
110005,2026,90,4,Fuxi,2026.png,FX,195832,26568,30728,10091,10541,15621,15621,10119,1525,8309,8309,0,0,180,90,500,700,700,450,0,0,150
110006,2028,90,4,Princess Bari,2028.png,BLGZ,195984,26576,30743,10091,10541,15636,15636,10133,1527,8324,8324,0,0,180,90,500,700,700,450,0,0,150
110007,2038,90,4,Izu Dancer,2038.png,WN,196137,26583,30759,10091,10541,15651,15651,10147,1530,8340,8340,0,0,180,90,500,700,700,450,0,0,150
110008,2040,90,4,Zhu Rong,2040.png,HSZR,195832,26568,30728,10091,10541,15621,15621,10119,1525,8309,8309,0,0,180,90,500,700,700,450,0,0,150
