cfg_id,name,icon,armor_part,level,strength,agility,intelligence,stamina,secondary_attr,exp
10001,Shortsword,1101.png,1,10,3000,3000,3000,3000,3:1:100|3:7:10|3:8:10,5
10002,Saber,1102.png,1,20,4000,4000,4000,4000,3:1:150|3:7:20|3:8:20,5
10003,Longsword,1103.png,1,30,5000,5000,5000,5000,3:1:200|3:7:30|3:8:30,5
10004,Valor Sword,1104.png,1,40,6000,6000,6000,6000,3:1:250|3:7:40|3:8:40,5
10005,Destiny,1105.png,1,50,7000,7000,7000,7000,3:1:300|3:7:50|3:8:50,5
10006,Bliss Sword,1106.png,1,60,8000,8000,8000,8000,3:1:350|3:7:60|3:8:60,5
10007,Galaxy,1107.png,1,70,9000,9000,9000,9000,3:1:400|3:7:70|3:8:70,5
10008,Blood Blade,1108.png,1,80,10000,10000,10000,10000,3:1:450|3:7:80|3:8:80,5
10009,Avenger,1109.png,1,90,12000,12000,12000,12000,3:1:500|3:7:90|3:8:90,5
10010,Rune Sword,1110.png,1,100,14000,14000,14000,14000,3:1:550|3:7:100|3:8:100,5
10011,Marshal,1111.png,1,110,16000,16000,16000,16000,3:1:650|3:7:110|3:8:110,5
10012,Wizardry,1112.png,1,120,18000,18000,18000,18000,3:1:750|3:7:120|3:8:120,5
10013,Banshee,1113.png,1,130,20000,20000,20000,20000,3:1:850|3:7:130|3:8:130,5
10014,Void Sabre,1114.png,1,140,22000,22000,22000,22000,3:1:950|3:7:140|3:8:140,5
10015,Soul Blade,1115.png,1,150,24000,24000,24000,24000,3:1:1050|3:7:150|3:8:150,5
10016,Starlight,1116.png,1,160,26000,26000,26000,26000,3:1:1150|3:7:160|3:8:160,5
10017,Nostalgia,1117.png,1,170,28000,28000,28000,28000,3:1:1250|3:7:170|3:8:170,5
10018,Bloodvenom,1118.png,1,180,30000,30000,30000,30000,3:1:1350|3:7:180|3:8:180,5
10019,Crescent,1119.png,1,190,35000,35000,35000,35000,3:1:1450|3:7:190|3:8:190,5
10020,Dominator,1120.png,1,200,40000,40000,40000,40000,3:1:1550|3:7:200|3:8:200,5
10021,Titan Blade,1121.png,1,210,45000,45000,45000,45000,3:1:1700|3:7:210|3:8:210,5
10022,Sentinel,1122.png,1,220,50000,50000,50000,50000,3:1:1850|3:7:220|3:8:220,5
10023,Razor-Sharp,1123.png,1,230,55000,55000,55000,55000,3:1:2000|3:7:230|3:8:230,5
10024,Magister,1124.png,1,240,60000,60000,60000,60000,3:1:2150|3:7:240|3:8:240,5
10025,Soulrip,1125.png,1,250,65000,65000,65000,65000,3:1:2300|3:7:250|3:8:250,5
10026,Steel Saber,1126.png,1,260,70000,70000,70000,70000,3:1:2450|3:7:260|3:8:260,5
10027,Citadel,1127.png,1,270,75000,75000,75000,75000,3:1:2600|3:7:270|3:8:270,5
10028,Terror,1128.png,1,280,80000,80000,80000,80000,3:1:2750|3:7:280|3:8:280,5
10029,Scryer,1129.png,1,290,85000,85000,85000,85000,3:1:2900|3:7:290|3:8:290,5
10030,Lost Souls,1130.png,1,300,90000,90000,90000,90000,3:1:3000|3:7:300|3:8:300,5
20001,Cloth Cap,3001.png,2,10,3000,3000,3000,3000,2:7:7000|3:15:10,5
20002,Blossoms,3002.png,2,20,4000,4000,4000,4000,2:7:8400|3:15:20,5
20003,Thick Cap,3003.png,2,30,5000,5000,5000,5000,2:7:10080|3:15:30,5
20004,Light Hood,3004.png,2,40,6000,6000,6000,6000,2:7:12096|3:15:40,5
20005,Studded Cap,3005.png,2,50,7000,7000,7000,7000,2:7:14515|3:15:50,5
20006,Headguard,3006.png,2,60,8000,8000,8000,8000,2:7:17418|3:15:60,5
20007,Double Mail,3007.png,2,70,9000,9000,9000,9000,2:7:20902|3:15:70,5
20008,Banded Cap,3008.png,2,80,10000,10000,10000,10000,2:7:25082|3:15:80,5
20009,Sunblaze Cap,3009.png,2,90,12000,12000,12000,12000,2:7:30098|3:15:90,5
20010,Springrain,3010.png,2,100,14000,14000,14000,14000,2:7:36118|3:15:100,5
20011,Babaric Iron,3011.png,2,110,16000,16000,16000,16000,2:7:43342|3:15:110,5
20012,HolyLeather,3012.png,2,120,18000,18000,18000,18000,2:7:52010|3:15:120,5
20013,Winged Cap,3013.png,2,130,20000,20000,20000,20000,2:7:62412|3:15:130,5
20014,Abyss Cap,3014.png,2,140,22000,22000,22000,22000,2:7:74894|3:15:140,5
20015,Poisonbinder,3015.png,2,150,24000,24000,24000,24000,2:7:89873|3:15:150,5
20016,Shodowfang,3016.png,2,160,26000,26000,26000,26000,2:7:107848|3:15:160,5
20017,Seaman Cap,3017.png,2,170,28000,28000,28000,28000,2:7:129418|3:15:170,5
20018,Molten Cap,3018.png,2,180,30000,30000,30000,30000,2:7:155302|3:15:180,5
20019,Wildstalker,3019.png,2,190,35000,35000,35000,35000,2:7:186362|3:15:190,5
20020,Killer Cap,3020.png,2,200,40000,40000,40000,40000,2:7:223634|3:15:200,5
20021,Divine Cap,3021.png,2,210,45000,45000,45000,45000,2:7:268361|3:15:210,5
20022,Irondragon,3022.png,2,220,50000,50000,50000,50000,2:7:322033|3:15:220,5
20023,Liberty Cap,3023.png,2,230,55000,55000,55000,55000,2:7:386440|3:15:230,5
20024,Samurai Mask,3024.png,2,240,60000,60000,60000,60000,2:7:463728|3:15:240,5
20025,Evil Dragon,3025.png,2,250,65000,65000,65000,65000,2:7:556474|3:15:250,5
20026,Seperation,3026.png,2,260,70000,70000,70000,70000,2:7:667769|3:15:260,5
20027,Fervent Cap,3027.png,2,270,75000,75000,75000,75000,2:7:801323|3:15:270,5
20028,Outrider,3028.png,2,280,80000,80000,80000,80000,2:7:961588|3:15:280,5
20029,Dragonflayer,3029.png,2,290,85000,85000,85000,85000,2:7:1153906|3:15:290,5
20030,Vengence,3030.png,2,300,90000,90000,90000,90000,2:7:1384687|3:15:300,5
30001,Recruit,5001.png,4,10,3000,3000,3000,3000,2:5:5000|2:17:10,5
30002,Chaine Armor,5002.png,4,20,4000,4000,4000,4000,2:5:6000|2:17:20,5
30003,Hard Armor,5003.png,4,30,5000,5000,5000,5000,2:5:7200|2:17:30,5
30004,Guard Armor,5004.png,4,40,6000,6000,6000,6000,2:5:8640|2:17:40,5
30005,Riff Armor,5005.png,4,50,7000,7000,7000,7000,2:5:10368|2:17:50,5
30006,Magma Armor,5006.png,4,60,8000,8000,8000,8000,2:5:12442|2:17:60,5
30007,Droplet,5007.png,4,70,9000,9000,9000,9000,2:5:14930|2:17:70,5
30008,Brutish,5008.png,4,80,10000,10000,10000,10000,2:5:17916|2:17:80,5
30009,Thorium,5009.png,4,90,12000,12000,12000,12000,2:5:21499|2:17:90,5
30010,Archon,5010.png,4,100,14000,14000,14000,14000,2:5:25799|2:17:100,5
30011,Honor Armor,5011.png,4,110,16000,16000,16000,16000,2:5:30959|2:17:110,5
30012,Fortune,5012.png,4,120,18000,18000,18000,18000,2:5:37151|2:17:120,5
30013,Runes,5013.png,4,130,20000,20000,20000,20000,2:5:44581|2:17:130,5
30014,Justice,5014.png,4,140,22000,22000,22000,22000,2:5:53497|2:17:140,5
30015,Space time,5015.png,4,150,24000,24000,24000,24000,2:5:64196|2:17:150,5
30016,Embrodium,5016.png,4,160,26000,26000,26000,26000,2:5:77035|2:17:160,5
30017,Bonesnap,5017.png,4,170,28000,28000,28000,28000,2:5:92442|2:17:170,5
30018,Terror Armor,5018.png,4,180,30000,30000,30000,30000,2:5:110930|2:17:180,5
30019,Lost Armor,5019.png,4,190,35000,35000,35000,35000,2:5:133116|2:17:190,5
30020,Elementium,5020.png,4,200,40000,40000,40000,40000,2:5:159739|2:17:200,5
30021,Bloodsoake,5021.png,4,210,45000,45000,45000,45000,2:5:191687|2:17:210,5
30022,Chief Armor,5022.png,4,220,50000,50000,50000,50000,2:5:230024|2:17:220,5
30023,Frost Armor,5023.png,4,230,55000,55000,55000,55000,2:5:276029|2:17:230,5
30024,Flame Armor,5024.png,4,240,60000,60000,60000,60000,2:5:331235|2:17:240,5
30025,Flame Warden,5025.png,4,250,65000,65000,65000,65000,2:5:397482|2:17:250,5
30026,Twist Armor,5026.png,4,260,70000,70000,70000,70000,2:5:476978|2:17:260,5
30027,Hyaline,5027.png,4,270,75000,75000,75000,75000,2:5:572374|2:17:270,5
30028,Earth Warder,5028.png,4,280,80000,80000,80000,80000,2:5:686849|2:17:280,5
30029,Stalker,5029.png,4,290,85000,85000,85000,85000,2:5:824219|2:17:290,5
30030,Gravity,5030.png,4,300,90000,90000,90000,90000,2:5:989063|2:17:300,5
40001,Flax Belt,6001.png,8,10,3000,3000,3000,3000,3:2:100|3:9:10,5
40002,Hide Belt,6002.png,8,20,4000,4000,4000,4000,3:2:150|3:9:20,5
40003,Sturdy Belt,6003.png,8,30,5000,5000,5000,5000,3:2:200|3:9:30,5
40004,Latched Belt,6004.png,8,40,6000,6000,6000,6000,3:2:250|3:9:40,5
40005,Warrior Belt,6005.png,8,50,7000,7000,7000,7000,3:2:300|3:9:50,5
40006,Vanguard,6006.png,8,60,8000,8000,8000,8000,3:2:350|3:9:60,5
40007,Quiet Belt,6007.png,8,70,9000,9000,9000,9000,3:2:400|3:9:70,5
40008,Gladiator,6008.png,8,80,10000,10000,10000,10000,3:2:450|3:9:80,5
