level,need_exp,strength,agility,intelligence,stamina,game_play_damage_add,game_play_damage_minus
1,9000,1000,1000,1000,1000,20,20
2,9200,2000,2000,2000,2000,40,40
3,9400,3000,3000,3000,3000,60,60
4,9600,4000,4000,4000,4000,80,80
5,9800,5000,5000,5000,5000,100,100
6,10000,6000,6000,6000,6000,120,120
7,10200,7000,7000,7000,7000,140,140
8,10400,8000,8000,8000,8000,160,160
9,10600,9000,9000,9000,9000,180,180
10,10800,10000,10000,10000,10000,200,200
11,11000,11000,11000,11000,11000,220,220
12,11200,12000,12000,12000,12000,240,240
13,11400,13000,13000,13000,13000,260,260
14,11600,14000,14000,14000,14000,280,280
15,11800,15000,15000,15000,15000,300,300
16,12000,16000,16000,16000,16000,320,320
17,12200,17000,17000,17000,17000,340,340
18,12400,18000,18000,18000,18000,360,360
19,12600,19000,19000,19000,19000,380,380
20,16881,20000,20000,20000,20000,400,400
21,16980,21000,21000,21000,21000,420,420
22,17079,22000,22000,22000,22000,440,440
23,17178,23000,23000,23000,23000,460,460
24,17277,24000,24000,24000,24000,480,480
25,17376,25000,25000,25000,25000,500,500
26,17475,26000,26000,26000,26000,520,520
27,17574,27000,27000,27000,27000,540,540
28,17673,28000,28000,28000,28000,560,560
29,17772,29000,29000,29000,29000,580,580
30,17871,30000,30000,30000,30000,600,600
31,17970,31000,31000,31000,31000,620,620
32,18069,32000,32000,32000,32000,640,640
33,18168,33000,33000,33000,33000,660,660
34,18267,34000,34000,34000,34000,680,680
35,18366,35000,35000,35000,35000,700,700
36,18465,36000,36000,36000,36000,720,720
37,18564,37000,37000,37000,37000,740,740
38,18663,38000,38000,38000,38000,760,760
39,18762,39000,39000,39000,39000,780,780
40,18861,40000,40000,40000,40000,800,800
41,18960,41000,41000,41000,41000,820,820
42,19059,42000,42000,42000,42000,840,840
43,19158,43000,43000,43000,43000,860,860
44,19257,44000,44000,44000,44000,880,880
45,19356,45000,45000,45000,45000,900,900
46,19455,46000,46000,46000,46000,920,920
47,19554,47000,47000,47000,47000,940,940
48,19653,48000,48000,48000,48000,960,960
49,19752,49000,49000,49000,49000,980,980
50,19851,50000,50000,50000,50000,1000,1000
51,20000,52000,52000,52000,52000,1020,1020
52,20691,54000,54000,54000,54000,1040,1040
53,21382,56000,56000,56000,56000,1060,1060
54,22073,58000,58000,58000,58000,1080,1080
55,22764,60000,60000,60000,60000,1100,1100
56,23455,62000,62000,62000,62000,1120,1120
57,24146,64000,64000,64000,64000,1140,1140
58,24837,66000,66000,66000,66000,1160,1160
59,25528,68000,68000,68000,68000,1180,1180
60,26219,70000,70000,70000,70000,1200,1200
61,26910,72000,72000,72000,72000,1220,1220
62,27601,74000,74000,74000,74000,1240,1240
