npc_id,hero_cid,quality_level,level,awake,if_advance,god_awake,if_super,super_awake,if_mr,mr_awake,if_incarnation,incarnation_awake,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed,game_play_damage_add,game_play_damage_minus
100101,2079,7,10,5,0,0,0,0,0,0,0,0,2400,2400,144,160,0,0,0,0,97,32,160,1600,150,150,0,0,0,0,0,0,0,0,46,0,0
100102,2025,6,10,5,0,0,0,0,0,0,0,0,2416,2416,145,162,0,0,0,0,98,32,162,1602,150,150,0,0,0,0,0,0,0,0,46,0,0
100103,2059,6,10,5,0,0,0,0,0,0,0,0,2400,2400,144,160,0,0,0,0,97,32,160,1600,150,150,0,0,0,0,0,0,0,0,46,0,0
100104,2048,6,10,5,0,0,0,0,0,0,0,0,2416,2416,145,162,0,0,0,0,98,32,162,1602,150,150,0,0,0,0,0,0,0,0,46,0,0
100105,2013,5,10,5,0,0,0,0,0,0,0,0,2400,2400,144,160,0,0,0,0,97,32,160,1600,150,150,0,0,0,0,0,0,0,0,46,0,0
100106,2052,6,10,5,0,0,0,0,0,0,0,0,2416,2416,145,162,0,0,0,0,98,32,162,1602,150,150,0,0,0,0,0,0,0,0,46,0,0
100201,2076,7,10,5,0,0,0,0,0,0,0,0,7200,7200,432,480,0,0,0,0,290,96,480,4800,150,150,0,0,0,0,0,0,0,0,46,0,0
100202,2028,5,10,5,0,0,0,0,0,0,0,0,7248,7248,436,485,0,0,0,0,293,97,485,4805,150,150,0,0,0,0,0,0,0,0,46,0,0
100203,2016,6,10,5,0,0,0,0,0,0,0,0,7200,7200,432,480,0,0,0,0,290,96,480,4800,150,150,0,0,0,0,0,0,0,0,46,0,0
100204,2054,6,10,5,0,0,0,0,0,0,0,0,7248,7248,436,485,0,0,0,0,293,97,485,4805,150,150,0,0,0,0,0,0,0,0,46,0,0
100205,2042,7,10,5,0,0,0,0,0,0,0,0,7200,7200,432,480,0,0,0,0,290,96,480,4800,150,150,0,0,0,0,0,0,0,0,46,0,0
100206,2012,6,10,5,0,0,0,0,0,0,0,0,7248,7248,436,485,0,0,0,0,293,97,485,4805,150,150,0,0,0,0,0,0,0,0,46,0,0
100301,2054,6,10,5,0,0,0,0,0,0,0,0,12000,12000,720,801,0,0,0,0,483,160,800,8000,150,150,0,0,0,0,0,0,0,0,46,0,0
100302,2031,6,10,5,0,0,0,0,0,0,0,0,12080,12080,727,809,0,0,0,0,488,162,808,8008,150,150,0,0,0,0,0,0,0,0,46,0,0
100303,2016,6,10,5,0,0,0,0,0,0,0,0,12000,12000,720,801,0,0,0,0,483,160,800,8000,150,150,0,0,0,0,0,0,0,0,46,0,0
100304,2059,6,10,5,0,0,0,0,0,0,0,0,12080,12080,727,809,0,0,0,0,488,162,808,8008,150,150,0,0,0,0,0,0,0,0,46,0,0
100305,2067,7,10,5,0,0,0,0,0,0,0,0,12000,12000,720,801,0,0,0,0,483,160,800,8000,150,150,0,0,0,0,0,0,0,0,46,0,0
100306,2041,5,10,5,0,0,0,0,0,0,0,0,12080,12080,727,809,0,0,0,0,488,162,808,8008,150,150,0,0,0,0,0,0,0,0,46,0,0
100401,2082,7,10,5,0,0,0,0,0,0,0,0,24000,24000,1441,1601,0,0,0,0,966,320,1600,16000,150,150,0,0,0,0,0,0,0,0,46,0,0
100402,2062,6,10,5,0,0,0,0,0,0,0,0,24160,24160,1455,1617,0,0,0,0,976,323,1616,16016,150,150,0,0,0,0,0,0,0,0,46,0,0
100403,2046,5,10,5,0,0,0,0,0,0,0,0,24000,24000,1441,1601,0,0,0,0,966,320,1600,16000,150,150,0,0,0,0,0,0,0,0,46,0,0
100404,2048,6,10,5,0,0,0,0,0,0,0,0,24160,24160,1455,1617,0,0,0,0,976,323,1616,16016,150,150,0,0,0,0,0,0,0,0,46,0,0
100405,2085,6,10,5,0,0,0,0,0,0,0,0,24000,24000,1441,1601,0,0,0,0,966,320,1600,16000,150,150,0,0,0,0,0,0,0,0,46,0,0
100406,2035,6,10,5,0,0,0,0,0,0,0,0,24160,24160,1455,1617,0,0,0,0,976,323,1616,16016,150,150,0,0,0,0,0,0,0,0,46,0,0
