npc_id,name,avatar_path,spine_name,spine_name_shenhe,role,job,level,skill_id_list,skill_id_normal_attack,hp,minatk,maxatk,pdef,mdef,def,defend_ignore_level,hit,dhit,cir,dcir,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed,game_play_damage_add,game_play_damage_minus
100501,Dragon Priest,NPC16.jpg,NPC16,CE0,32,1,200,110102001|110002001,0,44000,15844,17612,0,0,0,0,5314,88,8800,88800,150,150,0,0,0,0,0,0,0,0,46,0,0
101001,Beria,NPC8.jpg,NPC8,USER_MAIN_WSJ3,32,2,200,113701001|114001001,0,272000,34572,38424,0,0,0,0,115920,384,19200,179200,150,150,0,0,0,0,0,0,0,0,46,100,100
101501,Enenra,NPC4.jpg,NPC4,HFSTS0,32,3,200,112701001|111201001,0,1320000,142584,158454,26400,26400,0,0,160380,528,79200,532800,150,150,0,0,0,0,0,0,0,0,92,250,250
102001,Soul Reaper,NPC4.jpg,NPC4,USER_HF,32,3,200,112301001|112302001,0,3808000,241962,268884,115200,115200,0,0,233280,768,115200,716800,150,150,0,0,0,0,0,0,0,0,92,400,400
102501,Dark Elf,NPC6.jpg,NPC6,USER_GEJ_SH,32,1,200,111201001|116001001,0,7402780,666295,740355,310365,310365,15675,15675,592520,1923,291303,1959682,150,150,10,10,500,500,500,310,150,10,230,800,800
103001,Wraith,NPC6.jpg,NPC6,BMH_HS_SH,32,2,200,110002001|115102001,0,17204000,1093030,1214530,356400,356400,18000,18000,680400,2208,334512,2081408,150,150,10,10,500,500,500,310,150,10,230,1000,1000
103501,Shadow Sage,NPC44.jpg,NPC44,SDNS0,32,3,200,114001001|115101001,0,49302000,4437260,4930350,1208196,1208196,17820,17820,2396610,7888,1195083,8039642,150,150,10,10,500,500,500,310,150,10,299,1200,1200
104001,Ear of Stasis,NPC16.jpg,NPC16,HFSTS0,32,2,200,112701001|124102001,0,84660000,5378500,5976180,1464480,1464480,21600,21600,2904980,9562,1448583,9013402,150,150,10,10,500,500,500,310,150,10,299,1300,1300
104501,Mouth of Rebellion,NPC6.jpg,NPC6,YXS0,32,3,200,115102001|110102001,0,70424640,6338300,7042630,1596594,1596594,22572,22572,3178140,10433,1596294,10738696,150,150,20,20,600,600,600,320,150,20,368,1500,1500
105001,Jorogumo,NPC17.jpg,NPC17,MJL0,32,1,200,113901001|111201001,0,114566400,7278430,8087230,1833408,1833408,25920,25920,3649540,11981,1833063,11405722,150,150,20,20,600,600,600,320,150,20,368,1600,1600
105501,Kappa,NPC12.jpg,NPC12,HFSTS0,32,2,200,110002001|110102001,0,84407400,7596750,8440910,1781286,1781286,24948,24948,3548850,11642,1798752,12100688,150,150,30,30,700,700,700,330,150,30,414,1700,1700
106001,Hydra,NPC13.jpg,NPC13,YXNM1,32,3,200,114001001|113701001,0,149083200,9471280,10523720,2220825,2220825,31104,31104,4424540,14515,2242599,13953946,150,150,30,30,700,700,700,330,150,30,414,1800,1800
106501,Corrupted Griffin,NPC7.jpg,NPC7,YD0,32,1,200,111201001|112701001,0,103958910,9356390,10396060,2186799,2186799,25662,25662,4373030,14339,2215398,14903592,150,150,30,30,700,700,700,330,150,30,520,1900,1900
107001,Ghoul,NPC10.jpg,NPC10,ZRNZ_YS1,32,2,200,112302001|112301001,0,178515300,11341080,12601280,2650665,2650665,31104,31104,5300640,17381,2685333,16708742,150,150,30,30,700,700,700,330,150,30,520,2000,2000
107501,Griffin,NPC5.jpg,NPC5,CE0,32,3,200,116001001|111201001,0,176911350,15922120,17691330,3163878,3163878,29937,29937,6327780,20813,3246843,21842402,150,150,40,40,800,800,800,340,150,40,572,2100,2100
108001,Hitouban,NPC2.jpg,NPC2,HFSTS0,32,2,200,115102001|110002001,0,312466800,19850950,22056720,3944574,3944574,37326,37326,7889180,25949,4048014,25187636,150,150,40,40,800,800,800,340,150,40,572,2200,2200
108501,Alphard,NPC8.jpg,NPC8,R_UR_PLUS_SH,32,3,200,115101001|114001001,0,238565250,21470980,23856730,4026384,4026384,35928,35928,8060460,26507,4174893,28085642,150,150,50,50,900,900,900,350,150,50,650,2400,2400
109001,Enenra,NPC4.jpg,NPC4,WN0,32,1,200,124102001|112701001,0,421362000,26769010,29743460,5019906,5019906,44790,44790,10049400,33048,5205060,32387040,150,150,50,50,900,900,900,350,150,50,650,2500,2500
109501,Alpha Crateris,NPC13.jpg,NPC13,MJL0,32,2,200,124602001|113101001,0,313374600,28203820,31337680,5008374,5008374,43110,43110,10031870,32987,5244900,35283880,150,150,60,60,1000,1000,1000,360,150,60,728,2700,2700
110001,Pale Lady,NPC4.jpg,NPC4,WN0,32,2,200,110102001|115102001,0,553492800,35163200,39070360,6244206,6244206,53748,53748,12507260,41126,6539097,40687718,150,150,60,60,1000,1000,1000,360,150,60,728,2800,2800
110501,Dragon Priest,NPC16.jpg,NPC16,CE0,32,1,200,111201001|113901001,0,417879000,37609230,41788130,6340611,6340611,51735,51735,12702870,41788,6706959,45119546,150,150,70,70,1100,1100,1100,370,150,70,930,3000,3000
111001,Beria,NPC8.jpg,NPC8,USER_MAIN_WSJ3,32,2,200,112701001|111201001,0,738072000,46889420,52099490,7905174,7905174,64497,64497,15837340,52099,8361921,52029734,150,150,70,70,1100,1100,1100,370,150,70,930,3100,3100
111501,Enenra,NPC4.jpg,NPC4,HFSTS0,32,3,200,112301001|112302001,0,769022100,69212140,76902520,8631600,8631600,62079,62079,17289660,56965,9228264,62081056,150,150,80,80,1200,1200,1200,380,150,80,1020,3300,3300
112001,Soul Reaper,NPC4.jpg,NPC4,USER_HF,32,3,200,111201001|116001001,0,1358272800,86290460,95878460,10761474,10761474,77397,77397,21555940,71021,11505369,71588966,150,150,80,80,1200,1200,1200,380,150,80,1020,3400,3400
112501,Dark Elf,NPC6.jpg,NPC6,USER_GEJ_SH,32,1,200,115102001|110002001,0,881109900,79300050,88111310,9232929,9232929,84285,84285,18453490,60766,10026423,67450482,150,150,100,100,1400,1400,1400,400,150,100,1110,3600,3600
113001,Wraith,NPC6.jpg,NPC6,BMH_HS_SH,32,2,200,115101001|114001001,0,1650564000,104859560,116510820,12208830,12208830,111453,111453,24401300,80352,13258080,82494720,150,150,100,100,1400,1400,1400,400,150,100,1110,3700,3700
113501,Shadow Sage,NPC44.jpg,NPC44,SDNS0,32,3,200,124102001|112701001,0,1097712000,98794260,109771550,11127300,11127300,107274,107274,22231440,73181,12184602,81969148,150,150,110,110,1500,1500,1500,410,150,110,1200,3900,3900
114001,Ear of Stasis,NPC16.jpg,NPC16,HFSTS0,32,2,200,110102001|115102001,0,1938816000,123172060,136858030,13872996,13872996,133743,133743,27717120,91238,15191193,94522982,150,150,110,110,1500,1500,1500,410,150,110,1200,4000,4000
114501,Mouth of Rebellion,NPC6.jpg,NPC6,YXS0,32,3,200,111201001|113901001,0,1269645300,114268260,126964880,12467106,12467106,128727,128727,24894120,81913,13761318,92576132,150,150,120,120,1600,1600,1600,420,150,120,1290,4200,4200
115001,Jorogumo,NPC17.jpg,NPC17,MJL0,32,1,200,110002001|110102001,0,2242490400,142464320,158293880,15543402,15543402,160491,160491,31036820,102125,17156967,106754458,150,150,120,120,1600,1600,1600,420,150,120,1290,4300,4300
115501,Kappa,NPC12.jpg,NPC12,HFSTS0,32,2,200,114001001|113701001,0,1968955560,177206210,196895990,15390492,15390492,174774,174774,30637280,100972,17266227,116154618,150,150,140,140,1800,1800,1800,440,150,140,1472,4500,4500
116001,Hydra,NPC13.jpg,NPC13,YXNM1,32,3,200,111201001|112701001,0,3688401600,234322260,260358320,20351064,20351064,231105,231105,40512100,133517,22831374,142061876,150,150,140,140,1800,1800,1800,440,150,140,1472,4600,4600
116501,Corrupted Griffin,NPC7.jpg,NPC7,YD0,32,1,200,112302001|112301001,0,2368642980,213178100,236864760,17694552,17694552,259302,259302,35067150,115544,20104581,135248994,150,150,160,160,2000,2000,2000,460,150,160,1568,4800,4800
117001,Ghoul,NPC10.jpg,NPC10,ZRNZ_YS1,32,2,200,116001001|111201001,0,4306623600,273597560,303997550,22709586,22709586,332790,332790,45005980,148291,25802670,160549940,150,150,160,160,2000,2000,2000,460,150,160,1568,4900,4900
117501,Griffin,NPC5.jpg,NPC5,CE0,32,3,200,110002001|115102001,0,2691334800,242220370,269133960,19672254,19672254,320310,320310,38916110,128159,22491870,151308940,150,150,170,170,2100,2100,2100,470,150,170,1664,5100,5100
118001,Hitouban,NPC2.jpg,NPC2,HFSTS0,32,2,200,114001001|115101001,0,4753526400,301989040,335543640,24526446,24526446,399348,399348,48518780,159782,28041810,174482380,150,150,170,170,2100,2100,2100,470,150,170,1664,5200,5200
118501,Alphard,NPC8.jpg,NPC8,R_UR_PLUS_SH,32,3,200,112701001|124102001,0,2992194480,269297740,299219940,21028620,21028620,448068,448068,41311770,136009,24277578,163321892,150,150,190,190,2300,2300,2300,490,150,190,1760,5400,5400
119001,Enenra,NPC4.jpg,NPC4,WN0,32,1,200,112701001|111201001,0,5440353600,345622780,384025600,26988603,26988603,575061,575061,53020440,174557,31158390,193874420,150,150,190,190,2300,2300,2300,490,150,190,1760,5500,5500
119501,Alpha Crateris,NPC13.jpg,NPC13,MJL0,32,2,200,112301001|112302001,0,5837370000,525363710,583737810,30090891,30090891,645747,645747,59053650,194579,35024220,235617480,150,150,200,200,2400,2400,2400,500,150,200,1856,5700,5700
120001,Pale Lady,NPC4.jpg,NPC4,WN0,32,2,200,115102001|110102001,0,10310160000,654998900,727777010,37515918,37515918,805086,805086,73625330,242592,43666560,271703040,150,150,200,200,2400,2400,2400,500,150,200,1856,5800,5800
120501,Dragon Priest,NPC16.jpg,NPC16,CE0,32,1,200,112302001|112301001,0,8231291200,740816670,823130030,41686164,41686164,860289,860289,81798510,269878,48982929,329521526,150,150,210,210,2500,2500,2500,510,150,210,2044,6000,6000
121001,Beria,NPC8.jpg,NPC8,USER_MAIN_WSJ3,32,2,200,124102001|112701001,0,14965984000,950780750,1056423580,53500962,53500962,1104117,1104117,104982050,346368,62865792,391164928,150,150,210,210,2500,2500,2500,510,150,210,2044,6100,6100
121501,Enenra,NPC4.jpg,NPC4,HFSTS0,32,3,200,116001001|111201001,0,10925664750,983310370,1092567560,54035496,54035496,1434663,1434663,105118400,346847,63993180,430499580,150,150,230,230,2700,2700,2700,530,150,230,2144,6300,6300
122001,Soul Reaper,NPC4.jpg,NPC4,USER_HF,32,3,200,110002001|115102001,0,19297278000,1225945400,1362162160,67368930,67368930,1788666,1788666,131056700,432432,79783704,496431936,150,150,230,230,2700,2700,2700,530,150,230,2144,6400,6400
122501,Dark Elf,NPC6.jpg,NPC6,USER_GEJ_SH,32,1,200,115101001|114001001,0,13145440000,1183090220,1314545230,64297278,64297278,1912881,1912881,124534700,410795,76407870,514016580,150,150,240,240,2800,2800,2800,540,150,240,2245,6600,6600
123001,Wraith,NPC6.jpg,NPC6,BMH_HS_SH,32,2,200,111201001|113901001,0,23217920000,1475021570,1638913540,80162841,80162841,2384892,2384892,155264040,512160,95261760,592739840,150,150,240,240,2800,2800,2800,540,150,240,2245,6700,6700
123501,Shadow Sage,NPC44.jpg,NPC44,SDNS0,32,3,200,113901001|111201001,0,15594328750,1403490290,1559434250,75508827,75508827,2525004,2525004,145504020,479826,89967282,605234448,150,150,250,250,2900,2900,2900,550,150,250,2345,6900,6900
124001,Ear of Stasis,NPC16.jpg,NPC16,HFSTS0,32,2,200,110102001|110002001,0,27543230000,1749806060,1944229720,94140876,94140876,3148056,3148056,181407600,598224,112167000,697928000,150,150,250,250,2900,2900,2900,550,150,250,2345,7000,7000
124501,Mouth of Rebellion,NPC6.jpg,NPC6,YXS0,32,3,200,115102001|110002001,0,20772675000,1869541510,2077269020,99048891,99048891,3305457,3305457,190689000,629475,118970775,800348850,150,200,260,260,3000,3000,3000,560,150,260,2446,7200,7200
125001,Jorogumo,NPC17.jpg,NPC17,MJL0,32,1,200,111201001|116001001,0,36689400000,2330856950,2589841900,123489525,123489525,4121088,4121088,237742130,784800,148327200,922924800,150,200,260,260,3000,3000,3000,560,150,260,2446,7300,7300
125501,Kappa,NPC12.jpg,NPC12,HFSTS0,32,2,200,110102001|115102001,0,24698520000,2222867680,2469853760,117620838,117620838,3824889,3824889,226847890,748440,141455160,951607440,150,250,260,260,3000,3000,3000,560,150,260,2546,7500,7500
126001,Hydra,NPC13.jpg,NPC13,YXNM1,32,3,200,111201001|112701001,0,42411600000,2694385070,2993762140,142570713,142570713,4636227,4636227,274967140,907200,171460800,1066867200,150,250,260,260,3000,3000,3000,560,150,260,2546,7600,7600
126501,Corrupted Griffin,NPC7.jpg,NPC7,YD0,32,1,200,113701001|114001001,0,27720412500,2494838070,2772043130,130864383,130864383,4816527,4816527,250868400,827475,157633989,1060446826,150,300,270,270,3100,3100,3100,570,150,270,2647,7800,7800
127001,Ghoul,NPC10.jpg,NPC10,ZRNZ_YS1,32,2,200,114001001|113701001,0,50400750000,3201931210,3557702410,167954289,167954289,6181638,6181638,321970140,1062000,202311000,1258824000,150,300,270,270,3100,3100,3100,570,150,270,2647,7900,7900
127501,Griffin,NPC5.jpg,NPC5,CE0,32,3,200,112701001|124102001,0,41654250000,3748883610,4165427220,193193274,193193274,6731808,6731808,370673820,1225125,235224000,1582416000,150,300,280,280,3200,3200,3200,580,150,280,2840,8000,8000
128001,Hitouban,NPC2.jpg,NPC2,HFSTS0,32,2,200,112301001|112302001,0,71527500000,4544101340,5049002690,234173664,234173664,8159766,8159766,449301600,1485000,285120000,1774080000,150,300,280,280,3200,3200,3200,580,150,280,2840,8000,8000
128501,Alphard,NPC8.jpg,NPC8,R_UR_PLUS_SH,32,3,200,115102001|110002001,0,49664785500,4469831960,4966481070,228614124,228614124,9057342,9057342,435384180,1439559,278554668,1873913212,150,300,290,290,3300,3300,3300,590,150,290,2840,8000,8000
129001,Enenra,NPC4.jpg,NPC4,WN0,32,1,200,116001001|111201001,0,82978020000,5271546290,5857274980,269618622,269618622,10681878,10681878,513475200,1697760,328516560,2044103040,150,300,290,290,3300,3300,3300,590,150,290,2840,8000,8000
129501,Alpha Crateris,NPC13.jpg,NPC13,MJL0,32,2,200,112302001|112301001,0,57083276250,5137496250,5708330410,261126963,261126963,11774550,11774550,493094750,1630951,318035397,2044103040,150,300,300,300,3400,3400,3400,600,150,300,2840,8000,8000
130001,Pale Lady,NPC4.jpg,NPC4,WN0,32,2,200,113701001|114001001,0,95372550000,6058963640,6732183280,307963005,307963005,13886445,13886445,581536800,1923480,375078600,2044103040,150,300,300,300,3400,3400,3400,600,150,300,2840,8000,8000
200501,Headless Knight,NPC1.jpg,NPC1,USER_HF,32,3,200,124102001|112701001,0,185434920,16689230,18543680,3418965,3418965,33876,33876,6853520,22477,3540120,21669832,150,150,50,50,900,900,900,350,150,50,598,2700,2700
200502,Blackwing Angel,NPC9.jpg,NPC9,USER_GEJ_SH,32,1,200,110002001|115102001,0,176163170,15854770,17616490,3248016,3248016,32178,32178,6510830,21353,3363117,20586346,150,150,50,50,900,900,900,350,150,50,598,2700,2700
201001,Witch Hunter,NPC7.jpg,NPC7,BMH_HS_SH,32,2,200,115102001|110102001,0,347371200,22068410,24520560,4520946,4520946,44790,44790,9062500,29722,4681152,29127168,150,150,50,50,900,900,900,350,150,50,598,2800,2800
201002,Evil Knight,NPC2.jpg,NPC2,MJL0,32,1,200,114001001|115101001,0,347371200,22068410,24520560,4520946,4520946,44790,44790,9062500,29722,4681152,29127168,150,150,50,50,900,900,900,350,150,50,598,2800,2800
201501,Nightmare Weaver,NPC7.jpg,NPC7,HFSTS0,32,2,200,114001001|113701001,0,231739200,20856630,23174110,4029576,4029576,40647,40647,8073410,26485,4211031,25776614,150,150,60,60,1000,1000,1000,360,150,60,644,2900,2900
201502,Ripper,NPC13.jpg,NPC13,YXS0,32,3,200,111201001|113901001,0,220152240,19813790,22015400,3828099,3828099,38613,38613,7669740,25160,4000482,24487794,150,150,60,60,1000,1000,1000,360,150,60,644,2900,2900
202001,Lady of Snow,NPC10.jpg,NPC10,MJL0,32,1,200,110002001|110102001,0,434112000,27579010,30643450,5328366,5328366,53748,53748,10675580,35021,5568306,34647244,150,150,60,60,1000,1000,1000,360,150,60,644,3000,3000
202002,Mist Walker,NPC10.jpg,NPC10,YXS0,32,3,200,111201001|116001001,0,434112000,27579010,30643450,5328366,5328366,53748,53748,10675580,35021,5568306,34647244,150,150,60,60,1000,1000,1000,360,150,60,644,3000,3000
202501,Mandrill,NPC12.jpg,NPC12,MJL0,32,3,200,111201001|112701001,0,311192640,28007440,31119470,4970472,4970472,40647,40647,9974150,32757,5208384,31881620,150,150,60,60,1000,1000,1000,360,150,60,690,3000,3000
202502,Plague Follower,NPC4.jpg,NPC4,HFSTS0,32,2,200,112701001|111201001,0,295633010,26607060,29563500,4721949,4721949,38613,38613,9475440,31119,4947963,30287536,150,150,60,60,1000,1000,1000,360,150,60,690,3000,3000
203001,Mad Disciple,NPC9.jpg,NPC9,YXS0,32,1,200,115101001|114001001,0,582950400,37034630,41149720,6572526,6572526,53748,53748,13188960,43315,6887118,42853172,150,150,60,60,1000,1000,1000,360,150,60,690,3100,3100
203002,Blue Dragon King,NPC48.jpg,NPC48,WL_SP,32,3,200,112701001|124102001,0,582950400,37034630,41149720,6572526,6572526,53748,53748,13188960,43315,6887118,42853172,150,150,60,60,1000,1000,1000,360,150,60,690,3100,3100
203501,Maid of Demonlord,2019.jpg,NMXS0,YXNM1,32,1,200,113901001|111201001,0,367646400,33088290,36764860,5582982,5582982,48777,48777,11196660,36765,5900724,36119580,150,150,70,70,1100,1100,1100,370,150,70,736,3100,3100
203502,Glory Angel,NPC51.jpg,NPC51,YD0,32,2,200,110102001|110002001,0,349264080,31433880,34926620,5303832,5303832,46338,46338,10636820,34926,5605686,34313598,150,150,70,70,1100,1100,1100,370,150,70,736,3100,3100
204001,Little Devil,NPC19.jpg,NPC19,ZRNZ_YS1,32,3,200,113701001|114001001,0,688704000,43753100,48614690,7382454,7382454,64497,64497,14805500,48614,7802610,48549580,150,150,70,70,1100,1100,1100,370,150,70,736,3200,3200
204002,Faceless banshee,NPC20.jpg,NPC20,R_UR_PLUS_SH,32,1,200,112701001|111201001,0,688704000,43753100,48614690,7382454,7382454,64497,64497,14805500,48614,7802610,48549580,150,150,70,70,1100,1100,1100,370,150,70,736,3200,3200
204501,Earthly Giant,NPC22.jpg,NPC22,WN0,32,2,200,112301001|112302001,0,454864410,40937920,45486670,6580005,6580005,58533,58533,13184960,43320,7017909,42958108,150,150,80,80,1200,1200,1200,380,150,80,884,3300,3300
204502,Fire sacrifice,NPC31.jpg,NPC31,YXS0,32,2,200,111201001|116001001,0,432121200,38891020,43212330,6251004,6251004,55605,55605,12525710,41154,6667014,40810202,150,150,80,80,1200,1200,1200,380,150,80,884,3300,3300
