id,offline_speed,armor_drop_rate,reward
0,500,0,
1,501,180,
2,502,180,
3,503,180,
4,504,180,
5,505,180,
6,506,180,
7,507,180,
8,508,180,
9,509,180,
10,510,180,5:3000027:1
11,511,180,
12,512,180,
13,513,180,
14,514,180,
15,515,180,
16,516,180,
17,517,180,
18,518,180,
19,519,180,
20,520,180,5:3000027:1
21,521,180,
22,522,180,
23,523,180,
24,524,180,
25,525,180,
26,526,180,
27,527,180,
28,528,180,
29,529,180,
30,530,180,5:3000027:1
31,531,180,
32,532,180,
33,533,180,
34,534,180,
35,535,180,
36,536,180,
37,537,180,
38,538,180,
39,539,180,
40,540,180,5:3000027:1
41,541,180,
42,542,180,
43,543,180,
44,544,180,
45,545,180,
46,546,180,
47,547,180,
48,548,180,
49,549,180,
50,550,180,5:3000027:1
51,551,180,
52,552,180,
53,553,180,
54,554,180,
55,555,180,
56,556,180,
57,557,180,
58,558,180,
59,559,180,
60,560,180,5:3000027:1
61,561,180,
62,562,180,
63,563,180,
64,564,180,
65,565,180,
66,566,180,
67,567,180,
68,568,180,
69,569,180,
70,570,180,5:3000027:1
71,571,180,
72,572,180,
73,573,180,
74,574,180,
75,575,180,
76,576,180,
77,577,180,
78,578,180,
79,579,180,
80,580,180,5:3000027:1
81,581,180,
82,582,180,
83,583,180,
84,584,180,
85,585,180,
86,586,180,
87,587,180,
88,588,180,
89,589,180,
90,590,180,5:3000027:1
91,591,180,
92,592,180,
93,593,180,
94,594,180,
95,595,180,
96,596,180,
97,597,180,
98,598,180,
99,599,180,
100,600,180,5:3000027:1
101,601,180,
102,602,180,
103,603,180,
104,604,180,
105,605,180,
106,606,180,
107,607,180,
108,608,180,
109,609,180,
110,610,180,5:3000027:1
111,611,180,
112,612,180,
113,613,180,
114,614,180,
115,615,180,
116,616,180,
117,617,180,
118,618,180,
119,619,180,
120,620,180,5:3000027:1
121,621,180,
122,622,180,
123,623,180,
124,624,180,
125,625,180,
126,626,180,
127,627,180,
128,628,180,
129,629,180,
130,630,180,5:3000027:1
131,631,180,
132,632,180,
133,633,180,
134,634,180,
135,635,180,
136,636,180,
137,637,180,
138,638,180,
139,639,180,
140,640,180,5:3000027:1
141,641,180,
142,642,180,
143,643,180,
144,644,180,
145,645,180,
146,646,180,
147,647,180,
148,648,180,
149,649,180,
150,650,180,5:3000027:1
151,651,180,
152,652,180,
153,653,180,
154,654,180,
155,655,180,
156,656,180,
157,657,180,
158,658,180,
159,659,180,
160,660,180,5:3000027:1
161,661,180,
162,662,180,
163,663,180,
164,664,180,
165,665,180,
166,666,180,
167,667,180,
168,668,180,
169,669,180,
170,670,180,5:3000027:1
171,671,180,
172,672,180,
173,673,180,
174,674,180,
175,675,180,
176,676,180,
177,677,180,
178,678,180,
179,679,180,
180,680,180,5:3000027:1
181,681,180,
182,682,180,
183,683,180,
184,684,180,
185,685,180,
186,686,180,
187,687,180,
188,688,180,
189,689,180,
190,690,180,5:3000027:1
191,691,180,
192,692,180,
193,693,180,
194,694,180,
195,695,180,
196,696,180,
197,697,180,
198,698,180,
199,699,180,
200,700,180,5:3000027:1
201,701,180,
202,702,180,
203,703,180,
204,704,180,
205,705,180,
206,706,180,
207,707,180,
208,708,180,
209,709,180,
210,710,180,5:3000027:1
211,711,180,
212,712,180,
213,713,180,
214,714,180,
215,715,180,
216,716,180,
217,717,180,
218,718,180,
219,719,180,
220,720,180,5:3000027:1
221,721,180,
222,722,180,
223,723,180,
224,724,180,
225,725,180,
226,726,180,
227,727,180,
228,728,180,
229,729,180,
230,730,180,5:3000027:1
231,731,180,
232,732,180,
233,733,180,
234,734,180,
235,735,180,
236,736,180,
237,737,180,
238,738,180,
239,739,180,
240,740,180,5:3000027:1
241,741,180,
242,742,180,
243,743,180,
244,744,180,
245,745,180,
246,746,180,
247,747,180,
248,748,180,
249,749,180,
250,750,180,5:3000027:1
251,751,180,
252,752,180,
253,753,180,
254,754,180,
255,755,180,
256,756,180,
257,757,180,
258,758,180,
259,759,180,
260,760,180,5:3000027:1
261,761,180,
262,762,180,
263,763,180,
264,764,180,
265,765,180,
266,766,180,
267,767,180,
268,768,180,
269,769,180,
270,770,180,5:3000027:1
271,771,180,
272,772,180,
273,773,180,
274,774,180,
275,775,180,
276,776,180,
277,777,180,
278,778,180,
279,779,180,
280,780,180,5:3000027:1
281,781,180,
282,782,180,
283,783,180,
284,784,180,
285,785,180,
286,786,180,
287,787,180,
288,788,180,
289,789,180,
290,790,180,5:3000027:1
291,791,180,
292,792,180,
293,793,180,
294,794,180,
295,795,180,
296,796,180,
297,797,180,
298,798,180,
299,799,180,
300,800,180,5:3000027:1
301,801,180,
302,802,180,
303,803,180,
304,804,180,
305,805,180,
306,806,180,
307,807,180,
308,808,180,
309,809,180,
310,810,180,5:3000027:1
311,811,180,
312,812,180,
313,813,180,
314,814,180,
315,815,180,
316,816,180,
317,817,180,
318,818,180,
319,819,180,
320,820,180,5:3000027:1
321,821,180,
322,822,180,
323,823,180,
324,824,180,
325,825,180,
326,826,180,
327,827,180,
328,828,180,
329,829,180,
330,830,180,5:3000027:1
331,831,180,
332,832,180,
333,833,180,
334,834,180,
335,835,180,
336,836,180,
337,837,180,
338,838,180,
339,839,180,
340,840,180,5:3000027:1
341,841,180,
342,842,180,
343,843,180,
344,844,180,
345,845,180,
346,846,180,
347,847,180,
348,848,180,
349,849,180,
350,850,180,5:3000027:1
351,851,180,
352,852,180,
353,853,180,
354,854,180,
355,855,180,
356,856,180,
357,857,180,
358,858,180,
359,859,180,
360,860,180,5:3000027:1
361,861,180,
362,862,180,
363,863,180,
364,864,180,
365,865,180,
366,866,180,
367,867,180,
368,868,180,
369,869,180,
370,870,180,5:3000027:1
371,871,180,
372,872,180,
373,873,180,
374,874,180,
375,875,180,
376,876,180,
377,877,180,
378,878,180,
379,879,180,
380,880,180,5:3000027:1
381,881,180,
382,882,180,
383,883,180,
384,884,180,
385,885,180,
386,886,180,
387,887,180,
388,888,180,
389,889,180,
390,890,180,5:3000027:1
391,891,180,
392,892,180,
393,893,180,
394,894,180,
395,895,180,
396,896,180,
397,897,180,
398,898,180,
399,899,180,
400,900,180,5:3000027:1
401,901,180,
402,902,180,
403,903,180,
404,904,180,
405,905,180,
406,906,180,
407,907,180,
408,908,180,
409,909,180,
410,910,180,5:3000027:1
411,911,180,
412,912,180,
413,913,180,
414,914,180,
415,915,180,
416,916,180,
417,917,180,
418,918,180,
419,919,180,
420,920,180,5:3000027:1
421,921,180,
422,922,180,
423,923,180,
424,924,180,
425,925,180,
426,926,180,
427,927,180,
428,928,180,
429,929,180,
430,930,180,5:3000027:1
431,931,180,
432,932,180,
433,933,180,
434,934,180,
435,935,180,
436,936,180,
437,937,180,
438,938,180,
439,939,180,
440,940,180,5:3000027:1
441,941,180,
442,942,180,
443,943,180,
444,944,180,
445,945,180,
446,946,180,
447,947,180,
448,948,180,
449,949,180,
450,950,180,5:3000027:1
451,951,180,
452,952,180,
453,953,180,
454,954,180,
455,955,180,
456,956,180,
457,957,180,
458,958,180,
459,959,180,
460,960,180,5:3000027:1
461,961,180,
462,962,180,
463,963,180,
464,964,180,
465,965,180,
466,966,180,
467,967,180,
468,968,180,
469,969,180,
470,970,180,5:3000027:1
471,971,180,
472,972,180,
473,973,180,
474,974,180,
475,975,180,
476,976,180,
477,977,180,
478,978,180,
479,979,180,
480,980,180,5:3000027:1
481,981,180,
482,982,180,
483,983,180,
484,984,180,
485,985,180,
486,986,180,
487,987,180,
488,988,180,
489,989,180,
490,990,180,5:3000027:1
491,991,180,
492,992,180,
493,993,180,
494,994,180,
495,995,180,
496,996,180,
497,997,180,
498,998,180,
499,999,180,
500,1000,180,5:3000027:1
501,1001,180,
502,1002,180,
503,1003,180,
504,1004,180,
505,1005,180,
506,1006,180,
507,1007,180,
508,1008,180,
509,1009,180,
510,1010,180,5:3000027:1
511,1011,180,
512,1012,180,
513,1013,180,
514,1014,180,
515,1015,180,
516,1016,180,
517,1017,180,
518,1018,180,
519,1019,180,
520,1020,180,5:3000027:1
521,1021,180,
522,1022,180,
523,1023,180,
524,1024,180,
525,1025,180,
526,1026,180,
527,1027,180,
528,1028,180,
529,1029,180,
530,1030,180,5:3000027:1
531,1031,180,
532,1032,180,
533,1033,180,
534,1034,180,
535,1035,180,
536,1036,180,
537,1037,180,
538,1038,180,
539,1039,180,
540,1040,180,5:3000027:1
541,1041,180,
542,1042,180,
543,1043,180,
544,1044,180,
545,1045,180,
546,1046,180,
547,1047,180,
548,1048,180,
549,1049,180,
550,1050,180,5:3000027:1
551,1051,180,
552,1052,180,
553,1053,180,
554,1054,180,
555,1055,180,
556,1056,180,
557,1057,180,
558,1058,180,
559,1059,180,
560,1060,180,5:3000027:1
561,1061,180,
562,1062,180,
563,1063,180,
564,1064,180,
565,1065,180,
566,1066,180,
567,1067,180,
568,1068,180,
569,1069,180,
570,1070,180,5:3000027:1
571,1071,180,
572,1072,180,
573,1073,180,
574,1074,180,
575,1075,180,
576,1076,180,
577,1077,180,
578,1078,180,
579,1079,180,
580,1080,180,5:3000027:1
581,1081,180,
582,1082,180,
583,1083,180,
584,1084,180,
585,1085,180,
586,1086,180,
587,1087,180,
588,1088,180,
589,1089,180,
590,1090,180,5:3000027:1
591,1091,180,
592,1092,180,
593,1093,180,
594,1094,180,
595,1095,180,
596,1096,180,
597,1097,180,
598,1098,180,
599,1099,180,
600,1100,180,5:3000027:1
