id,big_step,small_step,npc_team_ids,reward
1,1,1,10001,5:3000262:5|5:3000261:10000|31:10001:1:1
2,1,2,10002,5:3000262:5|5:3000261:10000|31:20001:1:1
3,1,3,10003,5:3000262:5|5:3000261:10000|31:30001:1:1
4,1,4,10004,5:3000262:5|5:3000261:10000|31:40001:1:1
5,1,5,10005,5:3000262:10|5:3000261:10000|31:50001:1:1
6,1,6,10006,5:3000262:5|5:3000261:10000|31:60001:1:1
7,1,7,10007,5:3000262:5|5:3000261:10000
8,1,8,10008,5:3000262:5|5:3000261:10000
9,1,9,10009,5:3000262:5|5:3000261:10000
10,1,10,10010,5:3000262:10|5:3000261:10000
11,1,11,10011,5:3000262:5
12,1,12,10012,5:3000262:5
13,1,13,10013,5:3000262:5
14,1,14,10014,5:3000262:5
15,1,15,10015,5:3000262:10
16,1,16,10016,5:3000262:5
17,1,17,10017,5:3000262:5
18,1,18,10018,5:3000262:5
19,1,19,10019,5:3000262:5
20,1,20,10020,5:3000262:10
21,1,21,10021,5:3000262:5
22,1,22,10022,5:3000262:5
23,1,23,10023,5:3000262:5
24,1,24,10024,5:3000262:5
25,1,25,10025,5:3000262:10
26,1,26,10026,5:3000262:5
27,1,27,10027,5:3000262:5
28,1,28,10028,5:3000262:5
29,1,29,10029,5:3000262:5
30,1,30,10030,5:3000262:10
31,1,31,10031,5:3000262:5
32,1,32,10032,5:3000262:5
33,1,33,10033,5:3000262:5
34,1,34,10034,5:3000262:5
35,1,35,10035,5:3000262:10
36,1,36,10036,5:3000262:5
37,1,37,10037,5:3000262:5
38,1,38,10038,5:3000262:5
39,1,39,10039,5:3000262:5
40,1,40,10040,5:3000262:10
41,1,41,10041,5:3000262:5
42,1,42,10042,5:3000262:5
43,1,43,10043,5:3000262:5
44,1,44,10044,5:3000262:5
45,1,45,10045,5:3000262:10
46,1,46,10046,5:3000262:5
47,1,47,10047,5:3000262:5
48,1,48,10048,5:3000262:5
49,1,49,10049,5:3000262:5
50,1,50,10050,5:3000262:10
51,1,51,10051,5:3000262:10
52,1,52,10052,5:3000262:10
53,1,53,10053,5:3000262:10
54,1,54,10054,5:3000262:10
55,1,55,10055,5:3000262:15
56,1,56,10056,5:3000262:10
57,1,57,10057,5:3000262:10
58,1,58,10058,5:3000262:10
59,1,59,10059,5:3000262:10
60,1,60,10060,5:3000262:15
61,1,61,10061,5:3000262:10
62,1,62,10062,5:3000262:10
63,1,63,10063,5:3000262:10
64,1,64,10064,5:3000262:10
65,1,65,10065,5:3000262:15
66,1,66,10066,5:3000262:10
67,1,67,10067,5:3000262:10
68,1,68,10068,5:3000262:10
69,1,69,10069,5:3000262:10
70,1,70,10070,5:3000262:15
71,1,71,10071,5:3000262:10
72,1,72,10072,5:3000262:10
73,1,73,10073,5:3000262:10
74,1,74,10074,5:3000262:10
75,1,75,10075,5:3000262:15
76,1,76,10076,5:3000262:10
77,1,77,10077,5:3000262:10
78,1,78,10078,5:3000262:10
79,1,79,10079,5:3000262:10
80,1,80,10080,5:3000262:15
81,1,81,10081,5:3000262:10
82,1,82,10082,5:3000262:10
83,1,83,10083,5:3000262:10
84,1,84,10084,5:3000262:10
85,1,85,10085,5:3000262:15
86,1,86,10086,5:3000262:10
87,1,87,10087,5:3000262:10
88,1,88,10088,5:3000262:10
89,1,89,10089,5:3000262:10
90,1,90,10090,5:3000262:15
91,1,91,10091,5:3000262:10
92,1,92,10092,5:3000262:10
93,1,93,10093,5:3000262:10
94,1,94,10094,5:3000262:10
95,1,95,10095,5:3000262:15
96,1,96,10096,5:3000262:10
97,1,97,10097,5:3000262:10
98,1,98,10098,5:3000262:10
99,1,99,10099,5:3000262:10
100,1,100,10100,5:3000262:15
101,1,101,10101,5:3000262:15
102,1,102,10102,5:3000262:15
103,1,103,10103,5:3000262:15
104,1,104,10104,5:3000262:15
105,1,105,10105,5:3000262:20
106,1,106,10106,5:3000262:15
107,1,107,10107,5:3000262:15
108,1,108,10108,5:3000262:15
109,1,109,10109,5:3000262:15
110,1,110,10110,5:3000262:20
111,1,111,10111,5:3000262:15
112,1,112,10112,5:3000262:15
113,1,113,10113,5:3000262:15
114,1,114,10114,5:3000262:15
115,1,115,10115,5:3000262:20
116,1,116,10116,5:3000262:15
117,1,117,10117,5:3000262:15
118,1,118,10118,5:3000262:15
119,1,119,10119,5:3000262:15
120,1,120,10120,5:3000262:20
121,1,121,10121,5:3000262:15
122,1,122,10122,5:3000262:15
123,1,123,10123,5:3000262:15
124,1,124,10124,5:3000262:15
125,1,125,10125,5:3000262:20
126,1,126,10126,5:3000262:15
127,1,127,10127,5:3000262:15
128,1,128,10128,5:3000262:15
129,1,129,10129,5:3000262:15
130,1,130,10130,5:3000262:20
131,1,131,10131,5:3000262:15
132,1,132,10132,5:3000262:15
133,1,133,10133,5:3000262:15
134,1,134,10134,5:3000262:15
135,1,135,10135,5:3000262:20
136,1,136,10136,5:3000262:15
137,1,137,10137,5:3000262:15
138,1,138,10138,5:3000262:15
139,1,139,10139,5:3000262:15
140,1,140,10140,5:3000262:20
141,1,141,10141,5:3000262:15
142,1,142,10142,5:3000262:15
143,1,143,10143,5:3000262:15
144,1,144,10144,5:3000262:15
145,1,145,10145,5:3000262:20
146,1,146,10146,5:3000262:15
147,1,147,10147,5:3000262:15
148,1,148,10148,5:3000262:15
149,1,149,10149,5:3000262:15
150,1,150,10150,5:3000262:20
151,1,151,10151,5:3000262:20
152,1,152,10152,5:3000262:20
153,1,153,10153,5:3000262:20
154,1,154,10154,5:3000262:20
155,1,155,10155,5:3000262:25
156,1,156,10156,5:3000262:20
157,1,157,10157,5:3000262:20
158,1,158,10158,5:3000262:20
159,1,159,10159,5:3000262:20
160,1,160,10160,5:3000262:25
161,1,161,10161,5:3000262:20
162,1,162,10162,5:3000262:20
163,1,163,10163,5:3000262:20
164,1,164,10164,5:3000262:20
165,1,165,10165,5:3000262:25
166,1,166,10166,5:3000262:20
167,1,167,10167,5:3000262:20
168,1,168,10168,5:3000262:20
169,1,169,10169,5:3000262:20
170,1,170,10170,5:3000262:25
171,1,171,10171,5:3000262:20
172,1,172,10172,5:3000262:20
173,1,173,10173,5:3000262:20
174,1,174,10174,5:3000262:20
175,1,175,10175,5:3000262:25
176,1,176,10176,5:3000262:20
177,1,177,10177,5:3000262:20
178,1,178,10178,5:3000262:20
179,1,179,10179,5:3000262:20
180,1,180,10180,5:3000262:25
181,1,181,10181,5:3000262:20
182,1,182,10182,5:3000262:20
183,1,183,10183,5:3000262:20
184,1,184,10184,5:3000262:20
185,1,185,10185,5:3000262:25
186,1,186,10186,5:3000262:20
187,1,187,10187,5:3000262:20
188,1,188,10188,5:3000262:20
189,1,189,10189,5:3000262:20
190,1,190,10190,5:3000262:25
191,1,191,10191,5:3000262:20
192,1,192,10192,5:3000262:20
193,1,193,10193,5:3000262:20
194,1,194,10194,5:3000262:20
195,1,195,10195,5:3000262:25
196,1,196,10196,5:3000262:20
197,1,197,10197,5:3000262:20
198,1,198,10198,5:3000262:20
199,1,199,10199,5:3000262:20
200,1,200,10200,5:3000262:25
201,1,201,10201,5:3000262:25
202,1,202,10202,5:3000262:25
203,1,203,10203,5:3000262:25
204,1,204,10204,5:3000262:25
205,1,205,10205,5:3000262:30
206,1,206,10206,5:3000262:25
207,1,207,10207,5:3000262:25
208,1,208,10208,5:3000262:25
209,1,209,10209,5:3000262:25
210,1,210,10210,5:3000262:30
211,1,211,10211,5:3000262:25
212,1,212,10212,5:3000262:25
213,1,213,10213,5:3000262:25
214,1,214,10214,5:3000262:25
215,1,215,10215,5:3000262:30
216,1,216,10216,5:3000262:25
217,1,217,10217,5:3000262:25
218,1,218,10218,5:3000262:25
219,1,219,10219,5:3000262:25
220,1,220,10220,5:3000262:30
221,1,221,10221,5:3000262:25
222,1,222,10222,5:3000262:25
223,1,223,10223,5:3000262:25
224,1,224,10224,5:3000262:25
225,1,225,10225,5:3000262:30
226,1,226,10226,5:3000262:25
227,1,227,10227,5:3000262:25
228,1,228,10228,5:3000262:25
229,1,229,10229,5:3000262:25
230,1,230,10230,5:3000262:30
231,1,231,10231,5:3000262:25
232,1,232,10232,5:3000262:25
233,1,233,10233,5:3000262:25
234,1,234,10234,5:3000262:25
235,1,235,10235,5:3000262:30
236,1,236,10236,5:3000262:25
237,1,237,10237,5:3000262:25
238,1,238,10238,5:3000262:25
239,1,239,10239,5:3000262:25
240,1,240,10240,5:3000262:30
241,1,241,10241,5:3000262:25
242,1,242,10242,5:3000262:25
243,1,243,10243,5:3000262:25
244,1,244,10244,5:3000262:25
245,1,245,10245,5:3000262:30
246,1,246,10246,5:3000262:25
247,1,247,10247,5:3000262:25
248,1,248,10248,5:3000262:25
249,1,249,10249,5:3000262:25
250,1,250,10250,5:3000262:30
251,1,251,10251,5:3000262:30
252,1,252,10252,5:3000262:30
253,1,253,10253,5:3000262:30
254,1,254,10254,5:3000262:30
255,1,255,10255,5:3000262:35
256,1,256,10256,5:3000262:30
257,1,257,10257,5:3000262:30
258,1,258,10258,5:3000262:30
259,1,259,10259,5:3000262:30
260,1,260,10260,5:3000262:35
261,1,261,10261,5:3000262:30
262,1,262,10262,5:3000262:30
263,1,263,10263,5:3000262:30
264,1,264,10264,5:3000262:30
265,1,265,10265,5:3000262:35
266,1,266,10266,5:3000262:30
267,1,267,10267,5:3000262:30
268,1,268,10268,5:3000262:30
269,1,269,10269,5:3000262:30
270,1,270,10270,5:3000262:35
271,1,271,10271,5:3000262:30
272,1,272,10272,5:3000262:30
273,1,273,10273,5:3000262:30
274,1,274,10274,5:3000262:30
275,1,275,10275,5:3000262:35
276,1,276,10276,5:3000262:30
277,1,277,10277,5:3000262:30
278,1,278,10278,5:3000262:30
279,1,279,10279,5:3000262:30
280,1,280,10280,5:3000262:35
281,1,281,10281,5:3000262:30
282,1,282,10282,5:3000262:30
283,1,283,10283,5:3000262:30
284,1,284,10284,5:3000262:30
285,1,285,10285,5:3000262:35
286,1,286,10286,5:3000262:30
287,1,287,10287,5:3000262:30
288,1,288,10288,5:3000262:30
289,1,289,10289,5:3000262:30
290,1,290,10290,5:3000262:35
291,1,291,10291,5:3000262:30
292,1,292,10292,5:3000262:30
293,1,293,10293,5:3000262:30
294,1,294,10294,5:3000262:30
295,1,295,10295,5:3000262:35
296,1,296,10296,5:3000262:30
297,1,297,10297,5:3000262:30
298,1,298,10298,5:3000262:30
299,1,299,10299,5:3000262:30
300,1,300,10300,5:3000262:35
301,2,1,20001|20002,5:3000262:10
302,2,2,20003|20004,5:3000262:10
303,2,3,20005|20006,5:3000262:10
304,2,4,20007|20008,5:3000262:10
305,2,5,20009|20010,5:3000262:15
306,2,6,20011|20012,5:3000262:10
307,2,7,20013|20014,5:3000262:10
308,2,8,20015|20016,5:3000262:10
309,2,9,20017|20018,5:3000262:10
310,2,10,20019|20020,5:3000262:15
311,2,11,20021|20022,5:3000262:10
312,2,12,20023|20024,5:3000262:10
313,2,13,20025|20026,5:3000262:10
314,2,14,20027|20028,5:3000262:10
315,2,15,20029|20030,5:3000262:15
316,2,16,20031|20032,5:3000262:10
317,2,17,20033|20034,5:3000262:10
318,2,18,20035|20036,5:3000262:10
319,2,19,20037|20038,5:3000262:10
320,2,20,20039|20040,5:3000262:15
321,2,21,20041|20042,5:3000262:10
322,2,22,20043|20044,5:3000262:10
323,2,23,20045|20046,5:3000262:10
324,2,24,20047|20048,5:3000262:10
325,2,25,20049|20050,5:3000262:15
326,2,26,20051|20052,5:3000262:10
327,2,27,20053|20054,5:3000262:10
328,2,28,20055|20056,5:3000262:10
329,2,29,20057|20058,5:3000262:10
330,2,30,20059|20060,5:3000262:15
331,2,31,20061|20062,5:3000262:15
332,2,32,20063|20064,5:3000262:15
333,2,33,20065|20066,5:3000262:15
334,2,34,20067|20068,5:3000262:15
335,2,35,20069|20070,5:3000262:20
336,2,36,20071|20072,5:3000262:15
337,2,37,20073|20074,5:3000262:15
338,2,38,20075|20076,5:3000262:15
339,2,39,20077|20078,5:3000262:15
340,2,40,20079|20080,5:3000262:20
341,2,41,20081|20082,5:3000262:15
342,2,42,20083|20084,5:3000262:15
343,2,43,20085|20086,5:3000262:15
344,2,44,20087|20088,5:3000262:15
345,2,45,20089|20090,5:3000262:20
346,2,46,20091|20092,5:3000262:15
347,2,47,20093|20094,5:3000262:15
348,2,48,20095|20096,5:3000262:15
349,2,49,20097|20098,5:3000262:15
350,2,50,20099|20100,5:3000262:20
351,2,51,20101|20102,5:3000262:15
352,2,52,20103|20104,5:3000262:15
353,2,53,20105|20106,5:3000262:15
354,2,54,20107|20108,5:3000262:15
355,2,55,20109|20110,5:3000262:20
356,2,56,20111|20112,5:3000262:15
357,2,57,20113|20114,5:3000262:15
358,2,58,20115|20116,5:3000262:15
359,2,59,20117|20118,5:3000262:15
360,2,60,20119|20120,5:3000262:20
361,2,61,20121|20122,5:3000262:20
362,2,62,20123|20124,5:3000262:20
363,2,63,20125|20126,5:3000262:20
364,2,64,20127|20128,5:3000262:20
365,2,65,20129|20130,5:3000262:25
