team_id,npc_level,npc_name,npc_name_after,if_monster,npc_ids
10001,120,1-Team Challenge,1-1,0,100101|100102|100103|100104|100105|100106
10002,200,1-Team Challenge,2-1,0,100201|100202|100203|100204|100205|100206
10003,200,1-Team Challenge,3-1,0,100301|100302|100303|100304|100305|100306
10004,200,1-Team Challenge,4-1,0,100401|100402|100403|100404|100405|100406
10005,200,1-Team Challenge,5-1,1,100501
10006,200,1-Team Challenge,6-1,0,100601|100602|100603|100604|100605|100606
10007,200,1-Team Challenge,7-1,0,100701|100702|100703|100704|100705|100706
10008,200,1-Team Challenge,8-1,0,100801|100802|100803|100804|100805|100806
10009,200,1-Team Challenge,9-1,0,100901|100902|100903|100904|100905|100906
10010,200,1-Team Challenge,10-1,1,101001
10011,200,1-Team Challenge,11-1,0,101101|101102|101103|101104|101105|101106
10012,200,1-Team Challenge,12-1,0,101201|101202|101203|101204|101205|101206
10013,200,1-Team Challenge,13-1,0,101301|101302|101303|101304|101305|101306
10014,200,1-Team Challenge,14-1,0,101401|101402|101403|101404|101405|101406
10015,200,1-Team Challenge,15-1,1,101501
10016,200,1-Team Challenge,16-1,0,101601|101602|101603|101604|101605|101606
10017,200,1-Team Challenge,17-1,0,101701|101702|101703|101704|101705|101706
10018,200,1-Team Challenge,18-1,0,101801|101802|101803|101804|101805|101806
10019,200,1-Team Challenge,19-1,0,101901|101902|101903|101904|101905|101906
10020,200,1-Team Challenge,20-1,1,102001
10021,200,1-Team Challenge,21-1,0,102101|102102|102103|102104|102105|102106
10022,200,1-Team Challenge,22-1,0,102201|102202|102203|102204|102205|102206
10023,200,1-Team Challenge,23-1,0,102301|102302|102303|102304|102305|102306
10024,200,1-Team Challenge,24-1,0,102401|102402|102403|102404|102405|102406
10025,200,1-Team Challenge,25-1,1,102501
10026,200,1-Team Challenge,26-1,0,102601|102602|102603|102604|102605|102606
10027,200,1-Team Challenge,27-1,0,102701|102702|102703|102704|102705|102706
10028,200,1-Team Challenge,28-1,0,102801|102802|102803|102804|102805|102806
10029,200,1-Team Challenge,29-1,0,102901|102902|102903|102904|102905|102906
10030,200,1-Team Challenge,30-1,1,103001
10031,200,1-Team Challenge,31-1,0,103101|103102|103103|103104|103105|103106
10032,200,1-Team Challenge,32-1,0,103201|103202|103203|103204|103205|103206
10033,200,1-Team Challenge,33-1,0,103301|103302|103303|103304|103305|103306
10034,200,1-Team Challenge,34-1,0,103401|103402|103403|103404|103405|103406
10035,200,1-Team Challenge,35-1,1,103501
10036,200,1-Team Challenge,36-1,0,103601|103602|103603|103604|103605|103606
10037,200,1-Team Challenge,37-1,0,103701|103702|103703|103704|103705|103706
10038,200,1-Team Challenge,38-1,0,103801|103802|103803|103804|103805|103806
