cfg_id,name,icon,armor_part,quality,strength,agility,intelligence,stamina,add_attr,smelt
1001,Iron Mark – Strength,1001.png,1,2,120000,0,0,0,,10
1002,Iron Mark – Agility,1002.png,2,2,0,30000,0,0,,10
1003,Iron Mark – Intelligence,1003.png,3,2,0,0,30000,0,,10
1004,Iron Mark – Endurance,1004.png,4,2,0,0,0,30000,,10
2001,Brass Mark – Strength,2001.png,1,3,200000,0,0,0,,10
2002,Brass Mark – Agility,2002.png,2,3,0,50000,0,0,,10
2003,Brass Mark – Intelligence,2003.png,3,3,0,0,50000,0,,10
2004,Brass Mark – Endurance,2004.png,4,3,0,0,0,50000,,10
3001,Mithril Mark – Strength,3001.png,1,4,400000,0,0,0,,10
3002,Mithril Mark – Agility,3002.png,2,4,0,100000,0,0,,10
3003,Mithril Mark – Intelligence,3003.png,3,4,0,0,100000,0,,10
3004,Mithril Mark – Endurance,3004.png,4,4,0,0,0,100000,,10
4001,Gold Mark – Strength,4001.png,1,5,600000,0,0,0,,10
4002,Gold Mark – Agility,4002.png,2,5,0,150000,0,0,,10
4003,Gold Mark – Intelligence,4003.png,3,5,0,0,150000,0,,10
4004,Gold Mark – Endurance,4004.png,4,5,0,0,0,150000,,10
5001,Diamond Mark – Strength,5001.png,1,6,1000000,0,0,0,,10
5002,Diamond Mark – Agility,5002.png,2,6,0,250000,0,0,,10
5003,Diamond Mark – Intelligence,5003.png,3,6,0,0,250000,0,,10
5004,Diamond Mark – Endurance,5004.png,4,6,0,0,0,250000,,10
