hero_cid,add_attr
2037,2:1:3000|2:3:3000|2:5:1000
2039,2:1:3000|2:3:3000|2:5:1000
2055,2:1:3000|2:3:3000|2:5:1000
2060,2:1:3000|2:3:3000|2:5:1000
2063,2:1:3000|2:3:3000|2:5:1000
2065,2:1:3000|2:3:3000|2:5:1000
2073,2:1:3000|2:3:3000|2:5:1000
2075,2:1:3000|2:3:3000|2:5:1000
2079,2:1:3000|2:3:3000|2:5:1000
2082,2:1:3000|2:3:3000|2:5:1000
2086,2:1:3000|2:3:3000|2:5:1000
2088,2:1:3000|2:3:3000|2:5:1000
2047,2:1:3000|2:3:3000|2:5:1000
2050,2:1:3000|2:3:3000|2:5:1000
2057,2:1:3000|2:3:3000|2:5:1000
2067,2:1:3000|2:3:3000|2:5:1000
2071,2:1:3000|2:3:3000|2:5:1000
2074,2:1:3000|2:3:3000|2:5:1000
2078,2:1:3000|2:3:3000|2:5:1000
2081,2:1:3000|2:3:3000|2:5:1000
2087,2:1:3000|2:3:3000|2:5:1000
2049,2:1:3000|2:3:3000|2:5:1000
2051,2:1:3000|2:3:3000|2:5:1000
2053,2:1:3000|2:3:3000|2:5:1000
2056,2:1:3000|2:3:3000|2:5:1000
2068,2:1:3000|2:3:3000|2:5:1000
2069,2:1:3000|2:3:3000|2:5:1000
2076,2:1:3000|2:3:3000|2:5:1000
2077,2:1:3000|2:3:3000|2:5:1000
2083,2:1:3000|2:3:3000|2:5:1000
2084,2:1:3000|2:3:3000|2:5:1000
1001,2:1:3000|2:3:3000|2:5:1000
2025,2:1:3000|2:3:3000|2:5:1000
