npc_id,name,avatar_path,spine_name,spine_name_shenhe,role,job,level,skill_id_list,skill_id_normal_attack,hp,minatk,maxatk,pdef,mdef,def,defend_ignore_level,hit,dhit,cir,dcir,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed,game_play_damage_add,game_play_damage_minus
1,Time Challenge1,2037_CSHS.png,R_CSHS,R_CSHS,34,3,110,123601001|123602001|154801001|44445101,0,4896000,155574,172908,0,0,0,0,23184,384,38400,358400,150,150,0,0,0,0,0,0,0,0,46,2200,2200
2,Time Challenge2,2037_CSHS.png,R_CSHS,R_CSHS,34,3,130,123601001|123602001|154801001|44445101,0,25806000,1639545,1821795,356400,356400,36000,36000,680400,2208,223008,2081408,150,200,10,10,500,500,500,310,150,10,230,2600,2600
3,Time Challenge3,2037_CSHS.png,R_CSHS,R_CSHS,34,3,150,123601001|123602001|154801001|44445101,0,171849600,10917645,12130845,1833408,1833408,51840,51840,3649540,11981,1833063,11405722,150,250,20,20,600,600,600,320,150,20,368,3000,3000
4,Time Challenge4,2037_CSHS.png,R_CSHS,R_CSHS,34,3,170,123601001|123602001|154801001|44445101,0,481991310,30620916,34023456,2650665,2650665,62208,62208,5300640,17381,2685333,16708742,150,300,30,30,700,700,700,330,150,30,520,3400,3400
5,Time Challenge5,2037_CSHS.png,R_CSHS,R_CSHS,34,3,190,123601001|123602001|154801001|158801001|44445101,0,1137677400,72276327,80307342,5019906,5019906,89580,89580,10049400,33048,5205060,32387040,150,350,50,50,900,900,900,350,150,50,650,3800,3800
6,Time Challenge6,2037_CSHS.png,R_CSHS,R_CSHS,34,3,210,123601001|123602001|154801001|158801001|44445101,0,2214216000,140668260,156298470,7905174,7905174,128994,128994,15837340,52099,8361921,52029734,150,400,70,70,1100,1100,1100,370,150,70,930,4200,4200
7,Time Challenge7,2037_CSHS.png,R_CSHS,R_CSHS,34,3,230,123601001|123602001|154801001|158801001|44445101,0,7427538000,471868020,524298690,12208830,12208830,222906,222906,24401300,80352,13258080,82494720,150,450,100,100,1400,1400,1400,400,150,100,1110,4600,4600
8,Time Challenge8,2037_CSHS.png,R_CSHS,R_CSHS,34,3,250,123601001|123602001|154801001|158801001|44445101,0,20182413600,1282178880,1424644920,15543402,15543402,320982,320982,31036820,102125,17156967,106754458,150,500,120,120,1600,1600,1600,420,150,120,1290,5000,5000
9,Time Challenge9,2037_CSHS.png,R_CSHS,R_CSHS,34,3,270,123601001|123602001|154801001|158801001|157802001|44445101,0,38759612400,2462378040,2735977950,22709586,22709586,665580,665580,45005980,148291,25802670,160549940,150,550,160,160,2000,2000,2000,460,150,160,1568,5400,5400
10,Time Challenge10,2037_CSHS.png,R_CSHS,R_CSHS,34,3,290,123601001|123602001|154801001|158801001|157802001|44445101,0,48963182400,3110605020,3456230400,26988603,26988603,1150122,1150122,53020440,174557,31158390,193874420,150,600,190,190,2300,2300,2300,490,150,190,1760,5800,5800
11,Time Challenge11,2037_CSHS.png,R_CSHS,R_CSHS,34,3,310,123601001|123602001|154801001|158801001|157802001|44445101,0,134693856000,8557026750,9507812220,53500962,53500962,2208234,2208234,104982050,346368,62865792,391164928,150,650,210,210,2500,2500,2500,510,150,210,2044,6200,6200
12,Time Challenge12,2037_CSHS.png,R_CSHS,R_CSHS,34,3,320,123601001|123602001|154801001|158801001|157802001|44445101,0,173675502000,11033508600,12259459440,67368930,67368930,3577332,3577332,131056700,432432,79783704,496431936,150,700,230,230,2700,2700,2700,530,150,230,2144,6400,6400
13,Time Challenge13,2037_CSHS.png,R_CSHS,R_CSHS,34,3,330,123601001|123602001|154801001|158801001|157802001|155602001|44445101,0,208961280000,13275194130,14750221860,80162841,80162841,4769784,4769784,155264040,512160,95261760,592739840,150,750,240,240,2800,2800,2800,540,150,240,2245,6600,6600
14,Time Challenge14,2037_CSHS.png,R_CSHS,R_CSHS,34,3,340,123601001|123602001|154801001|158801001|157802001|155602001|44445101,0,247889070000,15748254540,17498067480,94140876,94140876,6296112,6296112,181407600,598224,112167000,697928000,150,800,250,250,2900,2900,2900,550,150,250,2345,6800,6800
15,Time Challenge15,2037_CSHS.png,R_CSHS,R_CSHS,34,3,350,123601001|123602001|154801001|158801001|157802001|155602001|44445101,0,330204600000,20977712550,23308577100,123489525,123489525,8242176,8242176,237742130,784800,148327200,922924800,150,800,260,260,3000,3000,3000,560,150,260,2446,7000,7000
16,Time Challenge16,2037_CSHS.png,R_CSHS,R_CSHS,34,3,360,123601001|123602001|154801001|158801001|157802001|155602001|44445101,0,367567200000,23351337270,25945938540,137290317,137290317,8929032,8929032,264783170,873600,165110400,1027353600,150,800,260,260,3000,3000,3000,560,150,260,2546,8200,8200
17,Time Challenge17,2037_CSHS.png,R_CSHS,R_CSHS,34,3,370,123601001|123602001|154801001|158801001|157802001|155602001|154901001|44445101,0,423366300000,26896222170,29884700340,156757335,156757335,11539056,11539056,300505460,991200,188823600,1174902400,150,800,270,270,3100,3100,3100,570,150,270,2647,8400,8400
18,Time Challenge18,2037_CSHS.png,R_CSHS,R_CSHS,34,3,380,123601001|123602001|154801001|158801001|157802001|155602001|154901001|44445101,0,585225000000,37179010980,41310022050,212885151,212885151,14835936,14835936,408456000,1350000,259200000,1612800000,150,800,280,280,3200,3200,3200,580,150,280,2840,8600,8600
19,Time Challenge19,2037_CSHS.png,R_CSHS,R_CSHS,34,3,390,123601001|123602001|154801001|158801001|157802001|155602001|154901001|44445101,0,622335150000,39536597250,43929562320,224682186,224682186,17803128,17803128,427896000,1414800,273763800,1703419200,150,800,290,290,3300,3300,3300,590,150,290,2840,8800,8800
20,Time Challenge20,2037_CSHS.png,R_CSHS,R_CSHS,34,3,400,123601001|123602001|154801001|158801001|157802001|155602001|154901001|44445101,0,660271500000,41946671340,46607422680,236894619,236894619,21363762,21363762,447336000,1479600,288522000,1795248000,150,800,300,300,3400,3400,3400,600,150,300,2840,9000,9000
21,Order Challenge1,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,110,124801001|124802001|154801001|44445101,0,4896000,155574,172908,0,0,0,0,23184,384,38400,358400,150,150,0,0,0,0,0,0,0,0,46,2200,2200
22,Order Challenge2,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,130,124801001|124802001|154801001|44445101,0,25806000,1639545,1821795,356400,356400,36000,36000,680400,2208,223008,2081408,150,200,10,10,500,500,500,310,150,10,230,2600,2600
23,Order Challenge3,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,150,124801001|124802001|154801001|44445101,0,171849600,10917645,12130845,1833408,1833408,51840,51840,3649540,11981,1833063,11405722,150,250,20,20,600,600,600,320,150,20,368,3000,3000
24,Order Challenge4,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,170,124801001|124802001|154801001|44445101,0,481991310,30620916,34023456,2650665,2650665,62208,62208,5300640,17381,2685333,16708742,150,300,30,30,700,700,700,330,150,30,520,3400,3400
25,Order Challenge5,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,190,124801001|124802001|154801001|158801001|44445101,0,1137677400,72276327,80307342,5019906,5019906,89580,89580,10049400,33048,5205060,32387040,150,350,50,50,900,900,900,350,150,50,650,3800,3800
26,Order Challenge6,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,210,124801001|124802001|154801001|158801001|44445101,0,2214216000,140668260,156298470,7905174,7905174,128994,128994,15837340,52099,8361921,52029734,150,400,70,70,1100,1100,1100,370,150,70,930,4200,4200
27,Order Challenge7,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,230,124801001|124802001|154801001|158801001|44445101,0,7427538000,471868020,524298690,12208830,12208830,222906,222906,24401300,80352,13258080,82494720,150,450,100,100,1400,1400,1400,400,150,100,1110,4600,4600
28,Order Challenge8,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,250,124801001|124802001|154801001|158801001|44445101,0,20182413600,1282178880,1424644920,15543402,15543402,320982,320982,31036820,102125,17156967,106754458,150,500,120,120,1600,1600,1600,420,150,120,1290,5000,5000
29,Order Challenge9,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,270,124801001|124802001|154801001|158801001|157802001|44445101,0,38759612400,2462378040,2735977950,22709586,22709586,665580,665580,45005980,148291,25802670,160549940,150,550,160,160,2000,2000,2000,460,150,160,1568,5400,5400
30,Order Challenge10,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,290,124801001|124802001|154801001|158801001|157802001|44445101,0,48963182400,3110605020,3456230400,26988603,26988603,1150122,1150122,53020440,174557,31158390,193874420,150,600,190,190,2300,2300,2300,490,150,190,1760,5800,5800
31,Order Challenge11,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,310,124801001|124802001|154801001|158801001|157802001|44445101,0,134693856000,8557026750,9507812220,53500962,53500962,2208234,2208234,104982050,346368,62865792,391164928,150,650,210,210,2500,2500,2500,510,150,210,2044,6200,6200
32,Order Challenge12,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,320,124801001|124802001|154801001|158801001|157802001|44445101,0,173675502000,11033508600,12259459440,67368930,67368930,3577332,3577332,131056700,432432,79783704,496431936,150,700,230,230,2700,2700,2700,530,150,230,2144,6400,6400
33,Order Challenge13,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,330,124801001|124802001|154801001|158801001|157802001|155602001|44445101,0,208961280000,13275194130,14750221860,80162841,80162841,4769784,4769784,155264040,512160,95261760,592739840,150,750,240,240,2800,2800,2800,540,150,240,2245,6600,6600
34,Order Challenge14,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,340,124801001|124802001|154801001|158801001|157802001|155602001|44445101,0,247889070000,15748254540,17498067480,94140876,94140876,6296112,6296112,181407600,598224,112167000,697928000,150,800,250,250,2900,2900,2900,550,150,250,2345,6800,6800
35,Order Challenge15,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,350,124801001|124802001|154801001|158801001|157802001|155602001|44445101,0,330204600000,20977712550,23308577100,123489525,123489525,8242176,8242176,237742130,784800,148327200,922924800,150,800,260,260,3000,3000,3000,560,150,260,2446,7000,7000
36,Order Challenge16,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,360,124801001|124802001|154801001|158801001|157802001|155602001|44445101,0,367567200000,23351337270,25945938540,137290317,137290317,8929032,8929032,264783170,873600,165110400,1027353600,150,800,260,260,3000,3000,3000,560,150,260,2546,8200,8200
37,Order Challenge17,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,370,124801001|124802001|154801001|158801001|157802001|155602001|154901001|44445101,0,423366300000,26896222170,29884700340,156757335,156757335,11539056,11539056,300505460,991200,188823600,1174902400,150,800,270,270,3100,3100,3100,570,150,270,2647,8400,8400
38,Order Challenge18,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,380,124801001|124802001|154801001|158801001|157802001|155602001|154901001|44445101,0,585225000000,37179010980,41310022050,212885151,212885151,14835936,14835936,408456000,1350000,259200000,1612800000,150,800,280,280,3200,3200,3200,580,150,280,2840,8600,8600
39,Order Challenge19,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,390,124801001|124802001|154801001|158801001|157802001|155602001|154901001|44445101,0,622335150000,39536597250,43929562320,224682186,224682186,17803128,17803128,427896000,1414800,273763800,1703419200,150,800,290,290,3300,3300,3300,590,150,290,2840,8800,8800
40,Order Challenge20,2049_CSHS.png,YKLS_CSHS,YKLS_CSHS,34,1,400,124801001|124802001|154801001|158801001|157802001|155602001|154901001|44445101,0,660271500000,41946671340,46607422680,236894619,236894619,21363762,21363762,447336000,1479600,288522000,1795248000,150,800,300,300,3400,3400,3400,600,150,300,2840,9000,9000
41,Space Challenge1,2053_CSHS.png,BMH_CSHS,BMH_CSHS,34,1,110,125201001|125202001|154801001|44445101,0,4896000,155574,172908,0,0,0,0,23184,384,38400,358400,150,150,0,0,0,0,0,0,0,0,46,2200,2200
42,Space Challenge2,2053_CSHS.png,BMH_CSHS,BMH_CSHS,34,1,130,125201001|125202001|154801001|44445101,0,25806000,1639545,1821795,356400,356400,36000,36000,680400,2208,223008,2081408,150,200,10,10,500,500,500,310,150,10,230,2600,2600
