id,big_step,small_step,npc_id,first_rewards,first_reward_quality,pass_reward_quality,weight,first_random_count,sweep_common_count,sweep_random_count,enhance_hero_cids
1,1,1,1,32:1001:0|32:1002:0,2,2,100,0,2,2,1001|2077|2057|2088|2047|2054|2068
2,1,2,2,32:1003:0|32:1004:0,2,2,100,0,2,3,1001|2077|2057|2088|2047|2054|2068
3,1,3,3,32:1001:0|32:1002:0,2,2,100,0,3,3,1001|2077|2057|2088|2047|2054|2068
4,1,4,4,32:1003:0|32:1004:0,2,2,100,0,3,4,1001|2077|2057|2088|2047|2054|2068
5,1,5,5,32:2001:0|32:2002:0,3,3|2,5|95,0,4,4,1001|2077|2057|2088|2047|2054|2068
6,1,6,6,32:2003:0|32:2004:0,3,3|2,10|90,0,4,5,1001|2077|2057|2088|2047|2054|2068
7,1,7,7,32:2001:0|32:2002:0,3,3|2,15|85,0,4,5,1001|2077|2057|2088|2047|2054|2068
8,1,8,8,32:2003:0|32:2004:0,3,3|2,18|82,0,4,6,1001|2077|2057|2088|2047|2054|2068
9,1,9,9,32:3001:0|32:3002:0,4,4|3|2,2|18|80,0,4,6,1001|2077|2057|2088|2047|2054|2068
10,1,10,10,32:3003:0|32:3004:0,4,4|3|2,5|18|77,0,4,7,1001|2077|2057|2088|2047|2054|2068
11,1,11,11,32:3001:0|32:3002:0,4,4|3|2,8|20|72,0,4,7,1001|2077|2057|2088|2047|2054|2068
12,1,12,12,32:3003:0|32:3004:0,4,4|3|2,10|20|70,0,4,8,1001|2077|2057|2088|2047|2054|2068
13,1,13,13,32:4001:0|32:4002:0,5,5|4|3|2,2|12|25|61,0,4,8,1001|2077|2057|2088|2047|2054|2068
14,1,14,14,32:4003:0|32:4004:0,5,5|4|3|2,5|12|25|58,0,4,9,1001|2077|2057|2088|2047|2054|2068
15,1,15,15,32:4001:0|32:4002:0,5,5|4|3|2,8|15|30|47,0,4,9,1001|2077|2057|2088|2047|2054|2068
16,1,16,16,32:4003:0|32:4004:0,5,5|4|3|2,10|18|32|40,0,4,10,1001|2077|2057|2088|2047|2054|2068
17,1,17,17,32:5001:0|32:5002:0,6,6|5|4|3|2,3|12|20|35|30,0,4,10,1001|2077|2057|2088|2047|2054|2068
18,1,18,18,32:5003:0|32:5004:0,6,6|5|4|3|2,5|15|22|38|20,0,4,10,1001|2077|2057|2088|2047|2054|2068
19,1,19,19,32:5001:0|32:5002:0,6,6|5|4|3|2,8|18|20|40|14,0,4,10,1001|2077|2057|2088|2047|2054|2068
20,1,20,20,32:5003:0|32:5004:0,6,6|5|4|3|2,10|20|20|40|10,0,4,10,1001|2077|2057|2088|2047|2054|2068
21,2,1,21,32:1001:0|32:1002:0,2,2,100,0,2,2,1001|2078|2069|2081|2074|2039|2083
22,2,2,22,32:1003:0|32:1004:0,2,2,100,0,2,3,1001|2078|2069|2081|2074|2039|2083
23,2,3,23,32:1001:0|32:1002:0,2,2,100,0,3,3,1001|2078|2069|2081|2074|2039|2083
24,2,4,24,32:1003:0|32:1004:0,2,2,100,0,3,4,1001|2078|2069|2081|2074|2039|2083
25,2,5,25,32:2001:0|32:2002:0,3,3|2,5|95,0,4,4,1001|2078|2069|2081|2074|2039|2083
26,2,6,26,32:2003:0|32:2004:0,3,3|2,10|90,0,4,5,1001|2078|2069|2081|2074|2039|2083
27,2,7,27,32:2001:0|32:2002:0,3,3|2,15|85,0,4,5,1001|2078|2069|2081|2074|2039|2083
28,2,8,28,32:2003:0|32:2004:0,3,3|2,18|82,0,4,6,1001|2078|2069|2081|2074|2039|2083
29,2,9,29,32:3001:0|32:3002:0,4,4|3|2,2|18|80,0,4,6,1001|2078|2069|2081|2074|2039|2083
30,2,10,30,32:3003:0|32:3004:0,4,4|3|2,5|18|77,0,4,7,1001|2078|2069|2081|2074|2039|2083
31,2,11,31,32:3001:0|32:3002:0,4,4|3|2,8|20|72,0,4,7,1001|2078|2069|2081|2074|2039|2083
32,2,12,32,32:3003:0|32:3004:0,4,4|3|2,10|20|70,0,4,8,1001|2078|2069|2081|2074|2039|2083
33,2,13,33,32:4001:0|32:4002:0,5,5|4|3|2,2|12|25|61,0,4,8,1001|2078|2069|2081|2074|2039|2083
