id,name,desc,icon,debuff_icon,cooldown_time,prepare_effect,skill_effect,hit_effect,target_type,target_count,target_rule_type,must_be_crit_type,damage_type,damage_value,change_attribute,control_type,control_value,during_time
1,普通攻击-1,Deal 100% P.DMG to 1 enemy,1006.jpg,,0,attack_2_act,attack_att1,attack_2_hit,2,1,1,0,2,1000,0,0,0,0
2,普通攻击-2,Deal 100% P.DMG to 1 enemy,1006.jpg,,0,attack_2_act,attack_2_att,attack_2_hit,2,1,1,0,2,1000,0,0,0,0
3,普通攻击-3,Deal 100% M.DMG to 1 enemy,1006.jpg,,0,attack_2_act,attack_2_att1,attack_2_hit,2,1,1,0,3,1000,0,0,0,0
4,Basic Attack,Deal 50% P.DMG to 3 enemies,1006.jpg,,0,attack_2_yellow_act,attack_2_yellow_att,attack_2_yellow_hit,2,3,1,0,2,500,0,0,0,0
5,Basic Attack,Deal 60% M.DMG to 2 enemies,1006.jpg,,0,attack_2_act,attack_2_att,attack_2_hit,2,2,1,0,3,600,0,0,0,0
6,Basic Attack,Deal 50% M.DMG to 3 enemies,1006.jpg,,0,attack_2_act,attack_2_att,attack_2_hit,2,3,1,0,3,500,0,0,0,0
7,Thunderstroke,Deal 300% ATK of P.DMG to 1 enemy,1010.jpg,,3,SYZZ_act,SYZZ_att,SYZZ_hit,2,1,1,0,2,3000,0,0,0,0
8,God's Light,Deal 100% ATK of P.DMG to 3 enemy,12901.jpg,,3,CJST_act,attack_2_att,CJST_hit,2,3,1,0,2,1000,0,0,0,0
9,Harmonious Shot,Deal 300% ATK of M.DMG to 1 enemy,11901.jpg,,3,2004_act,2004_att,2004_hit,2,1,1,0,3,3000,0,0,0,0
10,Bull Rush,Deal 80% ATK of M.DMG to 4 enemy,11701.jpg,,3,MNCZ_act,attack_2_att,MNCZ_hit,2,4,1,0,3,800,0,0,0,0
11,Life Harvest,Deal 110% ATK of P.DMG to 3 enemies,10401.jpg,,3,1004_act,1004_att,1004_hit,2,3,1,0,2,1100,0,0,0,0
12,Radiant Sword,Deal 150% ATK of P.DMG to 2 enemy,10601.jpg,,3,GHZJ_act,GHZJ_att,GHZJ_hit,2,2,1,0,2,1500,0,0,0,0
13,Hand of Hell,Deal 160% ATK of M.DMG to 2 enemy,13301.jpg,,3,attack_2_act,attack_2_att,DYZS_hit,2,2,1,0,3,1600,0,0,0,0
14,Mesmerizing Blonde,Inflict [ATK Increase] state to 3 angels that increase the Base ATK by 100% for 5 seconds,12201.jpg,,3,MRJF_act,MRJF_att,MRJF_hit,1,3,1,0,4,0,4:1000,0,0,5
15,Seraph,Inflict [Attack Speed Increase] state to 3 angels that increase the Base Attack Speed by 100% for 5 seconds,11602.jpg,,3,GHGY_act,GHGY_att,GHGY_hit,1,3,1,0,4,0,3:1000,0,0,5
16,Tsukuyomi,Deal 230% P.DMG and inflict [Stun] state to 1 enemy that disables its action for 2 seconds,10501.jpg,YunXuan.png,3,attack_2_act,attack_2_att,attack_2_hit,2,1,1,0,2|5,2300,0,1,0,2
17,Infinite Chaos,Deal 100% M.DMG and inflict [Speed Impair] state to 3 enemies that reduce its moving speed.,10901.jpg,XuRuo.png,3,attack_2_act,FBLX_att,FBLX_hit,2,3,1,0,3|5,1000,11:500,2,0,2
18,Fire Annihilation,Deal 120% P.DMG and inflict [Burning] state to 3 enemies that deal 50% ATK of M.DMG for 3 seconds.,13901.jpg,ZhuoShao.png,3,LYMS_act,attack_2_att,LYMS_hit,2,3,1,0,2|5,1200,0,3,500,3
19,Poisonous Magic,Deal 100% M.DMG and inflict [Poisoned] state to 3 enemies that lose 4% of current HP per second for 3 seconds.,10701.jpg,ZhongDu.png,3,1009_act,1009_att,1009_hit,2,3,1,0,3|5,1000,0,4,40,3
20,Matronage,Deal 120% ATK of P.DMG to 3 enemy,12601.jpg,,3,MYTX_act,attack_2_att,MYTX_hit,2,3,1,0,2,1200,0,0,0,0
21,Blazing Brilliance,Deal 120% ATK of M.DMG to 3 enemy,13201.jpg,,3,YGTJ_act,attack_2_att,YGTJ_hit,2,3,1,0,3,1200,0,0,0,0
22,Arcane Arrow,Deal 120% ATK of P.DMG to 3 enemy,12001.jpg,,3,AYZJ_act,AYZJ_att,AYZJ_hit,2,3,1,0,2,1200,0,0,0,0
23,Trauma,Deal 120% ATK of M.DMG to 3 enemy,12101.jpg,,3,MYZW_act,MYZW_att,MYZW_hit,2,3,1,0,3,1200,0,0,0,0
24,Ground-shaking Strike,Deal 180% ATK of P.DMG to 2 enemies,10801.jpg,,3,attack_2_att,HDCJ_att,HDCJ_hit,2,2,1,0,2,1800,0,0,0,0
25,Snake Hair,"Deals 100% True DMG to 3 enemies and inflicts [Petrified] state, rendering them unable to move for 4 sec.",10001.jpg,YunXuan.png,3,SFKW_act,SFKW_att,SFKW_hit,2,3,1,0,1|5,1000,0,1,0,4
