cid,type,land_id,debris_type,add_debris_count,add_goods_count,tab_desc,desc
1,1,1,3,3,0,Miracle Bonus,OSL_ANIMAL_TIPS
2,1,2,3,3,0,Miracle Bonus,OSL_ANIMAL_TIPS
3,1,3,3,3,0,Miracle Bonus,OSL_ANIMAL_TIPS
4,1,1,3,3,0,Miracle Bonus,OSL_ANIMAL_TIPS
5,1,2,3,3,0,Miracle Bonus,OSL_ANIMAL_TIPS
6,1,3,3,3,0,Miracle Bonus,OSL_ANIMAL_TIPS
7,1,4,3,3,0,Miracle Bonus,OSL_ANIMAL_TIPS
8,1,1,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
9,1,2,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
10,1,3,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
11,1,4,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
12,1,5,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
13,1,1,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
14,1,2,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
15,1,5,3,3,0,Miracle Bonus,OSL_ANIMAL_TIPS
16,1,3,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
17,1,4,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
18,1,5,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
19,1,1,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
20,1,2,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
21,1,3,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
22,1,4,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
23,1,3,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
24,1,4,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
25,1,5,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
26,1,2,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
27,1,3,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
28,1,4,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
29,1,5,4,1,0,Miracle Bonus,OSL_ANIMAL_TIPS
