cfg_id,treasure_id,star,strength,agilty,intelligence,stamina,special_effect_id,effect_ids,job,fight_attribute,consume_self_debris_count,consume_goods_count,consume_blue_debris_count,consume_purple_debris_count
1,1001,0,55,70,55,60,0,0,2,2:3:3000,10,0,0,0
2,1001,1,110,140,110,120,0,0,2,2:3:4000,30,500,0,0
3,1001,2,165,210,165,180,0,0,2,2:3:5000,60,1000,0,0
4,1001,3,220,280,220,240,0,0,2,2:3:6000,100,1500,0,0
5,1002,0,55,65,55,65,0,0,2,2:5:1000,10,0,0,0
6,1002,1,110,130,110,130,0,0,2,2:5:1500,30,500,0,0
7,1002,2,165,195,165,195,0,0,2,2:5:2000,60,1000,0,0
8,1002,3,220,260,220,260,0,0,2,2:5:2500,100,1500,0,0
9,1003,0,70,55,50,65,0,0,1,2:3:3000,10,0,0,0
10,1003,1,140,110,100,130,0,0,1,2:3:4000,30,500,0,0
11,1003,2,210,165,150,195,0,0,1,2:3:5000,60,1000,0,0
12,1003,3,280,220,200,260,0,0,1,2:3:6000,100,1500,0,0
13,1004,0,55,65,55,65,0,0,2,2:1:5000,10,0,0,0
14,1004,1,110,130,110,130,0,0,2,2:1:7500,30,500,0,0
15,1004,2,165,195,165,195,0,0,2,2:1:10000,60,1000,0,0
16,1004,3,220,260,220,260,0,0,2,2:1:12500,100,1500,0,0
17,1005,0,65,55,50,70,0,0,1,2:1:5000,10,0,0,0
18,1005,1,130,110,100,140,0,0,1,2:1:7500,30,500,0,0
19,1005,2,195,165,150,210,0,0,1,2:1:10000,60,1000,0,0
20,1005,3,260,220,200,280,0,0,1,2:1:12500,100,1500,0,0
21,1006,0,65,55,50,70,0,0,1,2:5:1000,10,0,0,0
22,1006,1,130,110,100,140,0,0,1,2:5:1500,30,500,0,0
23,1006,2,195,165,150,210,0,0,1,2:5:2000,60,1000,0,0
24,1006,3,260,220,200,280,0,0,1,2:5:2500,100,1500,0,0
25,1007,0,55,55,65,65,0,0,3,2:5:1000,10,0,0,0
26,1007,1,110,110,130,130,0,0,3,2:5:1500,30,500,0,0
27,1007,2,165,165,195,195,0,0,3,2:5:2000,60,1000,0,0
28,1007,3,220,220,260,260,0,0,3,2:5:2500,100,1500,0,0
29,1008,0,55,55,70,60,0,0,3,2:3:3000,10,0,0,0
30,1008,1,110,110,140,120,0,0,3,2:3:4000,30,500,0,0
31,1008,2,165,165,210,180,0,0,3,2:3:5000,60,1000,0,0
32,1008,3,220,220,280,240,0,0,3,2:3:6000,100,1500,0,0
33,1009,0,55,65,65,55,0,0,0,2:10:1000,10,0,0,0
34,1009,1,110,130,130,110,0,0,0,2:10:1500,30,500,0,0
35,1009,2,165,195,195,165,0,0,0,2:10:2000,60,1000,0,0
36,1009,3,220,260,260,220,0,0,0,2:10:2500,100,1500,0,0
37,1010,0,65,55,55,65,0,0,0,2:11:1000,10,0,0,0
38,1010,1,130,110,110,130,0,0,0,2:11:1500,30,500,0,0
39,1010,2,195,165,165,195,0,0,0,2:11:2000,60,1000,0,0
40,1010,3,260,220,220,260,0,0,0,2:11:2500,100,1500,0,0
41,1011,0,60,60,55,65,0,0,0,2:5:1000,10,0,0,0
42,1011,1,120,120,110,130,0,0,0,2:5:1500,30,500,0,0
43,1011,2,180,180,165,195,0,0,0,2:5:2000,60,1000,0,0
44,1011,3,240,240,220,260,0,0,0,2:5:2500,100,1500,0,0
45,1012,0,55,55,65,65,0,0,3,2:1:5000,10,0,0,0
46,1012,1,110,110,130,130,0,0,3,2:1:7500,30,500,0,0
47,1012,2,165,165,195,195,0,0,3,2:1:10000,60,1000,0,0
48,1012,3,220,220,260,260,0,0,3,2:1:12500,100,1500,0,0
49,2001,0,180,170,170,200,0,0,0,2:5:5000,30,0,0,0
50,2001,1,360,340,340,400,0,0,0,2:5:6000,60,1000,0,0
51,2001,2,540,510,510,600,0,0,0,2:5:7000,80,2000,60,0
52,2001,3,720,680,680,800,0,0,0,2:5:8500,90,3000,90,0
53,2001,4,900,850,850,1000,0,0,0,2:5:10000,100,3000,120,0
54,2002,0,200,200,160,160,0,0,0,2:3:5000,30,0,0,0
55,2002,1,400,400,320,320,0,0,0,2:3:6000,60,1000,0,0
56,2002,2,600,600,480,480,0,0,0,2:3:7000,80,2000,60,0
57,2002,3,800,800,640,640,0,0,0,2:3:8500,90,3000,90,0
58,2002,4,1000,1000,800,800,0,0,0,2:3:10000,100,3000,120,0
59,2003,0,180,160,160,220,0,0,0,2:1:50000,30,0,0,0
60,2003,1,360,320,320,440,0,0,0,2:1:60000,60,1000,0,0
61,2003,2,540,480,480,660,0,0,0,2:1:70000,80,2000,60,0
62,2003,3,720,640,640,880,0,0,0,2:1:85000,90,3000,90,0
63,2003,4,900,800,800,1100,0,0,0,2:1:100000,100,3000,120,0
64,2004,0,180,220,160,160,0,0,0,2:17:5000,30,0,0,0
65,2004,1,360,440,320,320,0,0,0,2:17:6000,60,1000,0,0
66,2004,2,540,660,480,480,0,0,0,2:17:7000,80,2000,60,0
67,2004,3,720,880,640,640,0,0,0,2:17:8500,90,3000,90,0
68,2004,4,900,1100,800,800,0,0,0,2:17:10000,100,3000,120,0
69,2005,0,190,160,170,200,1,0,0,,30,0,0,0
70,2005,1,380,320,340,400,2,0,0,,60,1000,0,0
71,2005,2,570,480,510,600,3,0,0,,80,2000,60,0
72,2005,3,760,640,680,800,4,0,0,,90,3000,90,0
73,2005,4,950,800,850,1000,5,0,0,,100,3000,120,0
74,2006,0,160,160,200,200,0,0,0,2:7:5000,30,0,0,0
75,2006,1,320,320,400,400,0,0,0,2:7:6000,60,1000,0,0
76,2006,2,480,480,600,600,0,0,0,2:7:7000,80,2000,60,0
77,2006,3,640,640,800,800,0,0,0,2:7:8500,90,3000,90,0
78,2006,4,800,800,1000,1000,0,0,0,2:7:10000,100,3000,120,0
79,2007,0,180,160,160,220,0,0,0,2:11:5000,30,0,0,0
80,2007,1,360,320,320,440,0,0,0,2:11:6000,60,1000,0,0
81,2007,2,540,480,480,660,0,0,0,2:11:7000,80,2000,60,0
82,2007,3,720,640,640,880,0,0,0,2:11:8500,90,3000,90,0
83,2007,4,900,800,800,1100,0,0,0,2:11:10000,100,3000,120,0
84,2008,0,160,200,200,160,0,0,0,3:21:100,30,0,0,0
85,2008,1,320,400,400,320,0,0,0,3:21:150,60,1000,0,0
86,2008,2,480,600,600,480,0,0,0,3:21:200,80,2000,60,0
87,2008,3,640,800,800,640,0,0,0,3:21:250,90,3000,90,0
88,2008,4,800,1000,1000,800,0,0,0,3:21:300,100,3000,120,0
89,2009,0,200,160,160,200,0,0,0,2:6:5000,30,0,0,0
90,2009,1,400,320,320,400,0,0,0,2:6:6000,60,1000,0,0
91,2009,2,600,480,480,600,0,0,0,2:6:7000,80,2000,60,0
92,2009,3,800,640,640,800,0,0,0,2:6:8500,90,3000,90,0
93,2009,4,1000,800,800,1000,0,0,0,2:6:10000,100,3000,120,0
94,2010,0,180,200,160,180,24,0,0,,30,0,0,0
95,2010,1,360,400,320,360,25,0,0,,60,1000,0,0
96,2010,2,540,600,480,540,26,0,0,,80,2000,60,0
97,2010,3,720,800,640,720,27,0,0,,90,3000,90,0
98,2010,4,900,1000,800,900,28,0,0,,100,3000,120,0
99,3001,0,690,690,480,540,6,0,0,,50,0,0,0
100,3001,1,1380,1380,960,1080,7,0,0,,60,2500,0,0
101,3001,2,2070,2070,1440,1620,8,0,0,,80,3500,0,0
102,3001,3,2760,2760,1920,2160,9,0,0,,100,4500,90,60
103,3001,4,3450,3450,2400,2700,10,0,0,,120,5500,120,90
104,3001,5,4140,4140,2880,3240,11,0,0,,120,6000,150,120
105,3002,0,600,540,570,690,12,0,0,,50,0,0,0
106,3002,1,1200,1080,1140,1380,13,0,0,,60,2500,0,0
107,3002,2,1800,1620,1710,2070,14,0,0,,80,3500,0,0
108,3002,3,2400,2160,2280,2760,15,0,0,,100,4500,90,60
109,3002,4,3000,2700,2850,3450,16,0,0,,120,5500,120,90
110,3002,5,3600,3240,3420,4140,17,0,0,,120,6000,150,120
111,3003,0,720,540,600,540,18,0,0,,50,0,0,0
112,3003,1,1440,1080,1200,1080,19,0,0,,60,2500,0,0
113,3003,2,2160,1620,1800,1620,20,0,0,,80,3500,0,0
114,3003,3,2880,2160,2400,2160,21,0,0,,100,4500,90,60
115,3003,4,3600,2700,3000,2700,22,0,0,,120,5500,120,90
116,3003,5,4320,3240,3600,3240,23,0,0,,120,6000,150,120
117,3004,0,690,660,540,510,29,0,0,,50,0,0,0
118,3004,1,1380,1320,1080,1020,30,0,0,,60,2500,0,0
119,3004,2,2070,1980,1620,1530,31,0,0,,80,3500,0,0
120,3004,3,2760,2640,2160,2040,32,0,0,,100,4500,90,60
121,3004,4,3450,3300,2700,2550,33,0,0,,120,5500,120,90
122,3004,5,4140,3960,3240,3060,34,0,0,,120,6000,150,120
123,3005,0,570,540,570,720,0,0,0,3:2:30,50,0,0,0
124,3005,1,1140,1080,1140,1440,0,0,0,3:2:60,60,2500,0,0
125,3005,2,1710,1620,1710,2160,0,0,0,3:2:90,80,3500,0,0
126,3005,3,2280,2160,2280,2880,0,0,0,3:2:120,100,4500,90,60
127,3005,4,2850,2700,2850,3600,0,0,0,3:2:150,120,5500,120,90
128,3005,5,3420,3240,3420,4320,0,0,0,3:2:200,120,6000,150,120
129,3006,0,660,660,540,540,35,0,0,,50,0,0,0
130,3006,1,1320,1320,1080,1080,36,0,0,,60,2500,0,0
131,3006,2,1980,1980,1620,1620,37,0,0,,80,3500,0,0
132,3006,3,2640,2640,2160,2160,38,0,0,,100,4500,90,60
133,3006,4,3300,3300,2700,2700,39,0,0,,120,5500,120,90
134,3006,5,3960,3960,3240,3240,40,0,0,,120,6000,150,120
135,3007,0,690,690,510,510,0,0,0,3:1:30,50,0,0,0
136,3007,1,1380,1380,1020,1020,0,0,0,3:1:60,60,2500,0,0
137,3007,2,2070,2070,1530,1530,0,0,0,3:1:90,80,3500,0,0
138,3007,3,2760,2760,2040,2040,0,0,0,3:1:120,100,4500,90,60
139,3007,4,3450,3450,2550,2550,0,0,0,3:1:150,120,5500,120,90
140,3007,5,4140,4140,3060,3060,0,0,0,3:1:200,120,6000,150,120
141,3008,0,600,600,600,600,41,0,0,,50,0,0,0
142,3008,1,1200,1200,1200,1200,42,0,0,,60,2500,0,0
143,3008,2,1800,1800,1800,1800,43,0,0,,80,3500,0,0
144,3008,3,2400,2400,2400,2400,44,0,0,,100,4500,90,60
145,3008,4,3000,3000,3000,3000,45,0,0,,120,5500,120,90
146,3008,5,3600,3600,3600,3600,46,0,0,,120,6000,150,120
147,3009,5,100,100,100,100,0,0,0,2:3:100,50,0,0,0
148,3010,5,100,100,100,100,0,0,0,2:5:100,50,0,0,0
149,3011,5,100,100,100,100,0,0,0,2:1:1000,50,0,0,0
150,3012,0,720,540,600,540,47,0,0,,50,0,0,0
151,3012,1,1440,1080,1200,1080,48,0,0,,60,2500,0,0
152,3012,2,2160,1620,1800,1620,49,0,0,,80,3500,0,0
153,3012,3,2880,2160,2400,2160,50,0,0,,100,4500,90,60
154,3012,4,3600,2700,3000,2700,51,0,0,,120,5500,120,90
155,3012,5,4320,3240,3600,3240,52,0,0,,120,6000,150,120
156,3013,0,690,660,540,510,53,0,0,,50,0,0,0
157,3013,1,1380,1320,1080,1020,54,0,0,,60,2500,0,0
158,3013,2,2070,1980,1620,1530,55,0,0,,80,3500,0,0
159,3013,3,2760,2640,2160,2040,56,0,0,,100,4500,90,60
160,3013,4,3450,3300,2700,2550,57,0,0,,120,5500,120,90
161,3013,5,4140,3960,3240,3060,58,0,0,,120,6000,150,120
162,3014,0,660,660,540,540,59,0,0,,50,0,0,0
163,3014,1,1320,1320,1080,1080,60,0,0,,60,2500,0,0
164,3014,2,1980,1980,1620,1620,61,0,0,,80,3500,0,0
165,3014,3,2640,2640,2160,2160,62,0,0,,100,4500,90,60
166,3014,4,3300,3300,2700,2700,63,0,0,,120,5500,120,90
167,3014,5,3960,3960,3240,3240,64,0,0,,120,6000,150,120
168,3015,0,600,550,650,600,65,0,0,,50,0,0,0
169,3015,1,1200,1100,1300,1200,66,0,0,,60,2500,0,0
170,3015,2,1800,1650,1950,1800,67,0,0,,80,3500,0,0
171,3015,3,2400,2200,2600,2400,68,0,0,,100,4500,90,60
172,3015,4,3000,2750,3250,3000,69,0,0,,120,5500,120,90
173,3015,5,3600,3300,3900,3600,70,0,0,,120,6000,150,120
174,3016,0,560,560,600,680,71,0,0,,50,0,0,0
175,3016,1,1120,1120,1200,1360,72,0,0,,60,2500,0,0
176,3016,2,1680,1680,1800,2040,73,0,0,,80,3500,0,0
177,3016,3,2240,2240,2400,2720,74,0,0,,100,4500,90,60
178,3016,4,2800,2800,3000,3400,75,0,0,,120,5500,120,90
179,3016,5,3360,3360,3600,4080,76,0,0,,120,6000,150,120
180,3017,5,100,100,100,100,0,0,0,2:1:1000,50,0,0,0
