treasure_id,position_count,delete_get_score,quality,name,icon,description
1001,10,5,3,Runestone Piece,1001.jpg,Collect 10 Runestone pieces to synthesize the Runestone Miracle Card
1002,10,5,3,Summer Fun Piece,1002.jpg,Collect 10 Summer Fun pieces to synthesize the Summer Fun Miracle Card
1003,10,5,3,Battle Angel Piece,1003.jpg,Collect 10 Battle Angel pieces to synthesize the Battle Angel Miracle Card
1004,10,5,3,Dreaming Moment Piece,1004.jpg,Collect 10 Dreaming Moment pieces to synthesize the Dreaming Moment Miracle Card
1005,10,5,3,Key of Life Piece,1005.jpg,Collect 10 Key of Life pieces to synthesize the Key of Life
1006,10,5,3,Holy Pyramid Piece,1006.jpg,Collect 10 Holy Pyramid pieces to synthesize the Holy Pyramid Miracle Card
1007,10,5,3,The Lost Scrolls Piece,1007.jpg,Collect 10 The Lost Scrolls pieces to synthesize the Lost Scrolls Miracle Card
1008,10,5,3,Waltz Time Piece,1008.jpg,Collect 10 Waltz Time pieces to synthesize the Waltz Time Miracle Card
1009,10,5,3,Loving Care Piece,1009.jpg,Collect 10 Loving Care pieces to synthesize the Loving Care Miracle Card
1010,10,5,3,Kunlun Mirror Piece,1010.jpg,Collect 10 Kunlun Mirror pieces to synthesize the Kunlun Mirror Miracle Card
1011,10,5,3,Inari Mask Piece,1011.jpg,Collect 10 Inari Mask pieces to synthesize the Inari Mask Miracle Card
1012,10,5,3,A Sea of Books Piece,1012.jpg,Collect 10 A Sea of Books pieces to synthesize the A Sea of Books Miracle Card
2001,30,25,4,Eros Necklace Piece,2001.jpg,Collect 30 Eros Necklace pieces to synthesize the Eros Necklace Miracle Card
2002,30,25,4,Original Fire Piece,2002.jpg,Collect 30 Original Fire pieces to synthesize the Original Fire Miracle Card
2003,30,25,4,Summer Drinks Piece,2003.jpg,Collect 30 Summer Drinks pieces to synthesize Summer Drinks Miracle Card
2004,30,25,4,Eye of Horus Piece,2004.jpg,Collect 30 Eye of Horus pieces to synthesize the Eye of Horus Miracle Card
2005,30,25,4,Time Hourglass Piece,2005.jpg,Collect 30 Time Hourglass pieces to synthesize the Time Hourglass Miracle Card
2006,30,25,4,Holy Grail Piece,2006.jpg,Collect 30 Holy Grail pieces to synthesize the Holy Grail  Miracle Card
2007,30,25,4,Dessert House Piece,2007.jpg,Collect 30 Dessert House pieces to synthesize the Dessert House Miracle Card
2008,30,25,4,Cherry Hunting Piece,2008.jpg,Collect 30 Cherry Hunting pieces to synthesize the Cherry Hunting Miracle Card
2009,30,25,4,Come and Visit Piece,2009.jpg,Collect 30 Come and Visit Pieces to synthesize the Come and Visit Miracle Card
2010,30,25,4,Make a Wish Piece,2010.jpg,Collect 30 Make a Wish pieces to synthesize the Make a Wish Miracle Card
3001,50,50,5,Laevatain Piece,3001.jpg,Collect 50 Laevatain pieces to synthesize the Laevatain Miracle Card
3002,50,50,5,The Collapsible Ship Piece,3002.jpg,Collect 50 The Collapsible Ship pieces to synthesize the The Collapsible Ship Miracle Card
3003,50,50,5,Fireworks Festival Piece,3003.jpg,Collect 50 Fireworks Festival pieces to synthesize Fireworks Festival Miracle Card
3004,50,50,5,Jump to Dragonhood Piece,3004.jpg,Collect 50 Carp Jump to Dragonhood pieces to synthesize the Carp Jumping to Dragon Door Miracle Card
3005,50,50,5,Nekomata Cafe Piece,3005.jpg,Collect 50 Nekomata Cafe pieces to synthesize the Nekomata Cafe Miracle Card
3006,50,50,5,Good Harvest Piece,3006.jpg,Collect 50 Good Harvest pieces to synthesize the Good Harvest Miracle Card
