effect_id,type,fight_attribute,job,divide_value,limit_times,desc
1,8,2:5:50,0,5,60,解锁后，每5次女神冒险（0/60），全体女神获得50点防御。（当前增加0）
2,8,2:5:100,0,5,60,解锁后，每5次女神冒险（0/60），全体女神获得100点防御。（当前增加0）
3,8,2:5:150,0,5,60,解锁后，每5次女神冒险（0/60），全体女神获得150点防御。（当前增加0）
4,8,2:5:200,0,5,60,解锁后，每5次女神冒险（0/60），全体女神获得200点防御。（当前增加0）
5,8,2:5:250,0,5,60,解锁后，每5次女神冒险（0/60），全体女神获得250点防御。（当前增加0）
6,7,2:10:30,0,5,200,解锁后，每快速挂机5次（0/200），全体女神获得30点暴击值。（当前增加0）
7,7,2:10:60,0,5,200,解锁后，每快速挂机5次（0/200），全体女神获得60点暴击值。（当前增加0）
8,7,2:10:90,0,5,200,解锁后，每快速挂机5次（0/200），全体女神获得90点暴击值。（当前增加0）
9,7,2:10:120,0,5,200,解锁后，每快速挂机5次（0/200），全体女神获得120点暴击值。（当前增加0）
10,7,2:10:150,0,5,200,解锁后，每快速挂机5次（0/200），全体女神获得150点暴击值。（当前增加0）
11,7,2:10:180,0,5,200,解锁后，每快速挂机5次（0/200），全体女神获得180点暴击值。（当前增加0）
12,6,2:11:100,0,1,60,解锁后，每登陆1天（0/60），全体女神获得100点韧性。（当前增加0）
13,6,2:11:200,0,1,60,解锁后，每登陆1天（0/60），全体女神获得200点韧性。（当前增加0）
14,6,2:11:300,0,1,60,解锁后，每登陆1天（0/60），全体女神获得300点韧性。（当前增加0）
15,6,2:11:400,0,1,60,解锁后，每登陆1天（0/60），全体女神获得400点韧性。（当前增加0）
16,6,2:11:500,0,1,60,解锁后，每登陆1天（0/60），全体女神获得500点韧性。（当前增加0）
17,6,2:11:600,0,1,60,解锁后，每登陆1天（0/60），全体女神获得600点韧性。（当前增加0）
18,5,2:1:500,0,1000,100,解锁后，每消耗1000钻石（0/100），全体女神生命提升500。(当前增加0）
