stone_id,can_hecheng,hecheng_stone_cost,hecheng_score_cost,hecheng_stone_id,can_zhihuan,zhihuan_stone_cost,zhihuan_score_cost,zhihuan_stone_id
1,1,15,5:3000128:10,7,0,0,0,0
2,1,15,5:3000128:10,8,0,0,0,0
3,1,15,5:3000128:10,9,0,0,0,0
4,1,15,5:3000128:10,10,0,0,0,0
5,1,15,5:3000128:10,11,0,0,0,0
6,1,15,5:3000128:10,12,0,0,0,0
7,1,15,5:3000128:50,13,0,0,0,0
8,1,15,5:3000128:50,14,0,0,0,0
9,1,15,5:3000128:50,15,0,0,0,0
10,1,15,5:3000128:50,16,0,0,0,0
11,1,15,5:3000128:50,17,0,0,0,0
12,1,15,5:3000128:50,18,0,0,0,0
13,1,15,5:3000128:100,19,1,1,5:3000128:100,14|15|16|17|18
14,1,15,5:3000128:100,20,1,1,5:3000128:100,13|15|16|17|18
15,1,15,5:3000128:100,21,1,1,5:3000128:100,13|14|16|17|18
16,1,15,5:3000128:100,22,1,1,5:3000128:100,13|14|15|17|18
17,1,15,5:3000128:100,23,1,1,5:3000128:100,13|14|15|16|18
18,1,15,5:3000128:100,24,1,1,5:3000128:100,13|14|15|16|17
19,1,15,5:3000128:150,25,1,1,5:3000128:200,20|21|22|23|24
20,1,15,5:3000128:150,26,1,1,5:3000128:200,19|21|22|23|24
21,1,15,5:3000128:150,27,1,1,5:3000128:200,19|20|22|23|24
22,1,15,5:3000128:150,28,1,1,5:3000128:200,19|20|21|23|24
23,1,15,5:3000128:150,29,1,1,5:3000128:200,19|20|21|22|24
24,1,15,5:3000128:150,30,1,1,5:3000128:200,19|20|21|22|23
25,0,0,0,0,1,1,5:3000128:200,26|27|28|29|30
26,0,0,0,0,1,1,5:3000128:200,25|27|28|29|30
27,0,0,0,0,1,1,5:3000128:200,25|26|28|29|30
28,0,0,0,0,1,1,5:3000128:200,25|26|27|29|30
29,0,0,0,0,1,1,5:3000128:200,25|26|27|28|30
30,0,0,0,0,1,1,5:3000128:200,25|26|27|28|29
0,0,15,5:3000128:0,0,0,1,5:3000128:0,0
