npc_id,name,avatar_path,spine_name,role,quality,star,job,level,skill_id_list,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
4001,Muse,2020.png,MS0,4,3,2,3,62,111901001|111902001,180935,175000,17000,27000,2550,2550,10250,10250,6750,2375,19600,9200,0,0,0,0,0,0,0,0,0,0,0
4002,Tsukuyomi,2006.png,YYJZ0,4,3,2,2,62,110501001|110502001,172685,175000,17000,27000,2550,2550,10250,10250,6750,2375,14600,9200,0,0,0,0,0,0,0,0,0,0,0
4003,Ungnyeo,2007.png,XN0,4,3,2,1,62,110601001|110602001,172685,175000,17000,27000,2550,2550,10250,10250,6750,2375,14600,9200,0,0,0,0,0,0,0,0,0,0,0
4004,Shennong,2008.png,SN0,4,3,2,1,62,110701001|110702001,172685,175000,17000,27000,2550,2550,10250,10250,6750,2375,14600,9200,0,0,0,0,0,0,0,0,0,0,0
4005,Minotaur,2018.png,MNTLS0,4,3,2,1,62,111701001|111702001,172685,175000,17000,27000,2550,2550,10250,10250,6750,2375,14600,9200,0,0,0,0,0,0,0,0,0,0,0
4006,Raphael,2017.png,LFE0,4,3,2,3,62,111601001|111602001,172685,175000,17000,27000,2550,2550,10250,10250,6750,2375,14600,9200,0,0,0,0,0,0,0,0,0,0,0
4007,Sif,2023.png,XF0,4,3,2,1,63,112201001|112202001,181995,180000,18000,28000,2700,2700,11000,11000,7000,2500,15400,9800,0,0,0,0,0,0,0,0,0,0,0
4008,Gabriel,2030.png,WL0,4,3,2,2,63,112901001|112902001,181995,180000,18000,28000,2700,2700,11000,11000,7000,2500,15400,9800,0,0,0,0,0,0,0,0,0,0,0
4009,Siren,2004.png,Y0,4,4,3,3,63,110301001|110302001,242660,180000,18000,28000,2700,2700,11000,11000,7000,2500,15400,9800,0,0,0,0,0,0,0,0,0,0,0
4010,Nephthys,2005.png,NFDS0,4,4,3,2,63,110401001|110402001,242660,180000,18000,28000,2700,2700,11000,11000,7000,2500,15400,9800,0,0,0,0,0,0,0,0,0,0,0
4011,Geb,2009.png,GB0,4,4,3,1,63,110801001|110802001,242660,180000,18000,28000,2700,2700,11000,11000,7000,2500,15400,9800,0,0,0,0,0,0,0,0,0,0,0
4012,Lilith,2010.png,NBLS0,4,4,3,3,63,110901001|110902001,242660,180000,18000,28000,2700,2700,11000,11000,7000,2500,15400,9800,0,0,0,0,0,0,0,0,0,0,0
4013,Muse,2020.png,MS0,4,3,2,3,64,111901001|111902001,191302,185000,19000,29000,2850,2850,11750,11750,7250,2625,16200,10400,0,0,0,0,0,0,0,0,0,0,0
4014,Tsukuyomi,2006.png,YYJZ0,4,3,2,2,64,110501001|110502001,191302,185000,19000,29000,2850,2850,11750,11750,7250,2625,16200,10400,0,0,0,0,0,0,0,0,0,0,0
4015,Ungnyeo,2007.png,XN0,4,3,2,1,64,110601001|110602001,191302,185000,19000,29000,2850,2850,11750,11750,7250,2625,16200,10400,0,0,0,0,0,0,0,0,0,0,0
4016,Shennong,2008.png,SN0,4,3,2,1,64,110701001|110702001,191302,185000,19000,29000,2850,2850,11750,11750,7250,2625,16200,10400,0,0,0,0,0,0,0,0,0,0,0
