dungeon_id,name,map_id,group_id,dungeon_type,charpter,memory_product,unlock_memory_level,state_dialog,unlock_condition,start_dialog,end_dialog,unlock_hero,reward_first,reward,normal_monster_npc_id_list,max_round,fight_value,desc
1001, 1,1,1,1,1,10,1,0,,30110101,30110110,1,5:3000150:1000,5:3000150:100,201001,30,543714,
1002, 2-1,1,2,2,1,11,1,0,,0,0,,5:3000150:1100,5:3000150:110,101001|101002,30,885510,
1003, 2-2,1,2,2,1,12,1,0,,0,0,,5:3000150:1200,5:3000150:120,101002|101003,30,969845,
1004, 2-3,1,2,2,1,13,1,0,,0,0,,5:3000150:1300,5:3000150:130,101003|101002|101003,30,1475851,
1005, 2-4,1,2,2,1,14,1,0,,0,0,,5:3000150:1400,5:3000150:140,101003|101004|101004,30,1686686,
1006, 2,1,2,1,1,15,1,0,,30110201,30110206,2,5:3000150:1500,5:3000150:150,201002,30,1216429,
1007, 3-1,1,3,2,1,16,1,0,,0,0,,5:3000150:1700,5:3000150:170,101005|101006|101005,30,1939688,
1008, 3-2,1,3,2,1,17,1,0,,0,0,,5:3000150:1800,5:3000150:180,101005|101006|101007,30,2024022,
1009, 3-3,1,3,2,1,18,1,0,,0,0,,5:3000150:2000,5:3000150:200,101006|101007|101006,30,2066189,
1010, 3-4,1,3,2,1,19,1,0,,0,0,,5:3000150:2200,5:3000150:220,101006|101007|101008,30,2150524,
1011, 3,1,3,1,1,20,1,0,,0,0,,5:3000150:2400,5:3000150:240,201003,30,2822143,
1012, 4-1,1,4,2,1,21,1,0,,0,0,,5:3000150:2600,5:3000150:260,101009|101010|101009,30,3429594,
1013, 4-2,1,4,2,1,22,1,0,,0,0,,5:3000150:2800,5:3000150:280,101009|101010|101011|101010,30,4722720,
1014, 4-3,1,4,2,1,23,1,0,,0,0,,5:3000150:3000,5:3000150:300,101010|101011|101011|101012,30,4947612,
1015, 4-4,1,4,2,1,24,1,0,,0,0,,5:3000150:3200,5:3000150:320,101011|101011|101012|101012,30,5060058,
1016, 4,1,4,1,1,25,1,0,,30110301,30110307,,5:3000150:3500,5:3000150:350,201004,30,4956429,
1017, 5,1,5,1,2,26,1,0,,30120101,30120111,3,5:3000150:3600,5:3000150:360,201005,30,6608571,
1018, 6-1,1,6,2,2,27,1,0,,0,0,,5:3000150:3700,5:3000150:370,101013|101014|101013|101015,30,5790953,
1019, 6-2,1,6,2,2,28,1,0,,0,0,,5:3000150:3800,5:3000150:380,101014|101013|101014|101015,30,5847176,
