id,cid,level,has_advance,has_super,awake,god_awake,super_awake,skin_cid,fight_value,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
1,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,55000,80000,12500,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,500,0,0,550
2,2033,1,0,0,0|1|2|3,0,0,102033000|102033001|102033002,10000,600000,600000,50000,75000,12500,12500,18000,18000,15000,2500,18000,180000,0,0,0,90,0,0,0,500,0,0,550
3,2012,1,0,0,0|1|2|3|4|5,0,0,102012000|102012001,10000,650000,650000,50000,75000,12500,12500,20000,20000,15000,2500,20000,200000,0,0,0,90,0,0,0,500,0,0,550
4,2069,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102069000|102069200,10000,550000,550000,55000,80000,12500,12500,22000,22000,15000,2500,22000,220000,0,0,0,90,0,0,0,500,0,0,550
5,2075,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102075000|102075200,10000,550000,550000,55000,80000,12500,12500,20000,20000,15000,2500,22000,220000,0,0,0,90,0,0,0,500,0,0,550
6,2039,1,1,1,0|1|2|3|4|5,0|1|2|3|4|5,0|1|2|3|4|5,102039000|102039200|102039300,10000,600000,600000,50000,75000,15000,12500,24000,24000,15000,2500,20000,200000,0,0,0,90,0,0,0,500,0,0,550
7,2013,1,0,0,0|1|2|3|4,0,0,102013000|102013001|102013002,10000,550000,550000,75000,100000,12500,12500,24000,24000,20000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
8,2049,1,1,0,0|1|2|3|4|5,0|1|2|3|4|5,0,102049002|102049200|102049200,10000,600000,600000,75000,100000,15000,12500,24000,24000,20000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
9,2002,1,0,0,0|1|2|3|4|5,0,0,102002000|102002001|102002002,10000,600000,600000,70000,95000,15000,12500,24000,24000,20000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
10,2048,1,0,0,0|1|2|3|4|5,0,0,102048000|102048001|102048002,10000,600000,600000,70000,95000,15000,12500,24000,24000,20000,2500,20000,200000,0,0,0,90,0,0,0,800,0,0,550
