task_id,task_type,task_group,task_index,task_id_before,task_condition,task_value,reward,content,content_param
29000001,27,0,0,0,500001,6,5:6000010:5,Complete Hera's Dreamland 2,
29000002,27,0,0,0,500001,11,5:6000010:5,Complete Hera's Dreamland 3,
29000003,27,0,0,0,500001,22,5:6000010:5,Complete Hera's Dreamland 6,
29000004,27,0,0,0,500001,32,5:6000010:5,Complete Hera's Dreamland 8,
29000005,27,0,0,0,500001,48,5:6000010:5,Complete Hera's Dreamland 12,
29000006,27,0,0,0,500002,6,5:6000011:5,Complete Chaos' Dreamland 2,
29000007,27,0,0,0,500002,11,5:6000011:5,Complete Chaos' Dreamland 3,
29000008,27,0,0,0,500002,22,5:6000011:5,Complete Chaos' Dreamland 6,
29000009,27,0,0,0,500002,32,5:6000011:5,Complete Chaos' Dreamland 8,
29000010,27,0,0,0,500002,48,5:6000011:5,Complete Chaos' Dreamland 12,
29000011,27,0,0,0,500003,6,5:6000012:5,Complete Cupid's Dreamland 2,
29000012,27,0,0,0,500003,11,5:6000012:5,Complete Cupid's Dreamland 3,
29000013,27,0,0,0,500003,22,5:6000012:5,Complete Cupid's Dreamland 6,
29000014,27,0,0,0,500003,32,5:6000012:5,Complete Cupid's Dreamland 8,
29000015,27,0,0,0,500003,48,5:6000012:5,Complete Cupid's Dreamland 12,
29000016,27,0,0,0,500004,6,5:6000013:5,Complete Ra's Dreamland 2,
29000017,27,0,0,0,500004,11,5:6000013:5,Complete Ra's Dreamland 3,
29000018,27,0,0,0,500004,22,5:6000013:5,Complete Ra's Dreamland 6,
29000019,27,0,0,0,500004,32,5:6000013:5,Complete Ra's Dreamland 8,
29000020,27,0,0,0,500004,48,5:6000013:5,Complete Ra's Dreamland 12,
29000021,27,0,0,0,500005,6,5:6000014:5,Complete Icarus's Dreamland 2,
29000022,27,0,0,0,500005,11,5:6000014:5,Complete Icarus's Dreamland 3,
29000023,27,0,0,0,500005,22,5:6000014:5,Complete Icarus's Dreamland 6,
29000024,27,0,0,0,500005,32,5:6000014:5,Complete Icarus's Dreamland 8,
29000025,27,0,0,0,500005,48,5:6000014:5,Complete Icarus's Dreamland 12,
29000026,27,0,0,0,500006,6,5:6000016:5,Complete Himiko's Dreamland 2,
29000027,27,0,0,0,500006,11,5:6000016:5,Complete Himiko's Dreamland 3,
29000028,27,0,0,0,500006,22,5:6000016:5,Complete Himiko's Dreamland 6,
29000029,27,0,0,0,500006,32,5:6000016:5,Complete Himiko's Dreamland 8,
29000030,27,0,0,0,500006,48,5:6000016:5,Complete Himiko's Dreamland 12,
29000031,27,0,0,0,500007,6,5:6000017:5,Complete Heimdall's Dreamland 2,
29000032,27,0,0,0,500007,11,5:6000017:5,Complete Heimdall's Dreamland 3,
29000033,27,0,0,0,500007,22,5:6000017:5,Complete Heimdall's Dreamland 6,
29000034,27,0,0,0,500007,32,5:6000017:5,Complete Heimdall's Dreamland 8,
29000035,27,0,0,0,500007,48,5:6000017:5,Complete Heimdall's Dreamland 12,
29000036,27,0,0,0,500008,6,5:6000018:5,Complete Storm Dragon’s Dreamland 2,
29000037,27,0,0,0,500008,11,5:6000018:5,Complete Storm Dragon’s Dreamland 3,
29000038,27,0,0,0,500008,22,5:6000018:5,Complete Storm Dragon’s Dreamland 6,
29000039,27,0,0,0,500008,32,5:6000018:5,Complete Storm Dragon’s Dreamland 8,
29000040,27,0,0,0,500008,48,5:6000018:5,Complete Storm Dragon’s Dreamland 12,
29000041,27,0,0,0,500009,6,5:6000019:5,Complete Ember Dragon's Dreamland 2,
29000042,27,0,0,0,500009,11,5:6000019:5,Complete Ember Dragon's Dreamland 3,
29000043,27,0,0,0,500009,22,5:6000019:5,Complete Ember Dragon's Dreamland 6,
29000044,27,0,0,0,500009,32,5:6000019:5,Complete Ember Dragon's Dreamland 8,
29000045,27,0,0,0,500009,48,5:6000019:5,Complete Ember Dragon's Dreamland 12,
29000046,27,0,0,0,500010,6,5:6000020:5,Complete Frost Dragon's Dreamland 2,
29000047,27,0,0,0,500010,11,5:6000020:5,Complete Frost Dragon's Dreamland 3,
29000048,27,0,0,0,500010,22,5:6000020:5,Complete Frost Dragon's Dreamland 6,
29000049,27,0,0,0,500010,32,5:6000020:5,Complete Frost Dragon's Dreamland 8,
29000050,27,0,0,0,500010,48,5:6000020:5,Complete Frost Dragon's Dreamland 12,
29000051,27,0,0,0,500011,6,5:6000021:5,Complete Horus's Dreamland 2,
29000052,27,0,0,0,500011,11,5:6000021:5,Complete Horus's Dreamland 3,
29000053,27,0,0,0,500011,22,5:6000021:5,Complete Horus's Dreamland 6,
29000054,27,0,0,0,500011,32,5:6000021:5,Complete Horus's Dreamland 8,
29000055,27,0,0,0,500011,48,5:6000021:5,Complete Horus's Dreamland 12,
29000056,27,0,0,0,500012,6,5:6000022:5,Complete Sim Cheong's Dreamland 2,
29000057,27,0,0,0,500012,11,5:6000022:5,Complete Sim Cheong's Dreamland 3,
29000058,27,0,0,0,500012,22,5:6000022:5,Complete Sim Cheong's Dreamland 6,
29000059,27,0,0,0,500012,32,5:6000022:5,Complete Sim Cheong's Dreamland 8,
29000060,27,0,0,0,500012,48,5:6000022:5,Complete Sim Cheong's Dreamland 12,
29000061,27,0,0,0,500013,6,5:6000023:5,Complete Chang'e's Dreamland 2,
29000062,27,0,0,0,500013,11,5:6000023:5,Complete Chang'e's Dreamland 3,
29000063,27,0,0,0,500013,22,5:6000023:5,Complete Chang'e's Dreamland 6,
29000064,27,0,0,0,500013,32,5:6000023:5,Complete Chang'e's Dreamland 8,
29000065,27,0,0,0,500013,48,5:6000023:5,Complete Chang'e's Dreamland 12,
29000066,27,0,0,0,500014,6,5:6000027:5,Complete Gemini's Dreamland 2,
29000067,27,0,0,0,500014,11,5:6000027:5,Complete Gemini's Dreamland 3,
29000068,27,0,0,0,500014,22,5:6000027:5,Complete Gemini's Dreamland 6,
29000069,27,0,0,0,500014,32,5:6000027:5,Complete Gemini's Dreamland 8,
29000070,27,0,0,0,500014,48,5:6000027:5,Complete Gemini's Dreamland 12,
29000071,27,0,0,0,500015,6,5:6000028:5,Complete Freyja's Dreamland 2,
29000072,27,0,0,0,500015,11,5:6000028:5,Complete Freyja's Dreamland 3,
29000073,27,0,0,0,500015,22,5:6000028:5,Complete Freyja's Dreamland 6,
29000074,27,0,0,0,500015,32,5:6000028:5,Complete Freyja's Dreamland 8,
29000075,27,0,0,0,500015,48,5:6000028:5,Complete Freyja's Dreamland 12,
29000076,27,0,0,0,500016,6,5:6000029:5,Complete Frigga's Dreamland 2,
29000077,27,0,0,0,500016,11,5:6000029:5,Complete Frigga's Dreamland 3,
29000078,27,0,0,0,500016,22,5:6000029:5,Complete Frigga's Dreamland 6,
29000079,27,0,0,0,500016,32,5:6000029:5,Complete Frigga's Dreamland 8,
29000080,27,0,0,0,500016,48,5:6000029:5,Complete Frigga's Dreamland 12,
29000081,27,0,0,0,500017,6,5:6000031:5,Complete Athena's Dreamland 2,
29000082,27,0,0,0,500017,11,5:6000031:5,Complete Athena's Dreamland 3,
29000083,27,0,0,0,500017,22,5:6000031:5,Complete Athena's Dreamland 6,
29000084,27,0,0,0,500017,32,5:6000031:5,Complete Athena's Dreamland 8,
29000085,27,0,0,0,500017,48,5:6000031:5,Complete Athena's Dreamland 12,
