id,cfg_id,name,type,quality_level,attribute_label,attr_is_ratio,fight_attribute,weight,icon
1,1,ATK +1%,1,1,1,0,3:1:10,120,1001.png
2,1,ATK +3%,1,2,1,0,3:1:30,50,1002.png
3,1,ATK +5%,1,3,1,0,3:1:50,25,1003.png
4,1,ATK +10%,1,4,1,0,3:1:100,5,1004.png
5,2,CRIT +3%,1,1,1,0,3:7:10,120,2001.png
6,2,CRIT +5%,1,2,1,0,3:7:20,50,2002.png
7,2,CRIT +7%,1,3,1,0,3:7:40,25,2003.png
8,2,CRIT +15%,1,4,1,0,3:7:70,5,2004.png
9,3,CRIT DMG +3%,1,1,1,0,3:8:30,120,3001.png
10,3,CRIT DMG +5%,1,2,1,0,3:8:50,50,3002.png
11,3,CRIT DMG +7%,1,3,1,0,3:8:70,25,3003.png
12,3,CRIT DMG +15%,1,4,1,0,3:8:150,5,3004.png
13,4,DEF.PEN level +1%,1,1,1,1,2:17:10,120,4001.png
14,4,DEF.PEN level +3%,1,2,1,1,2:17:30,50,4002.png
15,4,DEF.PEN level +5%,1,3,1,1,2:17:50,25,4003.png
16,4,DEF.PEN level +10%,1,4,1,1,2:17:100,5,4004.png
17,5,RES PEN +20,1,1,1,0,3:21:20,120,5001.png
18,5,RES PEN +50,1,2,1,0,3:21:50,50,5002.png
19,5,RES PEN +70,1,3,1,0,3:21:70,25,5003.png
20,5,RES PEN +150,1,4,1,0,3:21:150,5,5004.png
21,6,Final DMG Boost +1%,1,1,1,0,2:30:10,60,6001.png
22,6,Final DMG Boost +2%,1,2,1,0,2:30:20,25,6002.png
23,6,Final DMG Boost +4%,1,3,1,0,2:30:40,12,6003.png
24,6,Final DMG Boost +7%,1,4,1,0,2:30:70,3,6004.png
25,7,HP +3%,1,1,2,0,3:2:30,120,7001.png
26,7,HP +5%,1,2,2,0,3:2:50,50,7002.png
27,7,HP +10%,1,3,2,0,3:2:100,25,7003.png
28,7,HP +20%,1,4,2,0,3:2:200,5,7004.png
29,8,DEF +1%,1,1,2,0,3:4:10,120,8001.png
30,8,DEF +3%,1,2,2,0,3:4:30,50,8002.png
31,8,DEF +5%,1,3,2,0,3:4:50,25,8003.png
32,8,DEF +10%,1,4,2,0,3:4:100,5,8004.png
33,9,RES Boost +1%,1,1,2,0,3:13:10|3:14:10,120,9001.png
34,9,RES Boost +2%,1,2,2,0,3:13:30|3:14:30,50,9002.png
35,9,RES Boost +3%,1,3,2,0,3:13:50|3:14:50,25,9003.png
36,9,RES Boost +5%,1,4,2,0,3:13:100|3:14:100,5,9004.png
37,10,FOR +1%,1,1,2,0,3:5:10,120,10001.png
38,10,FOR +2%,1,2,2,0,3:5:20,50,10002.png
39,10,FOR +3%,1,3,2,0,3:5:30,25,10003.png
40,10,FOR +5%,1,4,2,0,3:5:50,5,10004.png
41,11,Debuff RES +1%,1,1,2,0,3:15:10,60,11001.png
42,11,Debuff RES +2%,1,2,2,0,3:15:20,25,11002.png
43,11,Debuff RES +3%,1,3,2,0,3:15:30,12,11003.png
44,11,Debuff RES +5%,1,4,2,0,3:15:50,3,11004.png
45,12,DMG Reflection +3%,1,1,2,0,3:17:30,60,12001.png
46,12,DMG Reflection +5%,1,2,2,0,3:17:50,25,12002.png
