cfg_id,hero_cid,quality_level,level,awake,if_advance,god_awake,if_super,super_awake,use_super_active_skills,if_mr,mr_awake,fight_value,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
1,2037,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
2,2037,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
3,2037,3,300,5,1,5,1,5,66661101|66662201|66663301|66664401|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
4,2037,4,400,5,1,5,1,5,66661101|66662201|66663301|66664401|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
5,2039,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
6,2039,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
7,2039,3,300,5,1,5,1,5,66661101|66662201|66663401|66664201|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
8,2039,4,400,5,1,5,1,5,66661101|66662201|66663401|66664201|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
9,2047,1,100,5,0,0,0,0,0,0,0,9999999,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,600
10,2047,2,200,5,1,5,0,0,0,0,0,16666666,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,1000
11,2047,3,300,5,1,5,1,5,66661101|66662201|66663401|66664201|66665101,0,0,28888888,17428272,17428272,2853600,3194227,1443902,1443902,1663520,1663520,303360,72320,624845,624845,240,320,768,384,2880,2720,2720,576,0,384,1500
12,2047,4,400,5,1,5,1,5,66661101|66662201|66663401|66664201|66665101,1,5,37777777,19606806,19606806,3210300,3593506,1624390,1624390,1871460,1871460,341280,81360,702950,702950,270,360,864,432,3240,3060,3060,648,0,432,2000
