npc_id,hero_cid,quality_level,level,awake,if_advance,god_awake,if_super,super_awake,if_mr,mr_awake,fight_value,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
10101,1001,1,100,32,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10201,1001,2,200,38,0,0,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10301,1001,3,300,38,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10401,1001,4,400,38,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10102,2037,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10202,2037,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10302,2037,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10402,2037,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10103,2039,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10203,2039,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10303,2039,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10403,2039,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10104,2047,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10204,2047,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10304,2047,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10404,2047,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10105,2049,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10205,2049,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10305,2049,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
10405,2049,4,400,5,1,5,1,5,1,5,37777777,15249738,15249738,2496900,2794949,1263415,1263415,1455580,1455580,265440,63280,546739,546739,210,280,672,336,2520,2380,2380,504,0,336,2000
10106,2050,1,100,5,0,0,0,0,0,0,9999999,8714136,8714136,1426800,1597114,721951,721951,831760,831760,151680,36160,312422,312422,120,160,384,192,1440,1360,1360,288,0,192,600
10206,2050,2,200,5,1,5,0,0,0,0,16666666,10892670,10892670,1783500,1996392,902439,902439,1039700,1039700,189600,45200,390528,390528,150,200,480,240,1800,1700,1700,360,0,240,1000
10306,2050,3,300,5,1,5,1,5,0,0,28888888,13071204,13071204,2140200,2395670,1082927,1082927,1247640,1247640,227520,54240,468634,468634,180,240,576,288,2160,2040,2040,432,0,288,1500
