team_id,npc_level,npc_name,team
10001,200,Mirror of Illusions,10104|10110|10114|10124|10127|10102
10002,210,Mirror of Illusions,10122|10103|10121|10106|10115|10117
10003,220,Mirror of Illusions,10118|10109|10105|10102|10120|10128
10004,230,Mirror of Illusions,10107|10111|10126|10106|10122|10124
10005,240,Mirror of Illusions,10110|10116|10104|10125|10105|10121
20001,250,Mirror of Illusions,10203|10219|10120|10118|10113|10106
20002,260,Mirror of Illusions,10201|10224|10105|10128|10108|10127
20003,270,Mirror of Illusions,10228|10203|10101|10115|10120|10123
20004,280,Mirror of Illusions,10204|10206|10113|10101|10103|10126
20005,290,Mirror of Illusions,10206|10131|10121|10117|10112|10114
30001,300,Mirror of Illusions,10217|10221|10212|10216|10102|10103
30002,310,Mirror of Illusions,10223|10205|10206|10211|10104|10108
30003,320,Mirror of Illusions,10225|10220|10214|10131|10112|10117
30004,330,Mirror of Illusions,10204|10226|10216|10214|10109|10101
30005,340,Mirror of Illusions,10221|10219|10210|10214|10102|10112
40001,350,Mirror of Illusions,10203|10305|10229|10220|10110|10128
40002,360,Mirror of Illusions,10207|10303|10301|10202|10103|10109
40003,370,Mirror of Illusions,10210|10318|10326|10130|10111|10128
40004,380,Mirror of Illusions,10115|10314|10307|10204|10227|10125
40005,390,Mirror of Illusions,10224|10308|10326|10217|10118|10123
50001,400,Mirror of Illusions,10204|10129|10318|10322|10413|10420
50002,400,Mirror of Illusions,10224|10206|10231|10325|10330|10408
50003,400,Mirror of Illusions,10129|10209|10322|10313|10424|10420
50004,400,Mirror of Illusions,10218|10221|10313|10322|10417|10207
50005,400,Mirror of Illusions,10215|10214|10305|10326|10329|10428
