cfg_id,play_count,reward,advanced_reward
1,1,5:3000245:1,5:3000245:6|1:2:300
2,3,5:3000245:1,5:3000245:3|1:2:300
3,7,5:3000245:1,5:3000245:3|1:2:300
4,10,5:3000245:1,5:3000245:3|1:2:300
5,13,5:3000245:1,5:3000245:3|1:2:300
6,17,5:3000245:1,5:3000245:3|1:2:300
7,20,5:3000245:1,5:3000245:3|1:2:300
8,23,5:3000245:1,5:3000245:6|1:2:300
9,27,5:3000245:1,5:3000245:3|1:2:300
10,30,5:3000245:1,5:3000245:3|1:2:300
11,33,5:3000245:1,5:3000245:3|1:2:300
12,37,5:3000245:1,5:3000245:3|1:2:300
13,40,5:3000245:1,5:3000245:3|1:2:300
14,43,5:3000245:1,5:3000245:3|1:2:300
15,46,5:3000245:1,5:3000245:12|1:2:300
