id,ware_cid,level,upgrade_exp,fight_attribute
1,1,1,0,3:1:10|3:2:20
2,1,2,10,3:1:20|3:2:40
3,1,3,20,3:1:30|3:2:60
4,1,4,30,3:1:40|3:2:80
5,1,5,40,3:1:50|3:2:100
6,1,6,50,3:1:60|3:2:120
7,1,7,60,3:1:70|3:2:140
8,1,8,70,3:1:80|3:2:160
9,1,9,80,3:1:90|3:2:180
10,1,10,100,3:1:100|3:2:200
11,2,1,0,3:1:10|3:2:20
12,2,2,10,3:1:20|3:2:40
13,2,3,20,3:1:30|3:2:60
14,2,4,30,3:1:40|3:2:80
15,2,5,40,3:1:50|3:2:100
16,2,6,50,3:1:60|3:2:120
17,2,7,60,3:1:70|3:2:140
18,2,8,70,3:1:80|3:2:160
19,2,9,80,3:1:90|3:2:180
20,2,10,100,3:1:100|3:2:200
21,3,1,0,3:1:10|3:2:20
22,3,2,10,3:1:20|3:2:40
23,3,3,20,3:1:30|3:2:60
24,3,4,30,3:1:40|3:2:80
25,3,5,40,3:1:50|3:2:100
26,3,6,50,3:1:60|3:2:120
27,3,7,60,3:1:70|3:2:140
28,3,8,70,3:1:80|3:2:160
29,3,9,80,3:1:90|3:2:180
30,3,10,100,3:1:100|3:2:200
31,4,1,0,3:1:10|3:2:20
32,4,2,10,3:1:20|3:2:40
33,4,3,20,3:1:30|3:2:60
34,4,4,30,3:1:40|3:2:80
35,4,5,40,3:1:50|3:2:100
36,4,6,50,3:1:60|3:2:120
37,4,7,60,3:1:70|3:2:140
38,4,8,70,3:1:80|3:2:160
39,4,9,80,3:1:90|3:2:180
40,4,10,100,3:1:100|3:2:200
41,5,1,0,3:1:10|3:2:20
42,5,2,10,3:1:20|3:2:40
43,5,3,20,3:1:30|3:2:60
44,5,4,30,3:1:40|3:2:80
45,5,5,40,3:1:50|3:2:100
46,5,6,50,3:1:60|3:2:120
47,5,7,60,3:1:70|3:2:140
48,5,8,70,3:1:80|3:2:160
49,5,9,80,3:1:90|3:2:180
50,5,10,100,3:1:100|3:2:200
51,6,1,0,3:1:10|3:2:20
52,6,2,10,3:1:20|3:2:40
53,6,3,20,3:1:30|3:2:60
54,6,4,30,3:1:40|3:2:80
55,6,5,40,3:1:50|3:2:100
56,6,6,50,3:1:60|3:2:120
57,6,7,60,3:1:70|3:2:140
58,6,8,70,3:1:80|3:2:160
59,6,9,80,3:1:90|3:2:180
60,6,10,100,3:1:100|3:2:200
61,7,1,0,3:1:10|3:2:20
62,7,2,10,3:1:20|3:2:40
63,7,3,20,3:1:30|3:2:60
64,7,4,30,3:1:40|3:2:80
65,7,5,40,3:1:50|3:2:100
66,7,6,50,3:1:60|3:2:120
67,7,7,60,3:1:70|3:2:140
68,7,8,70,3:1:80|3:2:160
69,7,9,80,3:1:90|3:2:180
70,7,10,100,3:1:100|3:2:200
71,8,1,0,3:1:10|3:2:20
72,8,2,10,3:1:20|3:2:40
73,8,3,20,3:1:30|3:2:60
74,8,4,30,3:1:40|3:2:80
75,8,5,40,3:1:50|3:2:100
76,8,6,50,3:1:60|3:2:120
77,8,7,60,3:1:70|3:2:140
78,8,8,70,3:1:80|3:2:160
79,8,9,80,3:1:90|3:2:180
80,8,10,100,3:1:100|3:2:200
81,9,1,0,3:1:10|3:2:20
82,9,2,10,3:1:20|3:2:40
83,9,3,20,3:1:30|3:2:60
84,9,4,30,3:1:40|3:2:80
85,9,5,40,3:1:50|3:2:100
86,9,6,50,3:1:60|3:2:120
87,9,7,60,3:1:70|3:2:140
88,9,8,70,3:1:80|3:2:160
89,9,9,80,3:1:90|3:2:180
90,9,10,100,3:1:100|3:2:200
