dialog_id,next_dialog_id,bg,UIbg,bgm,skippable,character_spine,character_position,character_name,dialog,voice,text_anchor,delay,eff_name
101001,101002,NuwaJingu,,,1,USER_MAIN0,1,Hera,I seem to have had a dream—a vision of my future. But where exactly was that place?,,0,0,
101002,101003,NuwaJingu,,,1,PDL0,2,Loki,"Noble Queen Hera, please forgive my sudden intrusion. Allow me a moment to introduce myself…",,0,0,
101003,101004,NuwaJingu,,,1,USER_MAIN0,1,Hera,Ah! Who are you? Appearing out of nowhere like that is quite alarming!,,0,0,
101004,101005,NuwaJingu,,,1,PDL0,2,Loki,"I am Loki, known as the “God of Deception.” I apologize for eavesdropping on your musings. It just so happens that I know the location of the place you dreamed of.",,0,0,
101005,101006,NuwaJingu,,,1,USER_MAIN0,1,Hera,Really? Then please take me there.,,0,0,
101006,101007,NuwaJingu,,,1,USER_MAIN0,1,Loki,"That is precisely why I’m here. However… I need to test your strength first. After all, I can’t guarantee I’ll be able to protect you once we get there.",,0,0,
101007,-1,NuwaJingu,,,1,PDL0,2,Hera,"You want to have a contest? Fine, let’s do it your way.",,0,0,
101008,101009,NuwaJingu,,,1,PDL0,2,Loki,"Queen Hera, this is the place you dreamed of—the Sanctum of the Founders. Ah… I must say, that last blow really hurt.",,0,0,
101009,101010,NuwaJingu,,,1,USER_MAIN0,1,Hera,"It’s the price one must pay for challenging the authority of a chief deity. By the way, what exactly is this place? Why does it feel so familiar?",,0,0,
101010,101011,NuwaJingu,,,1,PDL0,2,Loki,Because this is where the gods were born.,,0,0,
101011,101012,NuwaJingu,,,1,USER_MAIN0,1,Apollo,She’s right. This is the place where the Creator bestowed upon us our divine essences.,,0,0,
101012,101013,NuwaJingu,,,1,PDL0,2,Hera,Feel free to let me know if you need any more changes!,,0,0,
101013,101014,NuwaJingu,,,1,USER_MAIN0,1,Apollo,"I prophesied your revival, Hera. Right here, right now, you have gained that primordial power. However, I cannot allow you to bring such power back to our world!",,0,0,
101014,101015,NuwaJingu,,,1,USER_MAIN0,1,Hera,"Why not? I simply want to understand what I saw in my dream… Besides, I have no interest in this so-called revival you speak of.",,0,0,
101015,-1,NuwaJingu,,,1,PDL0,2,Apollo,"It’s too late. Your dream itself is a guide, and you are already on the path to revival. I’m sorry, but I must use force to expel you from this Sanctum!",,0,0,
101016,101017,NuwaJingu,,,1,MRTLS0,1,Hera,"Apollo has retreated, but I sense that this isn’t over. There will be others waiting for us ahead.",,0,0,
101017,101018,NuwaJingu,,,1,PDL0,2,Hera,"Loki, tell me the truth—what does Apollo mean by “revival”?",,0,0,
101018,101019,NuwaJingu,,,1,USER_MAIN0,1,Loki,"It is the primal force of creation, the original form of us goddesses. To possess it is to have the power to create worlds… Be cautious, someone is coming.",,0,0,
101019,101020,NuwaJingu,,,1,LXF_MR,1,Hades,"What a pleasure, my Queen Hera. I didn’t expect to see you even in a place like this.",,0,0,
101020,101021,NuwaJingu,,,1,USER_MAIN0,2,Hera,"Hades, what are you doing here?",,0,0,
101021,101022,NuwaJingu,,,1,LXF_MR,1,Hades,"Did you think you were the only one to dream of this place? Hmm? I’d wager that little one beside you also had a dream. Watch your back, or you might end up being someone else’s cover.",,0,0,
101022,101023,NuwaJingu,,,1,USER_MAIN0,2,Hera,"Keep your distance, or I’ll be forced to use violence!",,0,0,
101023,-1,NuwaJingu,,,1,LXF_MR,1,Hades,Why should I move? Do you think this secret is yours alone to know?,,0,0,
101024,101025,NuwaJingu,,,1,LXF_MR,1,Hera,"The environment is starting to change. What’s happening, Loki?",,0,0,
101025,101026,NuwaJingu,,,1,PDL0,2,Loki,"We must have reached a new area. There’s light ahead, indicating that someone arrived before us.",,0,0,
101026,101027,NuwaJingu,,,1,YD0,1,Cupid,"Hello, Queen Hera. I’ve been waiting for you here for quite some time.",,0,0,
101027,101028,NuwaJingu,,,1,LXF_MR,1,Hera,Did you come here because of the dream as well?,,0,0,
