event_name,enemy_type,enemy_group_index,before_challenge_dialog_id,challenge_success_dialog_id,is_give_key,drop,enemy_build_type
C1-M1-G1-b1,2,101004,60100001,0,0,,2
C1-M1-G1-b10,1,101007,0,0,0,1:2:50,1
C1-M1-G1-b11,2,101009,0,0,0,1:2:50,1
C1-M1-G1-b12,2,101010,0,0,0,1:2:50,1
C1-M1-G1-b13,1,101011,0,0,0,1:2:50,1
C1-M1-G1-b14,1,101036,0,0,0,1:2:50,1
C1-M1-G1-b16,2,101013,0,0,0,1:2:50,1
C1-M1-G1-b17,2,101014,0,0,0,1:2:50,1
C1-M1-G1-b18,1,101037,0,0,0,1:2:50,1
C1-M1-G1-b19,1,101038,0,0,0,1:2:50,1
C1-M1-G1-b2,2,101008,60100008,0,0,,2
C1-M1-G1-b20,1,101015,0,0,0,1:2:50,1
C1-M1-G1-b21,2,101017,0,0,0,1:2:50,1
C1-M1-G1-b22,2,101018,0,0,0,1:2:50,1
C1-M1-G1-b23,1,101019,0,0,0,1:2:50,1
C1-M1-G1-b24,2,101021,0,0,0,1:2:50,1
C1-M1-G1-b25,1,101035,0,0,0,1:2:50,1
C1-M1-G1-b26,2,101005,0,0,0,1:2:50,1
C1-M1-G1-b27,2,101022,0,0,0,1:2:50,1
C1-M1-G1-b28,1,101023,0,0,0,1:2:50,1
C1-M1-G1-b29,2,101025,0,0,0,1:2:50,1
C1-M1-G1-b3,2,101012,60100016,0,0,,2
C1-M1-G1-b30,2,101026,0,0,0,1:2:50,1
C1-M1-G1-b31,2,101027,0,0,0,1:2:50,1
C1-M1-G1-b32,2,101028,0,0,0,1:2:50,1
C1-M1-G1-b33,2,101029,0,0,0,1:2:50,1
C1-M1-G1-b34,2,101030,0,0,0,1:2:50,1
C1-M1-G1-b35,2,101031,0,0,0,1:2:50,1
C1-M1-G1-b36,2,101032,0,0,0,1:2:50,1
C1-M1-G1-b37,2,101033,0,0,0,1:2:50,1
C1-M1-G1-b38,2,101034,0,0,0,1:2:50,1
C1-M1-G1-b4,2,101016,60100024,0,0,,2
C1-M1-G1-b5,2,101020,60100031,0,0,,2
C1-M1-G1-b6,2,101024,60100040,0,0,,2
C1-M1-G1-b7,2,101001,0,0,0,1:2:50,1
C1-M1-G1-b8,2,101002,0,0,0,1:2:50,1
C1-M1-G1-b9,2,101005,0,0,0,1:2:50,1
