id,chapter_id,is_default,cid,template_id,level,if_advance,if_super,if_mr,if_incarnation,awake,god_awake,super_awake,mr_awake,incarnation_awake,skin_cid,fight_value,max_hp,max_mp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed,dialog
11,1,1,2039,1,400,1,1,1,1,5,5,5,5,5,102039388,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked by default
12,1,1,1001,1,400,1,1,1,0,5,5,5,5,0,101003900,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,18000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2660,Unlocked by default
13,1,0,2076,1,400,1,1,1,0,5,5,5,5,0,102076368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Loki
14,1,0,2078,1,400,1,1,1,0,5,5,5,5,0,102078368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,22000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Apollo
15,1,0,2047,1,400,1,1,1,0,5,5,5,5,0,102047368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Cupid
16,1,0,2049,1,400,1,1,1,0,5,5,5,5,0,102049368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Icarus
17,1,0,2077,1,400,1,1,0,0,5,5,5,0,0,102077300,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,800,0,300,3080,Unlocked after talking with Thor
18,1,0,2055,1,400,1,1,1,0,5,5,5,5,0,102055368,2774334797,214276718,214276718,26341636,36206477,4255550,1195542,4436097,24000,1125215,333974,2778911,2533071,315,315,840,300,2200,3550,3550,800,0,300,2940,The angel is hidden somewhere on the map.
19,1,0,2056,1,400,1,1,1,0,5,5,5,5,0,102056368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,800,0,300,3080,The angel is hidden somewhere on the map.
21,2,1,2047,1,400,1,1,1,1,5,5,5,5,5,102047388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked by default
22,2,1,1001,1,400,1,1,1,0,5,5,5,5,0,101003900,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,18000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2660,Unlocked by default
23,2,0,2049,1,400,1,1,1,0,5,5,5,5,0,102049368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Icarus
24,2,0,2065,1,400,1,1,1,0,5,5,5,5,0,102065368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,22000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Gemini
25,2,0,2087,1,400,1,1,1,0,5,5,5,5,0,102087368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Prometheus
26,2,0,2050,1,400,1,1,1,0,5,5,5,5,0,102050368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Chaos
27,2,0,2078,1,400,1,1,1,0,5,5,5,5,0,102078368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Apollo
28,2,0,2039,1,400,1,1,1,1,5,5,5,5,5,102039388,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,800,0,300,3080,The angel is hidden somewhere on the map.
29,2,0,2060,1,400,1,1,1,0,5,5,5,5,0,102060368,2774334797,214276718,214276718,26341636,36206477,4255550,1195542,4436097,24000,1125215,333974,2778911,2533071,315,315,840,300,2200,3550,3550,800,0,300,2940,The angel is hidden somewhere on the map.
31,3,1,1001,1,400,1,1,1,0,5,5,5,5,0,101003900,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked by default
32,3,1,2037,1,400,1,1,1,1,5,5,5,5,5,102037388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,18000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2660,Unlocked by default
33,3,0,2078,1,400,1,1,1,0,5,5,5,5,0,102078368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Apollo
34,3,0,2074,1,400,1,1,1,0,5,5,5,5,0,102074368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,22000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Venus
35,3,0,2087,1,400,1,1,1,0,5,5,5,5,0,102087368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Prometheus
36,3,0,2081,1,400,1,1,1,0,5,5,5,5,0,102081368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Horus
37,3,0,2050,1,400,1,1,1,0,5,5,5,5,0,102050368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Chaos
38,3,0,2086,1,400,1,1,1,0,5,5,5,5,0,102086368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,800,0,300,3080,The angel is hidden somewhere on the map.
39,3,0,2063,1,400,1,1,1,0,5,5,5,5,0,102063368,2774334797,214276718,214276718,26341636,36206477,4255550,1195542,4436097,24000,1125215,333974,2778911,2533071,315,315,840,300,2200,3550,3550,800,0,300,2940,The angel is hidden somewhere on the map.
41,4,1,2050,1,400,1,1,1,1,5,5,5,5,5,102050388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked by default
42,4,1,1001,1,400,1,1,1,1,5,5,5,5,0,101003900,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,18000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2660,Unlocked by default
43,4,0,2083,1,400,1,1,1,0,5,5,5,5,0,102083368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Ares
44,4,0,2047,1,400,1,1,1,0,5,5,5,5,0,102047388,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,22000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Cupid
45,4,0,2039,1,400,1,1,1,0,5,5,5,5,0,102039388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Hera
46,4,0,2075,1,400,1,1,1,0,5,5,5,5,0,102075368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Zeus
47,4,0,2078,1,400,1,1,1,0,5,5,5,5,0,102078368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Apollo
48,4,0,2053,1,400,1,1,1,0,5,5,5,5,0,102053368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,800,0,300,3080,The angel is hidden somewhere on the map.
49,4,0,2057,1,400,1,1,1,0,5,5,5,5,0,102057368,2774334797,214276718,214276718,26341636,36206477,4255550,1195542,4436097,24000,1125215,333974,2778911,2533071,315,315,840,300,2200,3550,3550,800,0,300,2940,The angel is hidden somewhere on the map.
51,5,1,2049,1,400,1,1,1,1,5,5,5,5,5,102049388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked by default
52,5,1,1001,1,400,1,1,1,1,5,5,5,5,0,101003900,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,18000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2660,Unlocked by default
53,5,0,2069,1,400,1,1,1,0,5,5,5,5,0,102069368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Athena
54,5,0,2087,1,400,1,1,1,0,5,5,5,5,0,102087368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,22000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Prometheus
55,5,0,2060,1,400,1,1,1,0,5,5,5,5,0,102060368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Freyja
56,5,0,2037,1,400,1,1,1,0,5,5,5,5,0,102037368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Ra
57,5,0,2032,1,400,0,0,0,0,5,0,0,0,0,100032000,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Amaterasu
58,5,0,2068,1,400,1,1,1,0,5,5,5,5,0,102068368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,800,0,300,3080,The angel is hidden somewhere on the map.
59,5,0,2039,1,400,1,1,1,1,5,5,5,5,5,102039388,2774334797,214276718,214276718,26341636,36206477,4255550,1195542,4436097,24000,1125215,333974,2778911,2533071,315,315,840,300,2200,3550,3550,800,0,300,2940,The angel is hidden somewhere on the map.
61,6,1,2053,1,400,1,1,1,1,5,5,5,5,5,102053388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked by default
62,6,1,1001,1,400,1,1,1,0,5,5,5,5,0,101003900,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,18000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2660,Unlocked by default
63,6,0,2062,1,400,0,0,0,0,5,0,0,0,0,102062000,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocks after talking to Kaguya
64,6,0,2056,1,400,1,1,1,0,5,5,5,5,0,102056368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,22000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Ember Dragon
65,6,0,2058,1,400,0,0,0,0,5,0,0,0,0,102058000,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocks after talking to Nekomata
66,6,0,2037,1,400,1,1,1,1,5,5,5,5,5,102037388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Ra
67,6,0,2051,1,400,1,1,1,0,5,5,5,5,0,102051368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocks after talking to Heimdall
68,6,0,2039,1,400,1,1,1,1,5,5,5,5,5,102039388,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,800,0,300,3080,The angel is hidden somewhere on the map.
69,6,0,2049,1,400,1,1,1,1,5,5,5,5,5,102049388,2774334797,214276718,214276718,26341636,36206477,4255550,1195542,4436097,24000,1125215,333974,2778911,2533071,315,315,840,300,2200,3550,3550,800,0,300,2940,The angel is hidden somewhere on the map.
71,7,1,2088,1,400,1,1,1,1,5,5,5,5,5,102088388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked by default
72,7,1,1001,1,400,1,1,1,0,5,5,5,5,0,101003900,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,18000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2660,Unlocked by default
73,7,0,2052,1,400,0,0,0,0,5,0,0,0,0,102052000,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocks after talking to Michael.
74,7,0,2084,1,400,1,1,1,0,5,5,5,5,0,102084368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,22000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocks after talking to Uriel.
75,7,0,2051,1,400,1,1,1,0,5,5,5,5,0,102051368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocks after talking to Heimdall
76,7,0,2081,1,400,1,1,1,0,5,5,5,5,0,102081368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Horus
77,7,0,2053,1,400,1,1,1,1,5,5,5,5,5,102053388,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Himiko
78,7,0,2037,1,400,1,1,1,1,5,5,5,5,5,102037388,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,800,0,300,3080,The angel is hidden somewhere on the map.
79,7,0,2047,1,400,1,1,1,1,5,5,5,5,5,102047388,2774334797,214276718,214276718,26341636,36206477,4255550,1195542,4436097,24000,1125215,333974,2778911,2533071,315,315,840,300,2200,3550,3550,800,0,300,2940,The angel is hidden somewhere on the map.
80,8,1,2051,1,400,1,1,1,1,5,5,5,5,5,102051388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked by default
81,8,1,1001,1,400,1,1,1,0,5,5,5,5,0,101003900,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,18000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2660,Unlocked by default
82,8,0,2057,1,400,1,1,1,0,5,5,5,5,0,102057368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Storm Dragon
83,8,0,2055,1,400,1,1,1,0,5,5,5,5,0,102055368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,22000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Frost Dragon
84,8,0,2060,1,400,1,1,1,0,5,5,5,5,0,102060368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Freyja
85,8,0,2056,1,400,1,1,1,0,5,5,5,5,0,102056368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Ember Dragon
86,8,0,2086,1,400,1,1,1,0,5,5,5,5,0,102086368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking with Hela
87,8,0,2053,1,400,1,1,1,1,5,5,5,5,5,102053388,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,800,0,300,3080,The angel is hidden somewhere on the map.
88,8,0,2050,1,400,1,1,1,1,5,5,5,5,5,102050388,2774334797,214276718,214276718,26341636,36206477,4255550,1195542,4436097,24000,1125215,333974,2778911,2533071,315,315,840,300,2200,3550,3550,800,0,300,2940,The angel is hidden somewhere on the map.
89,9,1,2077,1,400,1,1,1,1,5,5,5,5,5,102077388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked by default
90,9,1,1001,1,400,1,1,1,0,5,5,5,5,0,101003900,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,18000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2660,Unlocked by default
91,9,0,2060,1,400,1,1,1,0,5,5,5,5,0,102060368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Freyja
92,9,0,2051,1,400,1,1,1,1,5,5,5,5,5,102051388,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,22000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocks after talking to Heimdall
93,9,0,2086,1,400,1,1,1,0,5,5,5,5,0,102086368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Hela
94,9,0,2076,1,400,1,1,1,0,5,5,5,5,0,102076368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Loki
95,9,0,2016,1,400,0,0,0,0,5,0,0,0,0,100016000,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after speaking with Valkyrie
96,9,0,2053,1,400,1,1,1,1,5,5,5,5,5,102053388,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,24000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,800,0,300,3080,The angel is hidden somewhere on the map.
97,9,0,2088,1,400,1,1,1,1,5,5,5,5,5,102088388,2774334797,214276718,214276718,26341636,36206477,4255550,1195542,4436097,24000,1125215,333974,2778911,2533071,315,315,840,300,2200,3550,3550,800,0,300,2940,The angel is hidden somewhere on the map.
98,10,1,2063,1,400,1,1,1,1,5,5,5,5,5,102063388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked by default
99,10,1,1001,1,400,1,1,1,0,5,5,5,5,0,101003900,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,18000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2660,Unlocked by default
100,10,0,2057,1,400,1,1,1,0,5,5,5,5,0,102057368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Storm Dragon
101,10,0,2067,1,400,1,1,1,1,5,5,5,5,0,102067368,2378001254,183665759,183665759,22578545,31034123,3647615,1024750,3802369,22000,964470,286263,2381924,2171204,270,270,720,300,2200,3550,3550,500,0,300,3080,Unlocked after talking to Chang’e
102,10,0,2053,1,400,1,1,1,0,5,5,5,5,5,102053388,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Himiko
103,10,0,2068,1,400,1,1,1,0,5,5,5,5,0,102068368,2906445978,224480372,224480372,27595999,37930595,4458196,1252472,4647339,20000,1178796,349877,2911240,2653694,330,330,880,300,2200,3550,3550,500,0,300,2800,Unlocked after talking with Asura
