boss_id,npc_id,need_dungeon,reward
1,6001,0,3:1107:6:1|3:3007:6:1|3:5007:6:1|3:6007:6:1|3:8007:6:1|3:14007:6:1
2,6002,60,3:1109:6:1|3:3009:6:1|3:5009:6:1|3:6009:6:1|3:8009:6:1|3:14009:6:1
3,6003,100,3:1111:6:1|3:3011:6:1|3:5011:6:1|3:6011:6:1|3:8011:6:1|3:14011:6:1
4,6004,160,3:1113:6:1|3:3013:6:1|3:5013:6:1|3:6013:6:1|3:8013:6:1|3:14013:6:1
5,6005,220,3:1115:6:1|3:3015:6:1|3:5015:6:1|3:6015:6:1|3:8015:6:1|3:14015:6:1
6,6006,280,3:1117:6:1|3:3017:6:1|3:5017:6:1|3:6017:6:1|3:8017:6:1|3:14017:6:1
7,6007,340,3:1119:6:1|3:3019:6:1|3:5019:6:1|3:6019:6:1|3:8019:6:1|3:14019:6:1
8,6008,400,3:1121:6:1|3:3021:6:1|3:5021:6:1|3:6021:6:1|3:8021:6:1|3:14021:6:1
9,6009,460,3:1123:6:1|3:3023:6:1|3:5023:6:1|3:6023:6:1|3:8023:6:1|3:14023:6:1
10,6010,520,3:1125:6:1|3:3025:6:1|3:5025:6:1|3:6025:6:1|3:8025:6:1|3:14025:6:1
11,6011,580,3:1127:6:1|3:3027:6:1|3:5027:6:1|3:6027:6:1|3:8027:6:1|3:14027:6:1
12,6012,640,3:1129:6:1|3:3029:6:1|3:5029:6:1|3:6029:6:1|3:8029:6:1|3:14029:6:1
13,6013,700,3:1131:6:1|3:3031:6:1|3:5031:6:1|3:6031:6:1|3:8031:6:1|3:14031:6:1
14,6014,760,3:1133:6:1|3:3033:6:1|3:5033:6:1|3:6033:6:1|3:8033:6:1|3:14033:6:1
15,6015,820,3:1135:6:1|3:3035:6:1|3:5035:6:1|3:6035:6:1|3:8035:6:1|3:14035:6:1
16,6016,880,3:1137:6:1|3:3037:6:1|3:5037:6:1|3:6037:6:1|3:8037:6:1|3:14037:6:1
17,6017,940,3:1139:6:1|3:3039:6:1|3:5039:6:1|3:6039:6:1|3:8039:6:1|3:14039:6:1
18,6018,1000,3:1141:6:1|3:3041:6:1|3:5041:6:1|3:6041:6:1|3:8041:6:1|3:14041:6:1
19,6019,1120,3:1143:6:1|3:3043:6:1|3:5043:6:1|3:6043:6:1|3:8043:6:1|3:14043:6:1
20,6020,1521,3:1144:6:1|3:3044:6:1|3:5044:6:1|3:6044:6:1|3:8044:6:1|3:14044:6:1
21,6021,1721,3:1145:6:1|3:3045:6:1|3:5045:6:1|3:6045:6:1|3:8045:6:1|3:14045:6:1
22,6022,1921,3:1146:6:1|3:3046:6:1|3:5046:6:1|3:6046:6:1|3:8046:6:1|3:14046:6:1
23,6023,2121,3:1147:6:1|3:3047:6:1|3:5047:6:1|3:6047:6:1|3:8047:6:1|3:14047:6:1
24,6024,2321,3:1148:6:1|3:3048:6:1|3:5048:6:1|3:6048:6:1|3:8048:6:1|3:14048:6:1
25,6025,2521,3:1149:6:1|3:3049:6:1|3:5049:6:1|3:6049:6:1|3:8049:6:1|3:14049:6:1
26,6026,2721,3:1150:6:1|3:3050:6:1|3:5050:6:1|3:6050:6:1|3:8050:6:1|3:14050:6:1
27,6027,2921,3:1151:6:1|3:3051:6:1|3:5051:6:1|3:6051:6:1|3:8051:6:1|3:14051:6:1
28,6028,3121,3:1152:6:1|3:3052:6:1|3:5052:6:1|3:6052:6:1|3:8052:6:1|3:14052:6:1
29,6029,3321,3:1153:6:1|3:3053:6:1|3:5053:6:1|3:6053:6:1|3:8053:6:1|3:14053:6:1
30,6030,3521,3:1154:6:1|3:3054:6:1|3:5054:6:1|3:6054:6:1|3:8054:6:1|3:14054:6:1
31,6031,3721,3:1155:6:1|3:3055:6:1|3:5055:6:1|3:6055:6:1|3:8055:6:1|3:14055:6:1
32,6032,3921,3:1156:6:1|3:3056:6:1|3:5056:6:1|3:6056:6:1|3:8056:6:1|3:14056:6:1
33,6033,4121,3:1157:6:1|3:3057:6:1|3:5057:6:1|3:6057:6:1|3:8057:6:1|3:14057:6:1
34,6034,4321,3:1158:6:1|3:3058:6:1|3:5058:6:1|3:6058:6:1|3:8058:6:1|3:14058:6:1
35,6035,4521,3:1159:6:1|3:3059:6:1|3:5059:6:1|3:6059:6:1|3:8059:6:1|3:14059:6:1
36,6036,4721,3:1160:6:1|3:3060:6:1|3:5060:6:1|3:6060:6:1|3:8060:6:1|3:14060:6:1
37,6037,4921,3:1161:6:1|3:3061:6:1|3:5061:6:1|3:6061:6:1|3:8061:6:1|3:14061:6:1
38,6038,5121,3:1162:6:1|3:3062:6:1|3:5062:6:1|3:6062:6:1|3:8062:6:1|3:14062:6:1
39,6039,5321,3:1163:6:1|3:3063:6:1|3:5063:6:1|3:6063:6:1|3:8063:6:1|3:14063:6:1
40,6040,5521,3:1164:6:1|3:3064:6:1|3:5064:6:1|3:6064:6:1|3:8064:6:1|3:14064:6:1
41,6041,5721,3:1165:6:1|3:3065:6:1|3:5065:6:1|3:6065:6:1|3:8065:6:1|3:14065:6:1
