npc_id,name,avatar_path,spine_name,role,quality,star,job,level,skill_id_list,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
6001,Gabriel,2030.png,WL2,7,1,0,2,30,112901001|112902001,24216,248445,5790,7079,166,656,656,656,3092,20,664,664,0,0,0,0,0,0,0,0,0,0,200
6002,Lilith,2010.png,NBLS1,7,1,0,1,40,110901001|110902001,24216,388706,13058,15963,439,1229,1229,1229,6775,30,2278,2278,0,0,0,0,0,0,0,0,0,0,250
6003,Nephthys,2005.png,NFDS2,7,2,0,2,50,110401001|110402001,25448,653336,23893,29206,845,2500,1994,1994,10522,40,4046,4046,0,0,0,0,0,0,0,0,0,0,300
6004,Nyx,2033.png,NKS2,7,3,0,2,60,113201001|113202001,26681,1125584,44792,54751,1500,4000,3404,3404,13515,50,5905,5905,0,0,0,0,0,0,0,0,0,0,350
6005,Iris,2021.png,YXS2,7,3,0,2,70,112001001|112002001,27997,1707944,70811,86549,2520,6000,4953,4953,17546,60,8443,8443,0,0,0,0,0,0,0,0,0,0,400
6006,Nemesis,2019.png,NMXS2,7,4,0,2,80,111801001|111802001,29233,2531592,114048,139395,3910,7820,7386,7386,21566,70,10961,10961,0,0,0,0,0,0,0,0,0,0,450
6007,Medusa,2001.png,MDS2,7,4,0,1,90,110001001|110002001,29233,4092148,179530,219426,5905,11810,11212,11212,27043,80,14368,14368,0,0,0,0,0,0,0,0,0,0,500
6008,Siren,2004.png,Y2,7,5,0,3,100,110301001|110302001,29233,5591520,241676,295383,8443,19000,14370,14370,33596,90,19418,19418,0,0,0,0,0,0,0,0,0,0,550
6009,Fuxi,2026.png,FX2,7,5,0,3,110,112501001|112502001,29233,7496880,311513,380739,11829,23658,17192,17192,39858,100,27035,27035,0,0,0,0,0,0,0,0,0,0,600
6010,Zhu Rong,2040.png,HSZR2,7,5,0,3,120,113901001|113902001,29233,10420742,401820,491112,16541,33082,21551,21551,51377,110,40594,40594,0,0,0,0,0,0,0,0,0,0,650
6011,Princess Bari,2028.png,BLGZ2,7,5,0,2,130,112701001|112702001,29233,13219641,500961,612290,21288,50000,27188,27188,63967,120,53934,53934,0,0,0,0,0,0,0,0,0,0,700
6012,Lucifer,2024.png,LLS2,7,5,0,1,140,112301001|112302001,29233,15649260,615974,752858,27695,58000,31266,31266,77715,130,65834,65834,0,0,0,0,0,0,0,0,0,0,750
6013,Hephaestus,2041.png,HFSTS2,7,5,0,1,150,114001001|114002001,29233,18737004,712839,871251,35105,80000,35533,35533,97834,140,77031,77031,0,0,0,0,0,0,0,0,0,0,800
6014,Erebus,2031.png,ERBS2,7,6,0,1,160,113001001|113002001,29233,22618406,787076,961976,40000,85768,40225,40225,121616,150,82034,82034,0,0,0,0,0,0,0,0,0,0,850
6015,Nuwa,2025.png,LHFR3,7,6,0,3,170,112401001|112402001,29233,27321386,857262,1047766,55760,131520,45776,45776,151784,160,87037,87037,0,0,0,0,0,0,0,0,0,0,900
6016,Hades,2048.png,HDS2,7,6,0,1,180,114701001|114702001,29233,32461144,935293,1143140,74315,155630,59145,59145,184377,170,92452,92452,0,0,0,0,0,0,0,0,0,0,950
6017,Odin,2035.png,AD2,7,6,0,2,190,113401001|113402001,29233,38456486,1024566,1252248,96681,223362,79357,79357,223588,180,97453,97453,0,0,0,0,0,0,0,0,0,0,1000
6018,Heimdall,2051.png,HMDE4,7,7,0,1,200,114801001|114802001,29233,51600000,1224000,1496000,135000,300000,110000,110000,300000,195,105000,105000,0,0,0,0,0,0,0,0,0,0,1050
6019,Hera,2039.png,HL3,7,7,0,3,210,113801001|113802001,29233,70000000,1500000,1700000,180000,500000,150000,150000,400000,220,130000,130000,0,0,0,0,0,0,0,0,0,0,1100
6020,Icarus,2049.png,YKLS2,7,7,0,1,215,114801001|114802001,29233,200000000,3000000,5000000,600000,1000000,500000,400000,400000,230,300000,300000,0,0,0,0,0,0,0,0,0,0,1150
6021,Storm Dragon,2057.png,LL0,7,7,0,1,220,115601001|115602001,29233,300000000,7748664,9313920,1000000,1330560,1000000,1000000,400000,230,665280,665280,0,0,0,0,0,0,0,0,0,0,1400
6022,Frost Dragon,2055.png,LB_UR,7,7,0,3,225,115401001|115402001,29233,400000000,12497328,13627840,1400000,1661120,1500000,1600000,400000,230,1030560,1030560,0,0,0,0,0,0,0,0,0,0,1650
6023,Ember Dragon,2056.png,LH_UR,7,7,0,1,230,115501001|115502001,29233,500000000,17245992,17941760,900000,1991680,1000000,1200000,400000,230,1395840,1395840,0,500,0,0,0,0,0,0,0,0,1900
