cfg_id,build_id,build_name,level,need_step,reward_thing,reward_goods_count,hero_num,hero_job,hero_quality,need_ur,need_ur_plus,add_reward_num
1,1,礼品屋,1,4,1:4,50,1,2,1,0,0,50
2,1,礼品屋,2,4,1:4,100,2,2,1,0,0,50
3,1,礼品屋,3,4,1:4,150,3,2,1,0,0,50
4,1,礼品屋,4,4,1:4,200,4,2,1,0,0,50
5,1,礼品屋,5,4,1:4,250,5,2,1,0,0,50
6,2,甜筒屋,1,10,5:3000213,1,1,1,1,0,0,1
7,2,甜筒屋,2,10,5:3000213,1,2,1,1,0,0,1
8,2,甜筒屋,3,10,5:3000213,1,3,1,1,0,0,1
9,2,甜筒屋,4,10,5:3000213,1,4,1,1,0,0,1
10,2,甜筒屋,5,10,5:3000213,1,5,1,1,0,0,1
11,3,甜品屋,1,5,1:2,5,1,3,3,0,0,5
12,3,甜品屋,2,5,1:2,10,2,3,3,0,0,5
13,3,甜品屋,3,5,1:2,15,3,3,3,0,0,5
14,3,甜品屋,4,5,1:2,20,4,3,3,0,0,5
15,3,甜品屋,5,5,1:2,25,5,3,3,0,0,5
16,4,马戏团,1,5,5:3000006,5,1,2,1,0,0,5
17,4,马戏团,2,5,5:3000006,10,2,2,1,0,0,5
18,4,马戏团,3,5,5:3000006,15,3,2,1,0,0,5
19,4,马戏团,4,5,5:3000006,20,4,2,1,0,0,5
20,4,马戏团,5,5,5:3000006,25,5,2,1,0,0,5
21,5,烘焙屋,1,10,5:3000213,1,1,2,3,0,0,1
22,5,烘焙屋,2,10,5:3000213,1,2,2,3,0,0,1
23,5,烘焙屋,3,10,5:3000213,1,3,2,3,0,0,1
24,5,烘焙屋,4,10,5:3000213,1,4,2,3,0,0,1
25,5,烘焙屋,5,10,5:3000213,1,5,2,3,0,0,1
26,6,旋转木马,1,8,5:1000006,1,1,3,1,0,0,1
27,6,旋转木马,2,8,5:1000006,2,2,3,1,0,0,1
28,6,旋转木马,3,8,5:1000006,3,3,3,1,0,0,1
29,6,旋转木马,4,8,5:1000006,4,4,3,1,0,0,1
30,6,旋转木马,5,8,5:1000006,5,5,3,1,0,0,1
31,7,心动巴士,1,6,5:3000179,2,1,1,1,0,0,1
32,7,心动巴士,2,6,5:3000006,4,2,1,1,0,0,1
33,7,心动巴士,3,6,5:3000006,6,3,1,1,0,0,1
34,7,心动巴士,4,6,5:3000006,8,4,1,1,0,0,1
35,7,心动巴士,5,6,5:3000006,10,5,1,1,0,0,1
36,8,甜甜圈屋,1,4,5:3000007,5,1,3,1,0,0,3
37,8,甜甜圈屋,2,4,5:3000007,10,2,3,1,0,0,3
38,8,甜甜圈屋,3,4,5:3000007,15,3,3,1,0,0,3
39,8,甜甜圈屋,4,4,5:3000007,20,4,3,1,0,0,3
40,8,甜甜圈屋,5,4,5:3000007,25,5,3,1,0,0,3
