task_id,stage,task_type,condition,reward,content
1,1,1,5,5:3000213:10|5:3000211:5,累计投掷{0}次
2,1,1,15,5:3000213:15|5:3000211:6,累计投掷{0}次
3,1,1,25,5:3000213:15|5:3000211:6,累计投掷{0}次
4,1,1,40,5:3000213:20|5:3000211:8,累计投掷{0}次
5,1,1,55,5:3000213:20|5:3000211:10,累计投掷{0}次
6,2,1,70,5:3000213:30,累计投掷{0}次
7,2,1,85,5:3000213:30,累计投掷{0}次
8,2,1,100,5:3000213:40,累计投掷{0}次
9,2,1,115,5:3000213:40,累计投掷{0}次
10,2,1,130,5:3000213:40,累计投掷{0}次
11,3,1,150,5:3000213:50,累计投掷{0}次
12,3,1,170,5:3000213:50,累计投掷{0}次
13,3,1,190,5:3000213:50,累计投掷{0}次
14,3,1,210,5:3000213:50,累计投掷{0}次
15,3,1,230,5:3000213:50,累计投掷{0}次
16,4,2,250,5:3000213:50,累计投掷{0}次
17,4,2,270,5:3000213:50,累计投掷{0}次
18,4,2,290,5:3000213:50,累计投掷{0}次
19,4,2,310,5:3000213:50,累计投掷{0}次
20,4,2,330,5:3000213:50,累计投掷{0}次
21,5,2,350,5:3000213:50,累计投掷{0}次
22,5,2,370,5:3000213:50,累计投掷{0}次
23,5,2,390,5:3000213:50,累计投掷{0}次
24,5,2,410,5:3000213:50,累计投掷{0}次
25,5,2,430,5:3000213:50,累计投掷{0}次
26,5,2,450,5:3000213:50,累计投掷{0}次
27,5,2,470,5:3000213:50,累计投掷{0}次
28,5,2,490,5:3000213:50,累计投掷{0}次
29,6,2,510,5:3000213:50,累计投掷{0}次
30,6,2,530,5:3000213:50,累计投掷{0}次
31,6,2,550,5:3000213:50,累计投掷{0}次
32,6,2,570,5:3000213:50,累计投掷{0}次
33,6,2,590,5:3000213:50,累计投掷{0}次
34,6,2,610,5:3000213:50,累计投掷{0}次
35,6,2,630,5:3000213:50,累计投掷{0}次
36,6,2,650,5:3000213:50,累计投掷{0}次
