idx,skin_id,state,girl_dialog,switch_1,switch_2,girl_dialog_after_switch1,girl_dialog_after_switch2,sound,sound_after_switch1,sound_after_switch2,award,favorability
1,102047000,2,人类经历了这么多的挫折和背叛，我不知道他们是否还相信爱情。,至少我相信！,我也不知道……,令人振奋的回答呢！爱情不正是因为重重磨难而显得珍贵吗？,没必要用那么沉重的语气回答我！有我在的话，至少你不会在爱情的问题上倒霉。,,,,,10
2,102047000,2,即使身份有别，凡人与神明也应当拥有相爱的权力！,我完全赞同！,我很难认同。,就是说嘛 ！如果神与人的身份会阻止伟大的爱情，我宁愿不当神明了！,唉……或许你是正确的吧，毕竟这样的爱情终将随着人类短暂的生命而消逝。,,,,,10
3,102047000,1,嘻嘻……你有喜欢的女孩子吗？要不要给她一箭，让她也喜欢上你？,你猜猜？,有！,啊啦……你要是不告诉我，我就把你的名字写在箭上，闭着眼睛射出去啦！,那么你想给哪个幸运的女孩子来一箭呢？等等？！你为什么要把箭对着我？！,,,,,10
4,102047000,2,人类好像总以为靠权力或金钱就能得到一切，遗憾的是爱情并非如此。,你说的没错！,如何得到爱情？,所以你永远会和我一起，去击碎那些虚伪的爱情，对吧？！,当你遇到连统治世界这样的权力，也肯为她而放弃的女孩子后，你就明白了。,,,,,10
5,102047000,1,你射箭的水准如何？,非常拿手！,呃…不怎么样。,真的？！那太好了！我最近当爱神有些倦怠了，正想找个人替我一阵子呢！,要我亲自来教你吗？抓住我的手慢慢拉开弓……哎呀，你在碰哪儿呢！,,,,,10
6,102047000,2,作为爱神也挺无聊的，我也想来一场令人难忘的约会啊！,今晚你有空吗？,你想和谁约会？,哎呀……你……你怎么这么突然……我一点心理准备都没做好……,谁……谁都行……我的意思是 ……和你约会也是可以的哦……,,,,,10
7,102039000,1,我很喜欢百合这种花，世间再无比它更能象征纯洁和忠贞的存在了。,它的确很配你。,我也很喜欢。,本……本来就是这样！就算你话说得再好听，我也不会对凡人的赞美感到欣喜的！,和那些喜爱拥有惊艳花色的人不同……你倒是挺让我感到意外的。,,,,,10
8,102039000,5,我听预言说，将来我会嫁给一个非常强大但也非常花心的家伙？,未必如此。,似乎是的。,看来你是个不相信命运的人呢，很久没有凡人敢于对抗命运了……,那个人最好别是你，不然你可就有苦头要吃了……呵呵……,,,,,10
9,102039000,3,想参观我的后花园么？就算世界末日降临，我也有一片自己的安静之地呢。,我感到非常荣幸！,会不会不方便？,这里又没有其他人，没必要这么拘谨地回应我啦……,虽然只有我们两人！但这只是个私人的邀请罢了！不要多想！,,,,,10
10,102039000,1,呵呵……花朵在战火燃烧的映衬下……才显得格外地有魅力呐。,希望您仁慈为重。,祝您武运昌隆。,哼，战场上我从不手软，但你若希望我仁慈对待敌人，我……我也并不反对就是……,呵呵……已经有很多人和我说过这句话，并跟随我上战场了，想知道他们的故事吗？,,,,,10
11,102039000,4,自从我失去神力和记忆后，仿佛全世界都不在意我了一般。,至少我在意。,世界总是残酷的。,你说……说什么呢！我……我可不在乎一个凡人对我的仰慕！,呵呵……是啊，这个世界看重的是力量，在此之前，你愿意成为我的剑与盾吗？,,,,,10
12,102039000,5,我以为凡人的力量不过是渺小的存在，但事实证明，要战胜他们并非易事。,我也是凡人出身。,团结带来强大。,你……你和其他人不同！你可是我亲自挑选的，亲自认可的人！,神明向来各自为战，但你却能让敌对的神明团结起来，这也是我感到惊讶的。,,,,,10
13,102049000,4,我依旧对飞翔有所恐惧，或许我应当放弃使用这双翅膀？,你需要直面它。,放弃并不是坏事。,你说的没错，我会重新让自己摆脱恐惧的，向往自由的心比什么都最重要。,虽然有些不甘心，但每次见到你的时候，能否飞翔仿佛也变得不再重要了……,,,,,10
14,102049000,5,人们常说无知者无畏，你觉得因为无知产生的勇敢有意义吗？,在我看来有。,这太鲁莽了。,我也这么觉得，战场上的英雄如果知道他可能失败，那么他是无法冲锋陷阵的。,有些时候的确如此，而且这种鲁莽所带来的代价也是沉重的……,,,,,10
15,102049000,1,真理是一种奇特的存在……你知道自己永远无法理解，却还会坚定地追求它。,真理带来智慧。,天真一些也挺好。,我一直认为自己是个勇敢的人，但谨慎地思考问题好像不是我的长处……,有些事情，想的越多反而越让人感到迷茫，简单地思考其实也不错。,,,,,10
16,102049000,3,美妙的艺术总是伴随着伟大的想象和创造，你不这么觉得吗？,的确如此。,呃……没感觉到。,所以优秀的艺术家也应该是优秀的发明家，成为这样的人一直是我的理想呢！,我这双人造的翅膀就是一件奇特的发明！它难道不是艺术与创造的完美结合吗？,,,,,10
17,102049000,2,雕塑创作是我最感兴趣的事，不管你心情如何，它总能让你平静下来。,想看你的作品！,能教教我吗？,我的作品都是以自己为原型的人体艺术……但是给你看的话……我倒也不介意……,雕塑只能自己感悟啦，不过如果你有兴趣的话，我很乐意当你的模特！,,,,,10
18,102049000,5,我始终想不通，人类与神明到底有什么不同……,能力的高低？,生命的长短？,未必，我在希腊见过很多人类英雄，他们完全有能力在战场上和神明一较高下！,有很多妖怪或是魔物也具有接近永恒的生命……可它们好像也不算是神……,,,,,10
