dungeon_map_id,name,bg_path,switch_opr_guide_id,need_swipe_guide
1,首尔,00078_bg_memory_bg_memory.png,0,0
2,东京,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200101,0
3,雅典,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200102,1
4,斯巴达,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200103,0
5,大金字塔,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200104,0
6,尼罗河,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200105,0
7,地狱,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200106,1
8,血城堡,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200107,0
9,阿斯加德,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200108,0
10,炼狱,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200109,0
11,女娲寝宫,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200110,1
12,昆仑山,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200111,0
13,殒神峡谷,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200112,1
14,神峡谷,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200113,0
15,深渊,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200114,0
16,黑暗之海,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200115,0
17,米兰,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200116,1
18,罗马,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200117,0
19,西西里,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200118,0
20,拿波里,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200119,0
21,神域,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200120,1
22,爱琴海,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200121,0
23,凯法利尼亚,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200122,0
24,不眠火山,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200123,0
25,天空城,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200124,1
26,精灵峡谷,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200125,0
27,雪域,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200126,0
28,神庙,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200127,0
29,密西西比,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200128,1
30,亚拉巴马,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200129,0
31,百慕大,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200130,0
32,海底,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200131,0
33,古巴比伦,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200132,1
34,里海,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200133,0
35,圣地,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200134,0
36,神寺,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200135,0
37,乞力马扎罗山,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200136,1
38,东非大裂谷,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200137,0
39,红海,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200138,0
40,撒哈拉沙漠,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200139,0
41,新西伯利亚,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200140,1
42,圣彼得堡,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200141,0
43,贝加尔湖,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200142,0
44,叶卡捷琳堡,00077_bg_jiangyin_memory_bg_jiangyin_memory.png,200143,0
45,楚科奇,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200144,1
46,威尔士,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200145,0
47,特勒,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200146,0
48,诺姆,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200147,0
49,萨文格,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200148,1
50,斯特宾斯,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200149,0
51,埃莫纳克,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200150,0
52,胡珀贝,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200151,0
53,休斯顿,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200152,1
54,迈阿密,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200153,0
55,墨西哥城,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200154,0
56,图卢姆,77_bg_jiangyin_memory_bg_jiangyin_memory.png,200155,0
