cfg_id,position_count,max_count,quality,restore,name,icon,description
2012,60,999,7,15,盖亚UR碎片,2012.png,此碎片可在神性觉醒中用于提升女神品质
2016,60,999,7,15,瓦尔基里UR碎片,2016.png,此碎片可在神性觉醒中用于提升女神品质
2025,60,999,7,15,女娲UR碎片,2025.png,此碎片可在神性觉醒中用于提升女神品质
2031,60,999,7,15,厄瑞玻斯UR碎片,2031.png,此碎片可在神性觉醒中用于提升女神品质
2032,60,999,7,15,天照大神UR碎片,2032.png,此碎片可在神性觉醒中用于提升女神品质
2035,60,999,7,15,奥丁UR碎片,2035.png,此碎片可在神性觉醒中用于提升女神品质
2037,60,999,7,15,拉UR碎片,2037_UR.png,此碎片可在神性觉醒中用于提升女神品质
2039,60,999,7,15,赫拉UR碎片,2039_UR.png,此碎片可在神性觉醒中用于提升女神品质
2042,60,999,7,15,圣诞女神UR碎片,2042_UR.png,此碎片可在神性觉醒中用于提升女神品质
2047,60,999,7,15,丘比特UR碎片,2047_UR.png,此碎片可在神性觉醒中用于提升女神品质
2048,60,999,7,15,冥王哈迪斯UR碎片,2048.png,此碎片可在神性觉醒中用于提升女神品质
2049,60,999,7,15,伊卡璐斯UR碎片,2049_UR.png,此碎片可在神性觉醒中用于提升女神品质
2050,60,999,7,15,卡俄斯UR碎片,2050_UR.png,此碎片可在神性觉醒中用于提升女神品质
2051,60,999,7,15,海姆达尔UR碎片,2051_UR.png,此碎片可在神性觉醒中用于提升女神品质
2052,60,999,7,15,米迦勒UR碎片,2052.png,此碎片可在神性觉醒中用于提升女神品质
2053,60,999,7,15,卑弥呼UR碎片,2053_UR.png,此碎片可在神性觉醒中用于提升女神品质
2054,60,999,7,15,稚日女尊UR碎片,2054_UR.png,此碎片可在神性觉醒中用于提升女神品质
2055,60,999,7,15,龙-冰UR碎片,2055_UR.png,此碎片可在神性觉醒中用于提升女神品质
2056,60,999,7,15,龙-火UR碎片,2056_UR.png,此碎片可在神性觉醒中用于提升女神品质
2057,60,999,7,15,龙-雷UR碎片,2057_UR.png,此碎片可在神性觉醒中用于提升女神品质
2059,60,999,7,15,丑牛UR碎片,2059.png,此碎片可在神性觉醒中用于提升女神品质
2063,60,999,7,15,沈青儿UR碎片,2063_UR.png,此碎片可在神性觉醒中用于提升女神品质
2060,60,999,7,15,芙蕾雅UR碎片,2060_UR.png,此碎片可在神性觉醒中用于提升女神品质
2067,60,999,7,15,嫦娥UR碎片,2067_UR.png,此碎片可在神性觉醒中用于提升女神品质
2068,60,999,7,15,阿修罗UR碎片,2068_UR.png,此碎片可在神性觉醒中用于提升女神品质
2065,60,999,7,15,双子座UR碎片,2065_UR.png,此碎片可在神性觉醒中用于提升女神品质
2069,60,999,7,15,雅典娜UR碎片,2069_UR.png,此碎片可在神性觉醒中用于提升女神品质
2071,60,999,7,15,摩羯座UR碎片,2071_UR.png,此碎片可在神性觉醒中用于提升女神品质
2073,60,999,7,15,双鱼座UR碎片,2073_UR.png,此碎片可在神性觉醒中用于提升女神品质
2074,60,999,7,15,维纳斯UR碎片,2074_UR.png,此碎片可在神性觉醒中用于提升女神品质
2075,60,999,7,15,宙斯UR碎片,2075_UR.png,此碎片可在神性觉醒中用于提升女神品质
2076,60,999,7,15,洛基UR碎片,2076_UR.png,此碎片可在神性觉醒中用于提升女神品质
2077,60,999,7,15,索尔UR碎片,2077_UR.png,此碎片可在神性觉醒中用于提升女神品质
2078,60,999,7,15,阿波罗UR碎片,2078_UR.png,此碎片可在神性觉醒中用于提升女神品质
2081,60,999,7,15,荷鲁斯UR碎片,2081_UR.png,此碎片可在神性觉醒中用于提升女神品质
2082,60,999,7,15,弗丽嘉UR碎片,2082_UR.png,此碎片可在神性觉醒中用于提升女神品质
