cid,is_open,quality_level,potential,str_initial,agi_initial,int_initial,sta_initial,skill_ids,name,avatar_path,bg_path,spine_name
1001,1,9,6000,2000,2000,2000,2000,100111008|100112008|200111008|200112007|200113005|200114003,主角,"1000.png",ASiJiaDe,USER
1002,1,9,6000,2000,2000,2000,2000,100111008|100112008|200111008|200112007|200113005|200114003,主角,"1000.png",ASiJiaDe,USER
1003,1,9,6000,2000,2000,2000,2000,100111008|100112008|200111008|200112007|200113005|200114003,主角,"1000.png",ASiJiaDe,USER
2012,0,8,4450,800,800,800,800,"111101001|111102001|211111001|211112001|211113001|211114001",盖亚,2012.png,ShenYuanZhiLv,GY
2016,0,8,4575,790,790,790,790,"111501001|111502001|211511001|211512001|211513001|211514001",瓦尔基里,2016.png,ASiJiaDe,WEJL
2025,0,8,4625,795,795,795,795,"112401001|112402001|212411001|212412001|212413001|212414001",女娲,2025.png,NvWaQinGong,LHFR
2031,0,8,4500,780,780,780,780,"113001001|113002001|213011001|213012001|213013001|213014001",厄瑞玻斯,2031.png,XieShenCangShenChu,ERBS
2032,0,8,4575,775,775,775,775,"113101001|113102001|213111001|213112001|213113001|210612001",天照大神,2032.png,TianZhaoShenShe,TZDS
2035,0,8,4600,805,805,805,805,"113401001|113402001|213411001|213412001|213413001|213414001",奥丁,2035.png,ShiJieShu,AD
2037,1,8,5950,1600,1500,1500,1500,"123601001|123602001|223611001|223612001|223613001|223614001",拉,2037.png,DaJinZiTa,R
2039,1,8,6000,1500,1500,1600,1500,"123801001|123802001|223811001|223812001|223813001|223814001",赫拉,2039.png,PanDuoLaShenMiao,HL
2042,1,8,5400,1110,1110,1110,1110,"124101001|124102001|224111001|224112001|224113001|224114001",圣诞女神,2042.png,ShouErQingDian,SDNS
2047,1,8,5915,1450,1600,1450,1450,"124601001|124602001|224611001|224612001|224613001|224614001",丘比特,2047.png,PanDuoLaShenMiao,QBT
2048,0,8,4650,785,785,785,785,"114701001|114702001|214711001|214712001|214713001|214714001",冥王哈迪斯,2048.png,ShenNvQiSuo,HDS
2049,1,8,5960,1660,1480,1480,1480,"124801001|124802001|224811001|224812001|224813001|224814001",伊卡璐斯,2049.png,PanDuoLaShenMiao,YKLS
2050,1,8,6000,1480,1480,1480,1600,"124901001|124902001|224911001|224912001|224913001|224914001",卡俄斯,2050.png,PanDuoLaShenMiao,KES
2051,1,8,6025,1600,1450,1450,1450,"125001001|125002001|225011001|225012001|225013001|225014001",海姆达尔,2051.png,PanDuoLaShenMiao,HMDE
2052,0,8,4610,815,815,815,815,"115101001|115102001|215111001|215112001|215113001|215114001",米迦勒,2052.png,ShenZhiXiaGu,MJL
2053,1,8,6100,1650,1650,1650,1650,"125201001|125202001|225211001|225212001|225213001|225214001",卑弥呼,2053.png,KunLunTianGong,BMH
2054,1,8,5460,1120,1120,1120,1120,"125301001|125302001|225311001|225312001|225313001|225314001",稚日女尊,2054.png,ShenNvQiSuo,ZRNZ
2055,1,8,6000,1500,1500,1500,1500,"125401001|125402001|225411001|225412001|225413001|225414001",冰霜龙母,2055.png,ShenNvQiSuo,LB
2056,1,8,6000,1500,1500,1500,1500,"125501001|125502001|225511001|225512001|225513001|225514001",灰烬龙女,2056.png,RanShaoLianYu,LH
2057,1,8,6000,1500,1500,1500,1500,"125601001|125602001|225611001|225612001|225613001|225614001",风暴之龙,2057.png,KunLunTianGong,LL
2059,0,8,4600,805,805,805,805,"115801001|115802001|215811001|215812001|215813001|215814001",丑牛,2059.png,ShouErQingDian,CN
2063,1,8,6110,1550,1550,1650,1550,"126201001|126202001|226211001|226212001|226213001|226214001",沈青儿,2063.png,ShenNvQiSuo,SQE
2060,1,8,6000,1595,1595,1595,1595,"125901001|125902001|225911001|225912001|225913001|225914001",芙蕾雅,2060.png,"PanDuoLaShenMiao",FLY
2067,1,8,6100,1655,1655,1655,1655,"126601001|126602001|226611001|226612001|226613001|226614001",嫦娥,2067.png,NvWaQinGong,CE
2068,1,8,5980,1515,1515,1515,1515,"126701001|126702001|226711001|226712001|226713001|226714001",阿修罗,2068.png,"XieShenCangShenChu",AXL
2065,1,8,5950,1580,1580,1580,1580,"126401001|126402001|226411001|226412001|226413001|226414001",双子座,2065.png,KunLunTianGong,YWJ
2069,1,8,6000,1510,1510,1510,1510,126801001|126802001|226811001|226812001|226813001|226814001,雅典娜,2069.png,"PanDuoLaShenMiao",YDN
2071,1,8,6000,1520,1520,1520,1520,127101001|127102001|227111001|227112001|227113001|227114001,摩羯座,2071.png,KunLunTianGong,MJZ
2073,1,8,6050,1500,1500,1500,1500,127301001|127302001|227311001|227312001|227313001|227314001,双鱼座,2073.png,ShenNvQiSuo,SYZ
2074,1,8,6010,1510,1510,1510,1510,127401001|127402001|227411001|227412001|227413001|227414001,维纳斯,2074.png,ShenNvQiSuo,WNS
2075,1,8,6025,1505,1505,1505,1505,127501001|127502001|227511001|227512001|227513001|227514001,宙斯,2075.png,"PanDuoLaShenMiao",ZS
2076,1,8,6080,1500,1500,1500,1500,127601001|127602001|227611001|227612001|227613001|227614001,洛基,2076.png,ASiJiaDe,LJ
2077,1,8,5914,1510,1510,1510,1510,127701001|127702001|227711001|227712001|227713001|227714001,索尔,2077.png,ASiJiaDe,SE
2078,1,8,6000,1540,1540,1540,1540,127801001|127802001|227811001|227812001|227813001|227814001,阿波罗,2078.png,KunLunTianGong,ABL
2081,1,8,6100,1660,1660,1660,1660,128101001|128102001|228111001|228112001|228113001|228114001,荷鲁斯,2081.png,"PanDuoLaShenMiao",HLS
2082,1,8,6000,1510,1510,1510,1510,128201001|128202001|228211001|228212001|228213001|228214001,弗丽嘉,2082.png,"PanDuoLaShenMiao",FLJ
