cfg_id,max_count,quality,restore,day_limit_count,limit_group,limit_level,name,show_in_bag,icon,description,icon_kor
3000001,999,3,1,0,0,0,小铜锤,1,3000001.png,铜制的锤子，用来开启装备的第2个宝石孔,
3000002,999,4,1,0,0,0,小银锤,1,3000002.png,银制的锤子，用来开启装备的第3个宝石孔,
3000003,999,5,1,0,0,0,小金锤,1,3000003.png,金制的锤子，用来开启装备的第4个宝石孔,
3000004,999,2,1,0,0,0,普通召唤卷,1,3000004.png,召唤界面使用，普通召唤必须道具,
3000005,999,4,1,0,0,0,高级召唤券,1,3000005.png,召唤界面使用，高级召唤必须道具,
3000006,9999999,4,1,0,0,0,神核,1,3000006.png,女神等级突破专用道具,
3000011,999,6,1,0,0,50,神器经验石,1,3000011.png,神器吞噬时使用，增加1点神器经验值,
3000012,999,4,1,0,0,0,女娲补天召唤券,1,3000012.png,女娲补天活动界面使用，女娲召唤必须道具,
3000013,999,3,1,0,0,0,天空女神召唤券,1,3000013.png,天空女神活动界面使用，努特召唤必须道具,
3000014,999,3,1,0,0,0,海神愤怒召唤券,1,3000013.png,海神愤怒活动界面使用，波塞冬召唤必须道具,
3000018,999,5,1,0,0,0,英雄碎片,1,3000018.png,可以获得任何一个上阵英雄的碎片,
3000019,999,4,1,0,0,0,凡间公主召唤券,1,3000013.png,凡间公主活动界面使用，巴里公主召唤必须道具,
3000020,999,4,1,0,0,0,幻影如梦召唤券,1,3000013.png,幻影如梦活动界面使用，方塔苏斯召唤必须道具,
3000021,999,5,1,0,0,0,光明永恒召唤券,1,3000012.png,光明永恒活动界面使用，天照大神召唤必须道具,
3000022,999,4,1,0,0,0,天之启示召唤券,1,3000013.png,天之启示活动界面使用，圣女贞德召唤必须道具,
3000023,999,4,1,0,0,0,人文始祖召唤券,1,3000013.png,人文始祖活动界面使用，伏羲召唤必须道具,
3000024,999,4,1,0,0,0,战争女神召唤券,1,3000013.png,战争女神活动界面使用，瓦尔基里召唤必须道具,
3000025,999,4,1,0,0,0,蛇发女妖召唤券,1,3000013.png,蛇发女妖活动界面使用，美杜莎召唤必须道具,
3000026,999,4,1,0,0,0,复仇女神召唤券,1,3000013.png,复仇女神活动界面使用，涅墨西斯召唤必须道具,
3000027,999,6,1,0,0,0,稀有女神召唤券,1,3000012.png,可用于史诗召唤和传说召唤,
3000028,999,5,1,0,0,20,南瓜灯,1,3000028.png,万圣节活动期间战场挂机、挑战或扫荡boss掉落，可以在活动界面兑换道具。,
3000029,999,4,1,0,0,20,糖果,1,3000029.png,万圣节活动期间战场挂机、挑战或扫荡boss掉落，可以在活动界面兑换道具。,
3000030,999,5,1,0,0,0,万圣节装扮,1,3000030.png,主角皮肤界面使用，可以兑换主角的万圣节皮肤。,
3000031,999,6,1,0,0,0,5星女神信物,1,3000031.png,皮肤界面使用，可以兑换5星女神的皮肤。,
3000032,999,5,1,0,0,20,火鸡腿,1,3000032.png,感恩节活动期间战场挂机、挑战或扫荡boss掉落，可以在活动界面兑换道具。,
3000033,999,4,1,0,0,20,枫叶,1,3000033.png,感恩节活动期间战场挂机、挑战或扫荡boss掉落，可以在活动界面兑换道具。,
3000034,999,5,1,0,0,20,姜饼,1,3000034.png,圣诞节活动期间战场挂机、挑战或扫荡boss掉落，可以在活动界面兑换道具。,
3000035,999,4,1,0,0,20,铃铛,1,3000035.png,圣诞节活动期间战场挂机、挑战或扫荡boss掉落，可以在活动界面兑换道具。,
3000036,999,4,1,0,0,20,灯笼,1,3000036.png,春节活动期间战场挂机掉落，可以在活动界面兑换道具。,
3000037,999,5,1,0,0,20,红包,1,3000037.png,春节活动期间战场挂机掉落，可以在活动界面兑换道具。,
3000038,999,6,1,0,0,0,春节装扮,1,3000038.png,主角皮肤界面使用，可以兑换主角的春节皮肤。,
3000039,999,4,1,0,0,20,巧克力,1,3000039.png,情人节活动期间战场挂机、挑战或扫荡boss掉落，可以在活动界面兑换道具。,
3000040,999,5,1,0,0,20,玫瑰,1,3000040.png,情人节活动期间战场挂机、挑战或扫荡boss掉落，可以在活动界面兑换道具。,
3000041,999,4,1,0,0,20,百合,1,3000041.png,女神节活动期间战场挂机、挑战或扫荡boss掉落，可以在活动界面兑换道具。,
3000042,999,5,1,0,0,20,口红,1,3000042.png,女神节活动期间战场挂机、挑战或扫荡boss掉落，可以在活动界面兑换道具。,
3000043,999,4,1,0,0,20,门票,1,3000043.png,复活节战场挂机掉落，可以在活动界面兑换道具。,
3000044,999,5,1,0,0,20,彩蛋,1,3000044.png,复活节战场挂机掉落，可以在活动界面兑换道具。,
