cfg_id,optional_id,max_count,quality,restore,day_limit_count,limit_group,limit_level,name,icon,description
6000001,5:3000007:20|5:3000008:10|5:3000009:3|5:3000010:1,99999,5,1,0,0,0,培养丹自选箱,6000001.png,打开宝箱选择其中一种奖励（普通培养丹*20、高级培养丹*10、白金培养丹*3、至尊培养丹*1）
6000002,5:3000056:1|5:3000057:1|5:3000031:1,99999,6,1,0,0,0,女神信物自选箱,6000002.png,打开宝箱选择其中一种奖励（主角泳池之约、卑弥呼的信物、5星女神信物）
6000003,15:150029|15:150030|15:150031|15:150032|15:150034|15:150035|15:150044|15:150045|15:150046|15:150047|15:150051,99999,5,1,0,0,0,SSR圣物自选箱,6000003.png,打开宝箱选择其中一件SSR女神专属圣物
6000004,15:150036|15:150037|15:150038|15:150039|15:150040|15:150041|15:150042|15:150043|15:150048|15:150049|15:150050|15:150053|15:150054|15:150055|15:150056|15:150057|15:150058|15:150059|15:150060|15:150061|15:150062|15:150063|15:150064|15:150065|15:150066,99999,6,1,0,0,0,SSR+圣物自选箱,6000004.png,打开宝箱选择其中一件SSR+女神专属圣物
6000005,6:2012|6:2016|6:2025|6:2031|6:2032|6:2035|6:2042|6:2048|6:2052|6:2054|6:2058|6:2059|6:2061|6:2062,99999,6,1,0,0,0,SSR女神自选箱,6000005.png,打开宝箱选择其中一个SSR女神
6000006,6:2037|6:2039|6:2047|6:2050,99999,6,1,0,0,0,SSR+女神自选箱,6000006.png,打开宝箱选择【卡俄斯、拉、赫拉、丘比特】其中一个SSR+女神
6000007,23:13:1|23:14:1|23:15:1|23:16:1|23:17:1|23:18:1,99999,6,1,0,0,0,T3装备幻石自选箱,6000007.png,打开宝箱选择任意部位T3装备幻化石
6000008,23:7:1|23:8:1|23:9:1|23:10:1|23:11:1|23:12:1,99999,5,1,0,0,0,T2装备幻石自选箱,6000008.png,打开宝箱选择任意部位T2装备幻化石
6000009,7:2037:1|7:2039:1|7:2047:1|7:2049:1|7:2050:1|7:2051:1|7:2053:1|7:2055:1|7:2056:1|7:2057:1|7:2060:1|7:2063:1|7:2065:1|7:2067:1|7:2068:1|7:2069:1|7:2071:1|7:2073:1|7:2074:1|7:2075:1|7:2076:1|5:3000027:1,99999,6,1,0,0,0,经典女神碎片自选箱,6000009.png,打开宝箱选择任意经典女神的一个碎片（洛基及之前的所有稀有SSR+女神、稀有女神召唤券）
6000010,7:2039:1|17:2039:1|24:2039:1|5:3000027:1,99999,6,1,0,0,0,赫拉女神碎片自选箱,6000010.png,打开宝箱选择赫拉任意品质的碎片
6000011,7:2050:1|17:2050:1|24:2050:1|5:3000027:1,99999,6,1,0,0,0,卡俄斯女神碎片自选箱,6000011.png,打开宝箱选择卡俄斯任意品质的碎片
6000012,7:2047:1|17:2047:1|24:2047:1|5:3000027:1,99999,6,1,0,0,0,丘比特女神碎片自选箱,6000012.png,打开宝箱选择丘比特任意品质的碎片
6000013,7:2037:1|17:2037:1|24:2037:1|5:3000027:1,99999,6,1,0,0,0,拉女神碎片自选箱,6000013.png,打开宝箱选择拉任意品质的碎片
6000014,7:2049:1|17:2049:1|24:2049:1|5:3000027:1,99999,6,1,0,0,0,伊卡璐斯女神碎片自选箱,6000014.png,打开宝箱选择伊卡璐斯任意品质的碎片
6000015,23:19:1|23:20:1|23:21:1|23:22:1|23:23:1|23:24:1,99999,6,1,0,0,0,T4装备幻石自选箱,6000015.png,打开宝箱选择任意部位T4装备幻化石
6000016,7:2053:1|17:2053:1|24:2053:1|5:3000027:1,99999,6,1,0,0,0,卑弥呼女神碎片自选箱,6000016.png,打开宝箱选择卑弥呼任意品质的碎片
6000017,7:2051:1|17:2051:1|24:2051:1|5:3000027:1,99999,6,1,0,0,0,海姆达尔女神碎片自选箱,6000017.png,打开宝箱选择海姆达尔任意品质的碎片
6000018,7:2057:1|17:2057:1|24:2057:1|5:3000027:1,99999,6,1,0,0,0,风暴之龙女神碎片自选箱,6000018.png,打开宝箱选择风暴之龙任意品质的碎片
6000019,7:2056:1|17:2056:1|24:2056:1|5:3000027:1,99999,6,1,0,0,0,灰烬龙女女神碎片自选箱,6000019.png,打开宝箱选择灰烬龙女任意品质的碎片
6000020,7:2055:1|17:2055:1|24:2055:1|5:3000027:1,99999,6,1,0,0,0,冰霜龙母女神碎片自选箱,6000020.png,打开宝箱选择冰霜龙母任意品质的碎片
6000021,7:2081:1|17:2081:1|24:2081:1|5:3000027:1,99999,6,1,0,0,0,荷鲁斯女神碎片自选箱,6000021.png,打开宝箱选择荷鲁斯任意品质的碎片
6000022,7:2063:1|17:2063:1|24:2063:1|5:3000027:1,99999,6,1,0,0,0,沈青儿女神碎片自选箱,6000022.png,打开宝箱选择沈青儿任意品质的碎片
6000023,7:2067:1|17:2067:1|24:2067:1|5:3000027:1,99999,6,1,0,0,0,嫦娥女神碎片自选箱,6000023.png,打开宝箱选择嫦娥任意品质的碎片
6000024,25:1001:1|25:1002:1|25:1003:1|25:1004:1|25:1005:1|25:1006:1|25:1007:1|25:1008:1|25:1009:1|25:1010:1|25:1011:1|25:1012:1,99999,6,1,0,0,0,普通神迹卡自选碎片,6000024.png,打开获得任意普通神迹卡碎片
6000025,25:2001:1|25:2002:1|25:2003:1|25:2004:1|25:2005:1|25:2006:1|25:2007:1|25:2008:1|25:2009:1|25:2010:1,99999,6,1,0,0,0,史诗神迹卡自选碎片,6000025.png,打开获得任意史诗神迹卡碎片
6000026,25:3001:1|25:3002:1|25:3003:1|25:3004:1|25:3005:1|25:3006:1|25:3007:1|25:3008:1,99999,6,1,0,0,0,稀有神迹卡自选碎片,6000026.png,打开获得任意稀有神迹卡碎片
6000027,7:2065:1|17:2065:1|24:2065:1|5:3000027:1,99999,6,1,0,0,0,双子座女神碎片自选箱,6000027.png,打开宝箱选择双子座任意品质的碎片
6000028,7:2060:1|17:2060:1|24:2060:1|5:3000027:1,99999,6,1,0,0,0,芙蕾雅女神碎片自选箱,6000028.png,打开宝箱选择芙蕾雅任意品质的碎片
6000029,7:2082:1|17:2082:1|24:2082:1|5:3000027:1,99999,6,1,0,0,0,弗丽嘉女神碎片自选箱,6000029.png,打开宝箱选择弗丽嘉任意品质的碎片
6000030,27:2037:1|27:2039:1|27:2042:1|27:2047:1|27:2049:1|27:2050:1|27:2051:1|27:2053:1|27:2054:1|27:2055:1|27:2056:1|27:2057:1|27:2060:1|27:2063:1|27:2065:1|27:2067:1|27:2068:1|27:2069:1|27:2071:1|27:3072:1|27:2073:1|27:2074:1|27:2075:1|27:2076:1|27:2077:1|27:2078:1|27:2081:1|27:2082:1,99999,6,1,0,0,0,命星自选箱,6000030.png,打开宝箱选择任意女神的命星
6000031,7:2069:1|17:2069:1|24:2069:1|5:3000027:1,99999,6,1,0,0,0,雅典娜女神碎片自选箱,6000031.png,打开宝箱选择雅典娜任意品质的碎片
