cfg_id,max_count,quality,restore,function_type,day_limit_count,limit_group,limit_level,function_param,name,show_in_bag,icon,description
2000001,99,5,1000,1,0,0,20,,boss扫荡券,1,2000001.png,使用后增加1次boss扫荡次数
2000002,99,3,1000,4,0,0,0,1000001,铜钥匙,1,2000002.png,可以用来打开铜宝箱
2000003,99,4,1000,4,0,0,0,1000002,银钥匙,1,2000003.png,可以用来打开银宝箱
2000004,99,5,1000,4,0,0,0,1000003,金钥匙,1,2000004.png,可以用来打开金宝箱
2000005,99,6,1000,2,0,0,50,10,神器碎片,1,2000005.png,10个神器碎片可以合成一个神器
2000006,99,4,1000,3,5,2000006,0,2,快速挂机券Ⅰ,1,2000006.png,使用后直接获得2小时的挂机收益，\n每天最多可以使用5次快速挂机券
2000007,99,5,1000,3,5,2000006,0,5,快速挂机券Ⅱ,1,2000007.png,使用后直接获得5小时的挂机收益，\n每天最多可以使用5次快速挂机券
2000008,99,6,1000,3,5,2000006,0,10,快速挂机券Ⅲ,1,2000008.png,使用后直接获得10小时的挂机收益，\n每天最多可以使用5次快速挂机券
2000009,999,3,1000,5,0,0,0,10|2000010,普通外观卷,1,2000009.png,可以用来兑换普通外观的神奇卷轴，\n10张普通外观卷可合成1张高级外观卷
2000010,999,4,1000,5,0,0,0,10|2000011,高级外观卷,1,2000010.png,可以用来兑换高级外观的神奇卷轴，\n10张高级外观卷可合成1张白金外观卷
2000011,999,5,1000,5,0,0,0,,白金外观卷,1,2000011.png,可以用来兑换白金外观的神奇卷轴
2000012,999,3,1000,6,0,0,0,20|1,N碎片,1,2000012.png,合成女神
2000013,999,4,1000,6,0,0,0,30|2,R碎片,1,2000013.png,合成女神
2000014,999,4,1000,6,0,0,0,35|3,R+碎片,1,2000014.png,合成女神
2000015,999,5,1000,6,0,0,0,40|4,SR碎片,1,2000015.png,合成女神
2000016,999,5,1000,6,0,0,0,45|5,SR+碎片,1,2000016.png,合成女神
2000017,999,6,1000,6,0,0,0,50|6,SSR碎片,1,2000017.png,合成女神
3000007,999,3,1,7,0,0,40,10|3000008,普通培养丹,1,3000007.png,女神普通培养使用，随机改变女神的基础属性
3000008,999,4,1,7,0,0,40,10|3000009,高级培养丹,1,3000008.png,女神高级培养使用，随机改变女神的基础属性
3000009,999,5,1,7,0,0,40,10|3000010,白金培养丹,1,3000009.png,女神白金培养使用，随机改变女神的基础属性
3000010,999,6,1,7,0,0,40,,至尊培养丹,1,3000010.png,女神至尊培养使用，随机改变女神的基础属性
2000018,999,4,1000,9,0,0,0,1|2,2小时神核,1,2000018.png,使用后可立即获得2小时挂机神核奖励
2000019,999,4,1000,9,0,0,0,2|2,2小时金币,1,2000019.png,使用后可立即获得2小时挂机金币奖励
2000020,999,4,1000,9,0,0,0,3|2,2小时女神经验,1,2000020.png,使用后可立即获得2小时挂机女神经验奖励
2000021,999,4,1000,9,0,0,0,4|2,2小时玩家经验,1,2000021.png,使用后可立即获得2小时挂机玩家经验奖励
2000022,999,4,1000,9,0,0,0,5|2,2小时强化精华,1,2000022.png,使用后可立即获得2小时挂机强化精华奖励
2000023,999,5,1000,9,0,0,0,1|8,8小时神核,1,2000023.png,使用后可立即获得8小时挂机神核奖励
2000024,999,5,1000,9,0,0,0,2|8,8小时金币,1,2000024.png,使用后可立即获得8小时挂机金币奖励
2000025,999,5,1000,9,0,0,0,3|8,8小时女神经验,1,2000025.png,使用后可立即获得8小时挂机女神经验奖励
2000026,999,5,1000,9,0,0,0,4|8,8小时玩家经验,1,2000026.png,使用后可立即获得8小时挂机玩家经验奖励
2000027,999,5,1000,9,0,0,0,5|8,8小时强化精华,1,2000027.png,使用后可立即获得8小时挂机强化精华奖励
2000028,999,6,1000,9,0,0,0,1|24,24小时神核,1,2000028.png,使用后可立即获得24小时挂机神核奖励
2000029,999,6,1000,9,0,0,0,2|24,24小时金币,1,2000029.png,使用后可立即获得24小时挂机金币奖励
2000030,999,6,1000,9,0,0,0,3|24,24小时女神经验,1,2000030.png,使用后可立即获得24小时挂机女神经验奖励
2000031,999,6,1000,9,0,0,0,4|24,24小时玩家经验,1,2000031.png,使用后可立即获得24小时挂机玩家经验奖励
2000032,999,6,1000,9,0,0,0,5|24,24小时强化精华,1,2000032.png,使用后可立即获得24小时挂机强化精华奖励
2000033,999,3,1000,10,0,0,60,20|1,蓝色圣物碎片,1,2000033.png,20个碎片可以随机合成一个蓝色圣物
2000034,999,4,1000,10,0,0,60,30|2,紫色圣物碎片,1,2000034.png,30个碎片可以随机合成一个紫色圣物
2000035,999,5,1000,10,0,0,60,40|3,橙色圣物碎片,1,2000035.png,40个碎片可以随机合成一个橙色圣物
2000036,999,5,1000,7,0,0,120,50|6000030,命星碎片,1,2000036.png,集齐50个碎片可以合成一个命星自选箱
