cfg_id,cost_cfg_id,max_count,quality,restore,day_limit_count,limit_group,limit_level,name,icon,description
1000001,0,99,3,1000,0,0,20,铜宝箱,1000001.png,铜制的宝箱，里面似乎藏着一些宝物
1000002,0,99,4,1000,0,0,20,银宝箱,1000002.png,银制的宝箱，里面似乎藏着一些好宝物
1000003,0,99,5,1000,0,0,20,金宝箱,1000003.png,金制的宝箱，里面似乎藏着一些珍贵宝物
1000004,0,99,3,1000,0,0,70,1级宝石袋,1000004.png,使用后可以随机获得1颗1级宝石
1000005,0,99,3,1000,0,0,70,2级宝石袋,1000005.png,使用后可以随机获得1颗2级宝石
1000006,0,99,3,1000,0,0,70,3级宝石袋,1000006.png,使用后可以随机获得1颗3级宝石
1000007,0,99,4,1000,0,0,70,4级宝石袋,1000007.png,使用后可以随机获得1颗4级宝石
1000008,0,99,4,1000,0,0,70,5级宝石袋,1000008.png,使用后可以随机获得1颗5级宝石
1000009,0,99,4,1000,0,0,70,6级宝石袋,1000009.png,使用后可以随机获得1颗6级宝石
1000010,0,99,4,1000,0,0,70,7级宝石袋,1000010.png,使用后可以随机获得1颗7级宝石
1000011,0,99,5,1000,0,0,70,8级宝石袋,1000011.png,使用后可以随机获得1颗8级宝石
1000012,0,99,5,1000,0,0,70,9级宝石袋,1000012.png,使用后可以随机获得1颗9级宝石
1000013,0,99,5,1000,0,0,70,10级宝石袋,1000013.png,使用后可以随机获得1颗10级宝石
1000014,0,99,5,1000,0,0,70,11级宝石袋,1000014.png,使用后可以随机获得1颗11级宝石
1000015,0,99,6,1000,0,0,70,12级宝石袋,1000015.png,使用后可以随机获得1颗12级宝石
1000016,0,99,6,1000,0,0,70,13级宝石袋,1000016.png,使用后可以随机获得1颗13级宝石
1000017,0,99,6,1000,0,0,70,14级宝石袋,1000017.png,使用后可以随机获得1颗14级宝石
1000018,0,99,6,1000,0,0,70,15级宝石袋,1000018.png,使用后可以随机获得1颗15级宝石
1000019,0,99,4,1000,0,0,0,紫色女神碎片箱,1000019.png,使用后可以随机获得1个紫色女神碎片
1000020,0,99,5,1000,0,0,0,橙色女神碎片箱,1000020.png,使用后可以随机获得1个橙色女神碎片
1000021,0,99,6,1000,0,0,0,神王的恩赐,1000021.png,随机获得以下奖励中的一种：\n奥丁碎片1~5个、高级召唤券1个、\n普通召唤券3个、钻石100
1000022,0,99,6,1000,0,0,0,QA专用宝石袋,1000004.png,QA专用宝石袋
1000023,0,99,3,1000,0,0,12,普通公会宝箱,1000001.png,公会Boss掉落的箱子，里面似乎藏着一些宝物。
1000024,0,99,4,1000,0,0,12,高级公会宝箱,1000002.png,公会Boss掉落的箱子，里面似乎藏着一些好宝物。
1000025,0,99,5,1000,0,0,12,稀有公会宝箱,1000003.png,公会Boss掉落的箱子，里面似乎藏着一些珍贵宝物。
1000026,0,99,6,1000,0,0,12,公会战宝箱,1000026.png,公会战奖励的宝箱，里面似乎藏着一些珍贵宝物。
1000027,0,99,4,1000,0,0,0,高级召唤券宝箱,1000027.png,随机产生N个高级召唤券，概率：2张-30%； 3张-44%； 5张-20%； 10张-5%；20张-1%；
1000028,0,99,5,1000,0,0,0,史诗召唤券宝箱,1000028.png,随机产生N个史诗召唤券，概率：2张-30%； 3张-44%； 5张-20%； 10张-5%；20张-1%；
1000029,0,99,6,1000,0,0,0,传说召唤券宝箱,1000029.png,随机产生N个传说召唤券，概率：2张-30%； 3张-44%； 5张-20%； 10张-5%；20张-1%；
1000030,0,99,6,1000,0,0,0,稀有召唤券宝箱,1000030.png,随机产生N个稀有召唤券，概率：2张-30%； 3张-44%； 5张-20%； 10张-5%；20张-1%；
1000031,0,99,3,1000,0,0,100,蓝色内饰宝箱,1000031.png,随机获得1件蓝色内饰
1000032,0,99,4,1000,0,0,100,紫色内饰宝箱,1000032.png,随机获得1件紫色内饰
1000033,0,99,5,1000,0,0,100,橙色内饰宝箱,1000033.png,随机获得1件橙色内饰
1000034,0,99,5,1000,0,0,10,专属圣物宝箱,1000034.png,随机获得1件女神专属圣物
1000035,0,99,6,1000,0,0,10,奥林匹斯战宝箱,1000026.png,奥林匹斯战奖励的宝箱，里面似乎藏着一些珍贵宝物。
1000036,0,99,6,1000,0,0,0,QA专用宝石袋2,1000004.png,QA专用宝石袋2
1000037,0,99,6,1000,0,0,20,庆典宝箱,1000037.png,活动期间副本掉落，打开可以随机获得珍贵道具
1000038,0,99,3,1000,0,0,30,普通礼物宝箱,1000038.png,打开可获得普通品质礼物
1000039,0,99,4,1000,0,0,30,中级礼物宝箱,1000039.png,打开可获得中级品质礼物
1000040,0,99,5,1000,0,0,30,高级礼物宝箱,1000040.png,打开可获得高级品质礼物
1000041,0,99,6,1000,0,0,30,极品礼物宝箱,1000041.png,打开可获得极品品质礼物
1000042,0,999,6,1000,0,0,20,中秋金宝箱,1000003.png,此物只应天上有，宝箱已藏不住里面闪闪的物品了
1000043,0,999,5,1000,0,0,20,中秋银宝箱,1000002.png,玉兔总是将此宝箱藏在隐秘的角落，里面有啥呢
1000044,0,999,4,1000,0,0,20,中秋铜宝箱,1000001.png,外表质朴的中秋宝箱，但是宝物的光芒却出卖了它的外表
1000045,0,999,6,1000,0,0,20,万圣节金宝箱,1000045.png,金光四射的宝箱，里面究竟藏着什么好东西
1000046,0,999,5,1000,0,0,20,万圣节银宝箱,1000046.png,崭新的银质宝箱，看起来非常的值钱
1000047,0,999,4,1000,0,0,20,万圣节铜宝箱,1000047.png,尘封已久的破旧宝箱，隐约透露处宝物的光芒
1000049,0,999,6,1000,0,0,20,感恩节金宝箱,1000049.png,金光四射的宝箱，里面究竟藏着什么好东西
1000050,0,999,5,1000,0,0,20,感恩节银宝箱,1000050.png,崭新的银质宝箱，看起来非常的值钱
1000051,0,999,4,1000,0,0,20,感恩节铜宝箱,1000051.png,尘封已久的破旧宝箱，隐约透露处宝物的光芒
1000052,0,999,4,1000,0,0,100,T1幻化石宝箱,1000052.png,开启后随机获取一颗随机部位的T1幻化石
1000053,0,999,5,1000,0,0,100,T2幻化石宝箱,1000053.png,开启后随机获取一颗随机部位的T2幻化石
1000054,0,999,6,1000,0,0,100,T3幻化石宝箱,1000054.png,开启后随机获取一颗随机部位的T3幻化石
1000055,0,999,6,1000,0,0,20,圣诞节金宝箱,1000055.png,金光四射的宝箱，里面究竟藏着什么好东西
1000056,0,999,5,1000,0,0,20,圣诞节银宝箱,1000056.png,崭新的银质宝箱，看起来非常的值钱
1000057,0,999,4,1000,0,0,20,圣诞节铜宝箱,1000057.png,尘封已久的破旧宝箱，隐约透露处宝物的光芒
1000058,0,999,6,1000,0,0,20,至尊宝箱,1000058.png,世间罕见的至尊宝箱，里面究竟藏着什么好东西
1000059,0,999,5,1000,0,0,20,高级宝箱,1000059.png,金光闪闪的高级宝箱，看起来非常的值钱
1000060,0,999,4,1000,0,0,20,普通宝箱,1000060.png,外观看起来普普通通的宝箱，但隐约透露着宝物的光芒
1000061,0,99,6,1000,0,0,0,QA专用宝石袋3,1000011.png,QA专用宝石袋3
1000062,0,99,6,1000,0,0,0,QA专用宝石袋4,1000011.png,QA专用宝石袋4
1000063,0,999,6,1000,0,0,100,T4幻化石宝箱,1000063.png,开启后随机获取一颗随机部位的T4幻化石
1000064,0,999,4,1000,0,0,20,普通神迹卡随机碎片,1000064.png,打开获得随机普通神迹卡碎片
1000065,0,999,5,1000,0,0,20,史诗神迹卡随机碎片,1000065.png,打开获得随机史诗神迹卡碎片
1000066,0,999,6,1000,0,0,20,稀有神迹卡随机碎片,1000066.png,打开获得随机稀有神迹卡碎片
1000067,0,999,4,1000,0,0,20,普通神迹卡随机宝箱,1000067.png,打开获得随机普通神迹卡
1000068,0,999,5,1000,0,0,20,史诗神迹卡随机宝箱,1000068.png,打开获得随机史诗神迹卡
1000069,0,999,6,1000,0,0,20,稀有神迹卡随机宝箱,1000069.png,打开获得随机稀有神迹卡
