star,feeling
1,300
2,600
3,900
4,1200
5,1500
6,1800
7,2100
8,2400
9,2700
10,3000
11,3500
12,4300
13,5400
14,6800
15,8500
16,10500
17,12800
18,15400
19,18300
20,21500
21,25000
22,28800
23,32900
24,37300
25,42000
26,47000
27,52300
28,57900
29,63800
30,70000
31,76500
32,83300
33,90400
34,97800
35,105500
36,113500
37,121800
38,130400
39,139300
40,148500
41,158100
42,168100
43,178500
44,189300
45,200500
46,212100
47,224100
48,236500
49,249300
50,262500
51,276200
52,290400
53,305100
54,320300
55,336000
56,352200
57,368900
58,386100
59,403800
60,422000
61,440800
62,460200
63,480200
64,500800
65,522000
66,543800
67,566200
68,589200
69,612800
70,637000
71,661900
72,687500
73,713800
74,740800
75,768500
76,796900
77,826000
78,855800
79,886300
80,917500
81,949600
82,982600
83,1016500
84,1051300
85,1087000
86,1123600
87,1161100
88,1199500
89,1238800
90,1279000
