gid,group_name,hero_ids,attr_type_type,attr_type,attr_value,content,hcid
1,天使守护,1001|2030|2017,2,1,2000,与{0}同时上阵,1001
2,天使守护,1001|2030|2017,2,1,2000,与{0}同时上阵,2030
3,天使守护,1001|2030|2017,2,1,2000,与{0}同时上阵,2017
4,必胜之心,1001|2014,3,1,150,与{0}同时上阵,1001
5,必胜之心,1001|2014,3,1,150,与{0}同时上阵,2014
6,王的起点,1001|2028,3,2,200,与{0}同时上阵,1001
7,王的起点,1001|2028,3,2,200,与{0}同时上阵,2028
8,神王传承,1001|2035,3,1,250,与{0}同时上阵,1001
9,神王传承,1001|2035,3,1,250,与{0}同时上阵,2035
10,不屈之翼,1001|2049,3,2,300,与{0}同时上阵,1001
11,不屈之翼,1001|2049,3,2,300,与{0}同时上阵,2049
12,东方之美,2006|2007,2,1,1000,与{0}同时上阵,2006
13,东方之美,2006|2007,2,1,1000,与{0}同时上阵,2007
14,新人之友,2006|2030,2,1,1000,与{0}同时上阵,2006
15,新人之友,2006|2030,2,1,1000,与{0}同时上阵,2030
16,野性力量,2007|2018,3,1,100,与{0}同时上阵,2007
17,野性力量,2007|2018,3,1,100,与{0}同时上阵,2018
18,罪恶的美,2018|2020,3,2,100,与{0}同时上阵,2018
19,罪恶的美,2018|2020,3,2,100,与{0}同时上阵,2020
20,美和梦境,2020|2023,3,1,100,与{0}同时上阵,2020
21,美和梦境,2020|2023,3,1,100,与{0}同时上阵,2023
22,生命起源,2005|2009|2027|2022,3,1,200,与{0}同时上阵,2005
23,生命起源,2005|2009|2027|2022,3,1,200,与{0}同时上阵,2009
24,生命起源,2005|2009|2027|2022,3,1,200,与{0}同时上阵,2027
25,生命起源,2005|2009|2027|2022,3,1,200,与{0}同时上阵,2022
26,死亡主宰,2005|2034,3,2,150,与{0}同时上阵,2005
27,死亡主宰,2005|2034,3,2,150,与{0}同时上阵,2034
28,华夏之魂,2008|2027,3,2,150,与{0}同时上阵,2008
29,华夏之魂,2008|2027,3,2,150,与{0}同时上阵,2027
30,驱逐混沌,2008|2029,3,1,150,与{0}同时上阵,2008
31,驱逐混沌,2008|2029,3,1,150,与{0}同时上阵,2029
32,噬血獠牙,2009|2010,3,2,150,与{0}同时上阵,2009
33,噬血獠牙,2009|2010,3,2,150,与{0}同时上阵,2010
34,恶魔呓语,2010|2033,3,1,150,与{0}同时上阵,2010
35,恶魔呓语,2010|2033,3,1,150,与{0}同时上阵,2033
36,神之眷顾,2017|2021,3,2,150,与{0}同时上阵,2017
37,神之眷顾,2017|2021,3,2,150,与{0}同时上阵,2021
38,命运眷顾,2021|2022,3,1,150,与{0}同时上阵,2021
39,命运眷顾,2021|2022,3,1,150,与{0}同时上阵,2022
40,致命美丽,2023|2029,3,2,150,与{0}同时上阵,2023
41,致命美丽,2023|2029,3,2,150,与{0}同时上阵,2029
42,黑暗死亡,2033|2034,3,1,150,与{0}同时上阵,2033
43,黑暗死亡,2033|2034,3,1,150,与{0}同时上阵,2034
44,堕落之源,2001|2004|2013,3,2,200,与{0}同时上阵,2001
45,堕落之源,2001|2004|2013,3,2,200,与{0}同时上阵,2004
46,堕落之源,2001|2004|2013,3,2,200,与{0}同时上阵,2013
47,日积月累,2001|2019,3,1,150,与{0}同时上阵,2001
48,日积月累,2001|2019,3,1,150,与{0}同时上阵,2019
49,真实之力,2001|2040,3,2,150,与{0}同时上阵,2001
50,真实之力,2001|2040,3,2,150,与{0}同时上阵,2040
51,元素之力,2002|2011|2040,3,1,200,与{0}同时上阵,2002
52,元素之力,2002|2011|2040,3,1,200,与{0}同时上阵,2011
53,元素之力,2002|2011|2040,3,1,200,与{0}同时上阵,2040
54,百川归海,2002|2004,3,2,150,与{0}同时上阵,2002
55,百川归海,2002|2004,3,2,150,与{0}同时上阵,2004
56,治愈之心,2002|2038,3,1,150,与{0}同时上阵,2002
57,治愈之心,2002|2038,3,1,150,与{0}同时上阵,2038
58,战争号角,2003|2014|2019,3,2,200,与{0}同时上阵,2003
59,战争号角,2003|2014|2019,3,2,200,与{0}同时上阵,2014
60,战争号角,2003|2014|2019,3,2,200,与{0}同时上阵,2019
61,纯净之心,2003|2015,3,1,150,与{0}同时上阵,2003
62,纯净之心,2003|2015,3,1,150,与{0}同时上阵,2015
63,誓约胜利,2003|2014,3,2,150,与{0}同时上阵,2003
64,誓约胜利,2003|2014,3,2,150,与{0}同时上阵,2014
65,青春常驻,2004|2015,3,1,150,与{0}同时上阵,2004
66,青春常驻,2004|2015,3,1,150,与{0}同时上阵,2015
67,九柱女神,2011|2037,3,2,150,与{0}同时上阵,2011
68,九柱女神,2011|2037,3,2,150,与{0}同时上阵,2037
69,星辰苍穹,2011|2036,3,1,150,与{0}同时上阵,2011
70,星辰苍穹,2011|2036,3,1,150,与{0}同时上阵,2036
71,诸神黄昏,2015|2016|2035,3,2,200,与{0}同时上阵,2015
72,诸神黄昏,2015|2016|2035,3,2,200,与{0}同时上阵,2016
73,诸神黄昏,2015|2016|2035,3,2,200,与{0}同时上阵,2035
74,暗与亡者,2019|2031,3,1,150,与{0}同时上阵,2019
75,暗与亡者,2019|2031,3,1,150,与{0}同时上阵,2031
76,镜花水月,2036|2046,3,2,150,与{0}同时上阵,2036
77,镜花水月,2036|2046,3,2,150,与{0}同时上阵,2046
78,虚妄之镜,2036|2026,3,1,150,与{0}同时上阵,2036
79,虚妄之镜,2036|2026,3,1,150,与{0}同时上阵,2026
80,财富力量,2013|2052|2024,3,1,200,与{0}同时上阵,2013
81,财富力量,2013|2052|2024,3,1,200,与{0}同时上阵,2052
82,财富力量,2013|2052|2024,3,1,200,与{0}同时上阵,2024
83,神圣复仇,2013|2039|2012,3,1,150,与{0}同时上阵,2013
84,神圣复仇,2013|2039|2012,3,1,150,与{0}同时上阵,2039
85,神圣复仇,2013|2039|2012,3,1,150,与{0}同时上阵,2012
86,恶魔意志,2024|2031,3,2,150,与{0}同时上阵,2024
87,恶魔意志,2024|2031,3,2,150,与{0}同时上阵,2031
88,致命一击,2024|2041,3,1,150,与{0}同时上阵,2024
89,致命一击,2024|2041,3,1,150,与{0}同时上阵,2041
90,东方之星,2026|2028|2032,3,2,200,与{0}同时上阵,2026
91,东方之星,2026|2028|2032,3,2,200,与{0}同时上阵,2028
92,东方之星,2026|2028|2032,3,2,200,与{0}同时上阵,2032
93,文明觉醒,2026|2025,3,1,150,与{0}同时上阵,2026
94,文明觉醒,2026|2025,3,1,150,与{0}同时上阵,2025
95,美丽舞姿,2028|2038,3,2,150,与{0}同时上阵,2028
96,美丽舞姿,2028|2038,3,2,150,与{0}同时上阵,2038
97,大和之美,2038|2046|2054,3,1,200,与{0}同时上阵,2038
98,大和之美,2038|2046|2054,3,1,200,与{0}同时上阵,2046
99,大和之美,2038|2046|2054,3,1,200,与{0}同时上阵,2054
