level,hero_exp_need,hero_core_need,strength,agility,intelligence,stamina
1,100,0,5,5,5,5
2,150,0,10,10,10,10
3,200,0,15,15,15,15
4,250,0,20,20,20,20
5,300,0,25,25,25,25
6,350,0,30,30,30,30
7,400,0,35,35,35,35
8,450,0,40,40,40,40
9,500,0,45,45,45,45
10,550,10,95,95,95,95
11,600,0,105,105,105,105
12,650,0,115,115,115,115
13,700,0,125,125,125,125
14,750,0,135,135,135,135
15,800,0,145,145,145,145
16,850,0,155,155,155,155
17,900,0,165,165,165,165
18,950,0,175,175,175,175
19,1000,0,185,185,185,185
20,1050,40,285,285,285,285
21,1100,0,300,300,300,300
22,1150,0,315,315,315,315
23,1200,0,330,330,330,330
24,1250,0,345,345,345,345
25,1300,0,360,360,360,360
26,1350,0,375,375,375,375
27,1400,0,390,390,390,390
28,1450,0,405,405,405,405
29,1500,0,420,420,420,420
30,1550,0,435,435,435,435
31,1600,0,450,450,450,450
32,1650,0,465,465,465,465
33,1700,0,480,480,480,480
34,1750,0,495,495,495,495
35,1800,0,510,510,510,510
36,1850,0,525,525,525,525
37,1900,0,540,540,540,540
38,1950,0,555,555,555,555
39,2000,0,570,570,570,570
40,2100,200,720,720,720,720
41,2400,0,740,740,740,740
42,2700,0,760,760,760,760
43,3000,0,780,780,780,780
44,3300,0,800,800,800,800
45,3600,0,820,820,820,820
46,3900,0,840,840,840,840
47,4200,0,860,860,860,860
48,4500,0,880,880,880,880
49,4800,0,900,900,900,900
50,5100,0,920,920,920,920
51,5600,0,940,940,940,940
52,6100,0,960,960,960,960
53,6600,0,980,980,980,980
54,7100,0,1000,1000,1000,1000
55,7600,0,1020,1020,1020,1020
56,8100,0,1040,1040,1040,1040
57,8600,0,1060,1060,1060,1060
58,9100,0,1080,1080,1080,1080
59,9600,0,1100,1100,1100,1100
60,10100,500,1300,1300,1300,1300
61,10600,0,1330,1330,1330,1330
62,11600,0,1360,1360,1360,1360
63,12600,0,1390,1390,1390,1390
64,13600,0,1420,1420,1420,1420
65,14600,0,1450,1450,1450,1450
66,15600,0,1480,1480,1480,1480
67,16600,0,1510,1510,1510,1510
