id,signal,index,pre_index,type,level,add_attr,value_type,show_type,cost_count
1,4,1,0,1,1,3:1:30|3:3:30,1|1,1|1,590
2,4,1,0,1,2,3:1:60|3:3:60,1|1,1|1,695
3,4,1,0,1,3,3:1:90|3:3:90,1|1,1|1,870
4,4,1,0,1,4,3:1:120|3:3:120,1|1,1|1,1070
5,4,1,0,1,5,3:1:150|3:3:150,1|1,1|1,1320
6,4,2,1,1,1,3:4:30|3:8:20,1|1,1|1,590
7,4,2,1,1,2,3:4:60|3:8:40,1|1,1|1,695
8,4,2,1,1,3,3:4:90|3:8:60,1|1,1|1,870
9,4,2,1,1,4,3:4:120|3:8:80,1|1,1|1,1070
10,4,2,1,1,5,3:4:150|3:8:100,1|1,1|1,1320
11,4,3,2,2,1,1:1:50,2,0,1
12,4,4,3,1,1,2:17:30|3:11:60,2|2,0|0,590
13,4,4,3,1,2,2:17:60|3:11:120,2|2,0|0,695
14,4,4,3,1,3,2:17:90|3:11:180,2|2,0|0,870
15,4,4,3,1,4,2:17:120|3:11:240,2|2,0|0,1070
16,4,4,3,1,5,2:17:150|3:11:300,2|2,0|0,1320
17,4,5,4,2,1,2:38:50|2:18:20,1|1,1|0,1
18,4,6,5,1,1,3:2:40|3:9:20,1|1,1|1,590
19,4,6,5,1,2,3:2:80|3:9:40,1|1,1|1,695
20,4,6,5,1,3,3:2:120|3:9:60,1|1,1|1,870
21,4,6,5,1,4,3:2:160|3:9:80,1|1,1|1,1070
22,4,6,5,1,5,3:2:200|3:9:100,1|1,1|1,1320
23,4,7,6,2,1,2:39:100|3:5:100,1|1,1|1,1
24,4,8,6,2,1,2:38:100|3:8:200,1|1,1|1,1
25,4,9,8,1,1,3:1:40|3:13:20,1|1,1|1,590
26,4,9,8,1,2,3:1:80|3:13:40,1|1,1|1,695
27,4,9,8,1,3,3:1:120|3:13:60,1|1,1|1,870
28,4,9,8,1,4,3:1:160|3:13:80,1|1,1|1,1070
29,4,9,8,1,5,3:1:200|3:13:100,1|1,1|1,1320
30,4,10,9,2,1,2:22:150|2:37:100,1|1,1|1,1
31,1,1,0,1,1,3:2:30|3:13:30,1|1,1|1,590
32,1,1,0,1,2,3:2:60|3:13:60,1|1,1|1,695
33,1,1,0,1,3,3:2:90|3:13:90,1|1,1|1,870
34,1,1,0,1,4,3:2:120|3:13:120,1|1,1|1,1070
35,1,1,0,1,5,3:2:150|3:13:150,1|1,1|1,1320
36,1,2,1,1,1,3:4:40|3:1:20,1|1,1|1,590
37,1,2,1,1,2,3:4:80|3:1:40,1|1,1|1,695
38,1,2,1,1,3,3:4:120|3:1:60,1|1,1|1,870
39,1,2,1,1,4,3:4:160|3:1:80,1|1,1|1,1070
40,1,2,1,1,5,3:4:200|3:1:100,1|1,1|1,1320
41,1,3,2,2,1,1:1:50,2,0,1
42,1,4,3,1,1,3:16:10|2:43:40,1|1,1|1,590
43,1,4,3,1,2,3:16:20|2:43:80,1|1,1|1,695
44,1,4,3,1,3,3:16:30|2:43:120,1|1,1|1,870
45,1,4,3,1,4,3:16:40|2:43:160,1|1,1|1,1070
46,1,4,3,1,5,3:16:50|2:43:200,1|1,1|1,1320
47,1,5,4,2,1,2:38:100|2:18:20,1|1,1|0,1
48,1,6,5,1,1,3:17:20|3:2:20,1|1,1|1,590
49,1,6,5,1,2,3:17:40|3:2:40,1|1,1|1,695
50,1,6,5,1,3,3:17:60|3:2:60,1|1,1|1,870
51,1,6,5,1,4,3:17:80|3:2:80,1|1,1|1,1070
52,1,6,5,1,5,3:17:100|3:2:100,1|1,1|1,1320
