hero_cid,quality,name,icon,description
1001,5,主角命星,1001.png,限定女神的命星的激活材料
2037,5,拉的命星,2037.png,限定女神的命星的激活材料
2039,5,赫拉的命星,2039.png,限定女神的命星的激活材料
2042,5,圣诞女神的命星,2042.png,限定女神的命星的激活材料
2047,5,丘比特的命星,2047.png,限定女神的命星的激活材料
2049,5,伊卡璐斯的命星,2049.png,限定女神的命星的激活材料
2050,5,卡俄斯的命星,2050.png,限定女神的命星的激活材料
2051,5,海姆达尔的命星,2051.png,限定女神的命星的激活材料
2053,5,卑弥呼的命星,2053.png,限定女神的命星的激活材料
2054,5,稚日女尊的命星,2054.png,限定女神的命星的激活材料
2055,5,冰霜龙母的命星,2055.png,限定女神的命星的激活材料
2056,5,灰烬龙女的命星,2056.png,限定女神的命星的激活材料
2057,5,风暴之龙的命星,2057.png,限定女神的命星的激活材料
2060,5,芙蕾雅的命星,2060.png,限定女神的命星的激活材料
2063,5,沈青儿的命星,2063.png,限定女神的命星的激活材料
2065,5,双子座的命星,2065.png,限定女神的命星的激活材料
2067,5,嫦娥的命星,2067.png,限定女神的命星的激活材料
2068,5,阿修罗的命星,2068.png,限定女神的命星的激活材料
2069,5,雅典娜的命星,2069.png,限定女神的命星的激活材料
2071,5,摩羯座的命星,2071.png,限定女神的命星的激活材料
2073,5,双鱼座的命星,2073.png,限定女神的命星的激活材料
2074,5,维纳斯的命星,2074.png,限定女神的命星的激活材料
2075,5,宙斯的命星,2075.png,限定女神的命星的激活材料
2076,5,洛基的命星,2076.png,限定女神的命星的激活材料
2077,5,索尔的命星,2077.png,限定女神的命星的激活材料
2078,5,阿波罗的命星,2078.png,限定女神的命星的激活材料
2081,5,荷鲁斯的命星,2081.png,限定女神的命星的激活材料
2082,5,弗丽嘉的命星,2082.png,限定女神的命星的激活材料
