id,collect_id,is_activity_charge,hide_in_normal_charge,avatar_name,spine_name,review_spine_name,avatar_icon_b,avatar_icon_review_b,avatar_icon_small,avatar_icon_small_review,is_advanced,avatar_quality,hero_cid,is_default,attribute,unlock_cond1,unlock_operation,unlock_cond2,ui_link,unlock_desc,is_show,audio_folder_name,audio_name,audio_random_count,need_show,scene_path,image_bg_path,attack_hide_spine_bg
101001000,0,0,0,主角,USER_MAIN0,HL0,1000_0.png,2039_0.png,1000.png,2039.png,0,3,1001|1002|1003,1,0,0,0,,111|1,默认皮肤,0,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101001001,101,0,0,泳池派对,USER_YZ1,HL0,1000_YZ1.png,2039_0.png,1000_YZ1.png,2039.png,1,6,1001|1002|1003,0,3:1:100|3:22:500,2:3000056:1,0,,,兑换,1,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101001100,0,0,0,泳池派对,USER_MAIN_YZ1,HL0,1001_YZ1.png,2039_0.png,,2039.png,0,6,1001|1002|1003,0,3:01:50,4,0,,,荣耀竞技场,0,wu_jiang,hero_user_wu_jiang,3,0,,img_job_bg_1,0
101002100,0,0,0,泳池派对,USER_MAIN_YZ2,HL0,1002_YZ1.png,2039_0.png,,2039.png,0,6,1001|1002|1003,0,3:01:50,4,0,,,荣耀竞技场,0,gong_jiang,hero_user_gong_jiang,3,0,,img_job_bg_1,0
101003100,0,0,0,泳池派对,USER_MAIN_YZ3,HL0,1003_YZ1.png,2039_0.png,,2039.png,0,6,1001|1002|1003,0,3:01:50,4,0,,,荣耀竞技场,0,mou_shi,hero_user_mou_shi,3,0,,img_job_bg_1,0
101001200,0,0,0,万圣节限定,USER_MAIN_WSJ1,HL0,1001_WSJ1.png,2039_0.png,,2039.png,0,6,1001|1002|1003,0,3:02:50,2:3000030:1,0,,,兑换,0,wu_jiang,hero_user_wu_jiang,3,0,,img_job_bg_1,0
101002200,0,0,0,万圣节限定,USER_MAIN_WSJ2,HL0,1002_WSJ1.png,2039_0.png,,2039.png,0,6,1001|1002|1003,0,0.131712963,2:3000030:1,0,,,兑换,0,gong_jiang,hero_user_gong_jiang,3,0,,img_job_bg_1,0
101003200,0,0,0,万圣节限定,USER_MAIN_WSJ3,HL0,1003_WSJ1.png,2039_0.png,,2039.png,0,6,1001|1002|1003,0,3:01:50,2:3000030:1,0,,,兑换,0,mou_shi,hero_user_mou_shi,3,0,,img_job_bg_1,0
101001300,0,0,0,春节限定,USER_CJ1,HL0,1000_CJ1.png,2039_0.png,,2039.png,0,6,1001|1002|1003,0,0.126851852,2:3000038:1,0,,,兑换,0,wu_jiang,hero_user_wu_jiang,3,0,,img_job_bg_1,0
101001400,103,0,0,荣耀限定（7天）,USER_YY0,HL0,1000_YY0.png,2039_0.png,,2039.png,0,6,1001|1002|1003,0,0.126851852,2:5000004:1,0,,,兑换,1,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101001500,102,0,0,神辉羽翼,USER_UR,HL0,1000_UR.png,2039_0.png,1000_UR.png,2039.png,1,6,1001|1002|1003,0,3:1:100|3:22:450,1:33,0,,,觉醒至UR,0,wu_jiang_ur,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101001600,104,0,0,神圣殿堂,USER_HS,HL0,1000_HS.png,2039_0.png,1000_HS.png,2039.png,1,6,1001|1002|1003,0,3:2:100|3:22:450,7,0,,,誓约获得,0,wu_jiang,hero_user_wu_jiang,3,1,,img_hunsha_bg,0
101001700,103,1,1,偶像天使,USER_DGF,HL0,1000_DGF.png,2039_0.png,1000_DGF.png,2039.png,1,6,1001|1002|1003,0,3:1:100|3:22:450,5:10002:10002,0,,,限定购买,1,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101001800,103,1,0,万圣节限定,USER_WSJ2,HL0,1000_WSJ.png,2039_0.png,1000_WSJ.png,2039.png,1,6,1001|1002|1003,0,3:1:100|3:22:450,5:10011:10012,0,,,限定购买,1,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101001900,103,1,0,圣诞甜心,USER_SD,HL0,1000_SD.png,2039_0.png,1000_SD.png,2039.png,1,6,1001|1002|1003,0,3:2:150|3:22:450,5:10017:10018,0,,,限定购买,1,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101002000,103,1,0,春夜密语,USER_CJXN,HL0,1000_CJ.png,2039_0.png,1000_CJ.png,2039.png,1,6,1001|1002|1003,0,3:2:150|3:22:450,5:10019:10020,0,,,限定购买,1,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101003000,103,1,0,战斗天使,USER_ZDTS,HL0,1000_ZD.png,2039_0.png,1000_ZD.png,2039.png,1,6,1001|1002|1003,0,3:2:150|3:22:450,5:10025:10026,0,,,限定购买,1,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101003300,103,1,0,丰收礼赞,USER_GEJ,HL0,1000_GEJ.png,2039_0.png,1000_GEJ.png,2039.png,1,6,1001|1002|1003,0,3:1:100|3:22:450,5:10027:10028,0,,,限定购买,1,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101003400,103,1,0,圣诞使者,USER_SDSZ,HL0,1000_SDSZ.png,2039_0.png,1000_SDSZ.png,2039.png,1,6,1001|1002|1003,0,3:1:100|3:22:450,5:10029:10030,0,,,限定购买,1,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101003500,103,1,0,春节献礼,USER_CJXL,HL0,1000_CJXL.png,2039_0.png,1000_CJXL.png,2039.png,1,6,1001|1002|1003,0,3:1:100|3:22:450,5:10031:10032,0,,,限定购买,1,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,0
101003888,102,0,0,芳华一梦,USER_UR_PLUS,HL0,1000_UR_PLUS.png,2039_0.png,1000_UR_PLUS.png,2039.png,1,6,1001|1002|1003,0,3:1:100|3:22:450,8,0,,,神力觉醒,0,wu_jiang,hero_user_wu_jiang,3,1,,img_job_bg_1,1
102001000,0,0,0,美杜莎,MDS0,HL0,2001_0.png,2039_0.png,2001.png,2039.png,0,2,2001,1,0,0,0,,111|1,默认皮肤,0,mds,hero_mds,4,1,RanShaoLianYu,img_job_bg_1,0
102001001,105,0,0,美杜莎,MDS1,HL0,2001_1.png,2039_0.png,2001_1.png,2039.png,0,4,2001,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,0,mds,hero_mds,4,1,RanShaoLianYu,img_job_bg_1,0
102001002,105,0,0,美杜莎,MDS2,HL0,2001_2.png,2039_0.png,2001_2.png,2039.png,0,5,2001,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,0,mds,hero_mds,4,1,RanShaoLianYu,img_job_bg_1,0
102001100,101,0,0,泳池派对,MDS_YZ1,HL0,2001_YZ1.png,2039_0.png,2001_YZ1.png,2039.png,1,5,2001,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,1,mds,hero_mds,4,1,RanShaoLianYu,img_job_bg_1,0
102002000,0,0,0,波塞冬,BSD0,HL0,2002_0.png,2039_0.png,2002.png,2039.png,0,2,2002,1,0,0,0,,111|1,默认皮肤,0,bsd,hero_bsd,4,1,PanDuoLaShenMiao,img_job_bg_1,0
102002001,105,0,0,波塞冬,BSD1,HL0,2002_1.png,2039_0.png,2002_1.png,2039.png,0,4,2002,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,0,bsd,hero_bsd,4,1,PanDuoLaShenMiao,img_job_bg_1,0
102002002,105,0,0,波塞冬,BSD2,HL0,2002_2.png,2039_0.png,2002_2.png,2039.png,0,5,2002,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,0,bsd,hero_bsd,4,1,PanDuoLaShenMiao,img_job_bg_1,0
102002100,101,0,0,泳池派对,BSD_YZ1,HL0,2002_YZ1.png,2039_0.png,2002_YZ1.png,2039.png,1,5,2002,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,1,bsd,hero_bsd,4,1,PanDuoLaShenMiao,img_job_bg_1,0
102003000,0,0,0,圣女贞德,LXF0,HL0,2003_0.png,2039_0.png,2003.png,2039.png,0,2,2003,1,0,0,0,,111|1,默认皮肤,0,lxf,hero_lxf,4,1,RanShaoLianYu,img_job_bg_1,0
102003001,105,0,0,圣女贞德,LXF1,HL0,2003_1.png,2039_0.png,2003_1.png,2039.png,0,4,2003,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,0,lxf,hero_lxf,4,1,RanShaoLianYu,img_job_bg_1,0
102003002,105,0,0,圣女贞德,LXF2,HL0,2003_2.png,2039_0.png,2003_2.png,2039.png,0,5,2003,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,0,lxf,hero_lxf,4,1,RanShaoLianYu,img_job_bg_1,0
102003100,101,0,0,泳池派对,LXF_YZ1,HL0,2003_YZ1.png,2039_0.png,2003_YZ1.png,2039.png,1,5,2003,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,1,lxf,hero_lxf,4,1,RanShaoLianYu,img_job_bg_1,0
102004000,0,0,0,海妖,Y0,HL0,2004_0.png,2039_0.png,2004.png,2039.png,0,2,2004,1,0,0,0,,111|1,默认皮肤,0,y,hero_y,4,1,PanDuoLaShenMiao,img_job_bg_1,0
102004001,105,0,0,海妖,Y1,HL0,2004_1.png,2039_0.png,2004_1.png,2039.png,0,4,2004,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,0,y,hero_y,4,1,PanDuoLaShenMiao,img_job_bg_1,0
102004002,105,0,0,海妖,Y2,HL0,2004_2.png,2039_0.png,2004_2.png,2039.png,0,5,2004,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,1,y,hero_y,4,1,PanDuoLaShenMiao,img_job_bg_1,0
102005000,0,0,0,奈芙蒂斯,NFDS0,HL0,2005_0.png,2039_0.png,2005.png,2039.png,0,2,2005,1,0,0,0,,111|1,默认皮肤,0,nfds,hero_nfds,4,1,MuShiYongDao,img_job_bg_1,0
102005001,105,0,0,奈芙蒂斯,NFDS1,HL0,2005_1.png,2039_0.png,2005_1.png,2039.png,0,3,2005,0,3:1:30|3:22:30,2:2000009:60,0,,,兑换,0,nfds,hero_nfds,4,1,MuShiYongDao,img_job_bg_1,0
102005002,105,0,0,奈芙蒂斯,NFDS2,HL0,2005_2.png,2039_0.png,2005_2.png,2039.png,0,4,2005,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,0,nfds,hero_nfds,4,1,MuShiYongDao,img_job_bg_1,0
102005100,101,0,0,泳池派对,NFDS_YZ1,HL0,2005_YZ1.png,2039_0.png,2005_YZ1.png,2039.png,1,4,2005,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,1,nfds,hero_nfds,4,1,MuShiYongDao,img_job_bg_1,0
102006000,0,0,0,月夜见尊,YYJZ0,HL0,2006_0.png,2039_0.png,2006.png,2039.png,0,2,2006,1,0,0,0,,111|1,默认皮肤,0,realyyjz,hero_realyyjz,4,1,YueDuShenShe,img_job_bg_1,0
102006001,105,0,0,月夜见尊,YYJZ1,HL0,2006_1.png,2039_0.png,2006_1.png,2039.png,0,2,2006,0,3:1:10|3:22:10,2:2000009:20,0,,,兑换,0,realyyjz,hero_realyyjz,4,1,YueDuShenShe,img_job_bg_1,0
102006002,105,0,0,月夜见尊,YYJZ2,HL0,2006_2.png,2039_0.png,2006_2.png,2039.png,0,3,2006,0,3:1:30|3:22:30,2:2000009:60,0,,,兑换,1,realyyjz,hero_realyyjz,4,1,YueDuShenShe,img_job_bg_1,0
102007000,0,0,0,熊女,XN0,R1,2007_0.png,2037_1.png,2007.png,2037_1.png,0,2,2007,1,0,0,0,,111|1,默认皮肤,0,xn,hero_xn,4,1,ShenNvQiSuo,img_job_bg_1,0
102007001,105,0,0,熊女,XN1,R1,2007_1.png,2037_1.png,2007_1.png,2037_1.png,0,2,2007,0,3:1:10|3:22:10,2:2000009:20,0,,,兑换,0,xn,hero_xn,4,1,ShenNvQiSuo,img_job_bg_1,0
102007002,105,0,0,熊女,XN2,R1,2007_2.png,2037_1.png,2007_2.png,2037_1.png,0,3,2007,0,3:1:30|3:22:30,2:2000009:60,0,,,兑换,1,xn,hero_xn,4,1,ShenNvQiSuo,img_job_bg_1,0
102008000,0,0,0,神农,SN0,R1,2008_0.png,2037_1.png,2008.png,2037_1.png,0,2,2008,1,0,0,0,,111|1,默认皮肤,0,sn,hero_sn,4,1,KunLunTianGong,img_job_bg_1,0
102008001,105,0,0,神农,SN1,R1,2008_1.png,2037_1.png,2008_1.png,2037_1.png,0,3,2008,0,3:1:30|3:22:30,2:2000009:60,0,,,兑换,0,sn,hero_sn,4,1,KunLunTianGong,img_job_bg_1,0
102008002,105,0,0,神农,SN2,R1,2008_2.png,2037_1.png,2008_2.png,2037_1.png,0,4,2008,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,1,sn,hero_sn,4,1,KunLunTianGong,img_job_bg_1,0
102009000,0,0,0,盖布,GB0,SDNS0,2009_0.png,2042_0.png,2009.png,2042.png,0,2,2009,1,0,0,0,,111|1,默认皮肤,0,gb,hero_gb,4,1,DaJinZiTa,img_job_bg_1,0
102009001,105,0,0,盖布,GB1,SDNS0,2009_1.png,2042_0.png,2009_1.png,2042.png,0,3,2009,0,3:1:30|3:22:30,2:2000009:60,0,,,兑换,0,gb,hero_gb,4,1,DaJinZiTa,img_job_bg_1,0
102009002,105,0,0,盖布,GB2,SDNS0,2009_2.png,2042_0.png,2009_2.png,2042.png,0,4,2009,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,0,gb,hero_gb,4,1,DaJinZiTa,img_job_bg_1,0
102009100,101,0,0,泳池派对,GB_YZ1,SDNS0,2009_YZ1.png,2042_0.png,2009_YZ1.png,2042.png,1,4,2009,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,1,gb,hero_gb,4,1,DaJinZiTa,img_job_bg_1,0
102010000,0,0,0,莉莉丝,NBLS0,SDNS0,2010_0.png,2042_0.png,2010.png,2042.png,0,2,2010,1,0,0,0,,111|1,默认皮肤,0,nbls,hero_nbls,4,1,DaJinZiTa,img_job_bg_1,0
102010001,105,0,0,莉莉丝,NBLS1,SDNS0,2010_1.png,2042_0.png,2010_1.png,2042.png,0,4,2010,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,0,nbls,hero_nbls,4,1,DaJinZiTa,img_job_bg_1,0
102010100,101,0,0,泳池派对,NBLS_YZ1,SDNS0,2010_YZ1.png,2042_0.png,2010_YZ1.png,2042.png,1,4,2010,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,1,nbls,hero_nbls,4,1,DaJinZiTa,img_job_bg_1,0
102011000,0,0,0,努特,NT0,SDNS0,2011_0.png,2042_0.png,2011.png,2042.png,0,2,2011,1,0,0,0,,111|1,默认皮肤,0,nt,hero_nt,4,1,DaJinZiTa,img_job_bg_1,0
102011001,105,0,0,努特,NT1,SDNS0,2011_1.png,2042_0.png,2011_1.png,2042.png,0,4,2011,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,0,nt,hero_nt,4,1,DaJinZiTa,img_job_bg_1,0
102011002,105,0,0,努特,NT2,SDNS0,2011_2.png,2042_0.png,2011_2.png,2042.png,0,5,2011,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,0,nt,hero_nt,4,1,DaJinZiTa,img_job_bg_1,0
102011100,101,0,0,泳池派对,NT_YZ1,SDNS0,2011_YZ1.png,2042_0.png,2011_YZ1.png,2042.png,1,5,2011,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,1,nt,hero_nt,4,1,DaJinZiTa,img_job_bg_1,0
102012000,0,0,0,盖亚,GY0,ERBS0,2012_0.png,2031_0.png,2012.png,2031.png,0,2,2012,1,0,0,0,,111|1,默认皮肤,0,gy,hero_gy,4,1,ShenYuanZhiLv,img_job_bg_1,0
102012001,105,0,0,盖亚,GY1,ERBS0,2012_1.png,2031_0.png,2012_1.png,2031.png,0,5,2012,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,0,gy,hero_gy,4,1,ShenYuanZhiLv,img_job_bg_1,0
102012002,103,0,0,大地之源,GY2,ERBS0,2012_2.png,2031_0.png,2012_2.png,2031.png,1,6,2012,0,3:1:100|3:22:450,5:10007,0,,,购买,1,gy,hero_gy,4,1,,img_haitan_bg,0
102012100,101,0,0,泳池派对,GY_YZ1,ERBS0,2012_YZ1.png,2031_0.png,2012_YZ1.png,2031.png,1,6,2012,0,3:1:100|3:22:450,2:3000031:1,0,,,兑换,1,gy,hero_gy,4,1,,img_haitan_bg,0
102013000,0,0,0,潘多拉,PDL0,AD0,2013_0.png,2035_0.png,2013.png,2035.png,0,2,2013,1,0,0,0,,111|1,默认皮肤,0,pdl,hero_pdl,4,1,PanDuoLaShenMiao,img_job_bg_1,0
102013001,105,0,0,潘多拉,PDL1,AD0,2013_1.png,2035_0.png,2013_1.png,2035.png,0,4,2013,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,0,pdl,hero_pdl,4,1,PanDuoLaShenMiao,img_job_bg_1,0
102013002,105,0,0,潘多拉,PDL2,AD0,2013_2.png,2035_0.png,2013_2.png,2035.png,0,5,2013,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,0,pdl,hero_pdl,4,1,PanDuoLaShenMiao,img_job_bg_1,0
102013100,101,0,0,泳池派对,PDL_YZ1,AD0,2013_YZ1.png,2035_0.png,2013_YZ1.png,2035.png,1,5,2013,0,3:1:70|3:22:90,2:2000011:40,0,,,兑换,1,pdl,hero_pdl,4,1,PanDuoLaShenMiao,img_job_bg_1,0
102014000,0,0,0,尼刻,NK0,MJL0,2014_0.png,2052_0.png,2014.png,2052.png,0,2,2014,1,0,0,0,,111|1,默认皮肤,0,nk,hero_nk,4,1,ASiJiaDe,img_job_bg_1,0
102014001,105,0,0,尼刻,NK1,MJL0,2014_1.png,2052_0.png,2014_1.png,2052.png,0,4,2014,0,3:1:50|3:22:60,2:2000010:50,0,,,兑换,0,nk,hero_nk,4,1,ASiJiaDe,img_job_bg_1,0
