cfg_id,quality_or_skin_cid,level,cosume_goods,attr_type_type,attr_type,attr_value
1,6,1,5:2000011:40,3,2,10
2,6,2,5:2000011:40,3,2,10
3,6,3,5:2000011:40,3,2,10
4,6,4,5:2000011:40,3,2,10
5,6,5,5:3000031:1,3,2,60
6,6,6,5:2000011:40,3,2,10
7,6,7,5:2000011:40,3,2,10
8,6,8,5:2000011:40,3,2,10
9,6,9,5:2000011:40,3,2,10
10,6,10,5:3000031:1,3,2,60
11,6,11,5:2000011:40,3,2,10
12,6,12,5:2000011:40,3,2,10
13,6,13,5:2000011:40,3,2,10
14,6,14,5:2000011:40,3,2,10
15,6,15,5:3000031:1,3,2,60
16,101001500,1,5:2000011:40,3,2,10
17,101001500,2,5:2000011:40,3,2,10
18,101001500,3,5:2000011:40,3,2,10
19,101001500,4,5:2000011:40,3,2,10
20,101001500,5,5:3000031:1,3,2,60
21,101001500,6,5:2000011:40,3,2,10
22,101001500,7,5:2000011:40,3,2,10
23,101001500,8,5:2000011:40,3,2,10
24,101001500,9,5:2000011:40,3,2,10
25,101001500,10,5:3000031:1,3,2,60
26,101001500,11,5:2000011:40,3,2,10
27,101001500,12,5:2000011:40,3,2,10
28,101001500,13,5:2000011:40,3,2,10
29,101001500,14,5:2000011:40,3,2,10
30,101001500,15,5:3000031:1,3,2,60
