cid,name,attribute_change_value,arrtibute_change_rate,cost
10000,我是通用天赋,2:11:0|2:1:0|2:3:0|2:5:0|2:18:0,,3000092:3456
10001,我是通用天赋,2:11:250|2:1:3750|2:3:188|2:5:176|2:18:1,,3000092:6
10002,我是通用天赋,2:11:500|2:1:7500|2:3:375|2:5:353|2:18:2,,3000092:6
10003,我是通用天赋,2:11:750|2:1:11250|2:3:563|2:5:529|2:18:3,,3000092:6
10004,我是通用天赋,2:11:1000|2:1:15000|2:3:750|2:5:705|2:18:4,,3000092:6
10005,我是通用天赋,2:11:1250|2:1:18750|2:3:938|2:5:881|2:18:5,,3000092:6
10006,我是通用天赋,2:11:1500|2:1:22500|2:3:1125|2:5:1058|2:18:6,,3000092:6
10007,我是通用天赋,2:11:1750|2:1:26250|2:3:1313|2:5:1234|2:18:7,,3000092:46
10008,我是通用天赋,2:11:2000|2:1:30000|2:3:1500|2:5:1410|2:18:8,,3000092:46
10009,我是通用天赋,2:11:2250|2:1:33750|2:3:1688|2:5:1586|2:18:9,,3000092:46
10010,我是通用天赋,2:11:2500|2:1:37500|2:3:1875|2:5:1763|2:18:10,,3000092:55
10011,我是通用天赋,2:11:2750|2:1:41250|2:3:2063|2:5:1939|2:18:11,,3000092:55
10012,我是通用天赋,2:11:3000|2:1:45000|2:3:2250|2:5:2115|2:18:12,,3000092:72
10013,我是通用天赋,2:11:3250|2:1:48750|2:3:2438|2:5:2291|2:18:13,,3000092:72
10014,我是通用天赋,2:11:3500|2:1:52500|2:3:2625|2:5:2468|2:18:14,,3000092:72
10015,我是通用天赋,2:11:3750|2:1:56250|2:3:2813|2:5:2644|2:18:15,,3000092:72
10016,我是通用天赋,2:11:4000|2:1:60000|2:3:3000|2:5:2820|2:18:16,,3000092:72
10017,我是通用天赋,2:11:4250|2:1:63750|2:3:3188|2:5:2996|2:18:17,,3000092:126
10018,我是通用天赋,2:11:4500|2:1:67500|2:3:3375|2:5:3173|2:18:18,,3000092:126
10019,我是通用天赋,2:11:4750|2:1:71250|2:3:3563|2:5:3349|2:18:19,,3000092:126
10020,我是通用天赋,2:11:5000|2:1:75000|2:3:3750|2:5:3525|2:18:20,,3000092:126
10021,我是通用天赋,2:11:5400|2:1:81000|2:3:4050|2:5:3807|2:18:21,,3000092:126
10022,我是通用天赋,2:11:5800|2:1:87000|2:3:4350|2:5:4089|2:18:22,,3000092:198
10023,我是通用天赋,2:11:6200|2:1:93000|2:3:4650|2:5:4371|2:18:23,,3000092:198
10024,我是通用天赋,2:11:6600|2:1:99000|2:3:4950|2:5:4653|2:18:24,,3000092:198
10025,我是通用天赋,2:11:7000|2:1:105000|2:3:5250|2:5:4935|2:18:25,,3000092:198
10026,我是通用天赋,2:11:7400|2:1:111000|2:3:5550|2:5:5217|2:18:26,,3000092:198
10027,我是通用天赋,2:11:7800|2:1:117000|2:3:5850|2:5:5499|2:18:27,,3000092:288
10028,我是通用天赋,2:11:8200|2:1:123000|2:3:6150|2:5:5781|2:18:28,,3000092:288
10029,我是通用天赋,2:11:8600|2:1:129000|2:3:6450|2:5:6063|2:18:29,,3000092:306
10030,我是通用天赋,2:11:9000|2:1:135000|2:3:6750|2:5:6345|2:18:30,,3000092:306
10031,我是通用天赋,2:11:9600|2:1:144000|2:3:7200|2:5:6768|2:18:31,,3000092:306
10032,我是通用天赋,2:11:10200|2:1:153000|2:3:7650|2:5:7191|2:18:32,,3000092:396
10033,我是通用天赋,2:11:10800|2:1:162000|2:3:8100|2:5:7614|2:18:33,,3000092:396
10034,我是通用天赋,2:11:11400|2:1:171000|2:3:8550|2:5:8037|2:18:34,,3000092:414
10035,我是通用天赋,2:11:12000|2:1:180000|2:3:9000|2:5:8460|2:18:35,,3000092:414
10036,我是通用天赋,2:11:12600|2:1:189000|2:3:9450|2:5:8883|2:18:36,,3000092:414
10037,我是通用天赋,2:11:13200|2:1:198000|2:3:9900|2:5:9306|2:18:37,,3000092:522
10038,我是通用天赋,2:11:13800|2:1:207000|2:3:10350|2:5:9729|2:18:38,,3000092:522
10039,我是通用天赋,2:11:14400|2:1:216000|2:3:10800|2:5:10152|2:18:39,,3000092:540
10040,我是通用天赋,2:11:15000|2:1:225000|2:3:11250|2:5:10575|2:18:40,,3000092:540
10041,我是通用天赋,2:11:15750|2:1:236250|2:3:11813|2:5:11104|2:18:41,,3000092:540
10042,我是通用天赋,2:11:16500|2:1:247500|2:3:12375|2:5:11633|2:18:42,,3000092:666
10043,我是通用天赋,2:11:17250|2:1:258750|2:3:12938|2:5:12161|2:18:43,,3000092:666
10044,我是通用天赋,2:11:18000|2:1:270000|2:3:13500|2:5:12690|2:18:44,,3000092:684
10045,我是通用天赋,2:11:18750|2:1:281250|2:3:14063|2:5:13219|2:18:45,,3000092:684
10046,我是通用天赋,2:11:19500|2:1:292500|2:3:14625|2:5:13748|2:18:46,,3000092:684
10047,我是通用天赋,2:11:20250|2:1:303750|2:3:15188|2:5:14276|2:18:47,,3000092:828
10048,我是通用天赋,2:11:21000|2:1:315000|2:3:15750|2:5:14805|2:18:48,,3000092:828
10049,我是通用天赋,2:11:21750|2:1:326250|2:3:16313|2:5:15334|2:18:49,,3000092:846
10050,我是通用天赋,2:11:22500|2:1:337500|2:3:16875|2:5:15863|2:18:50,,3000092:846
10051,我是通用天赋,2:11:23000|2:1:345000|2:3:17250|2:5:16215|2:18:51,,3000092:846
10052,我是通用天赋,2:11:23500|2:1:352500|2:3:17625|2:5:16568|2:18:52,,3000092:1008
10053,我是通用天赋,2:11:24000|2:1:360000|2:3:18000|2:5:16920|2:18:53,,3000092:1008
10054,我是通用天赋,2:11:24500|2:1:367500|2:3:18375|2:5:17273|2:18:54,,3000092:1026
10055,我是通用天赋,2:11:25000|2:1:375000|2:3:18750|2:5:17625|2:18:55,,3000092:1026
10056,我是通用天赋,2:11:25500|2:1:382500|2:3:19125|2:5:17978|2:18:56,,3000092:1026
10057,我是通用天赋,2:11:26000|2:1:390000|2:3:19500|2:5:18330|2:18:57,,3000092:1206
10058,我是通用天赋,2:11:26500|2:1:397500|2:3:19875|2:5:18683|2:18:58,,3000092:1206
10059,我是通用天赋,2:11:27000|2:1:405000|2:3:20250|2:5:19035|2:18:59,,3000092:1224
10060,我是通用天赋,2:11:27500|2:1:412500|2:3:20625|2:5:19388|2:18:60,,3000092:1224
10061,我是通用天赋,2:11:28000|2:1:420000|2:3:21000|2:5:19740|2:18:61,,3000092:1422
10062,我是通用天赋,2:11:28500|2:1:427500|2:3:21375|2:5:20093|2:18:62,,3000092:1422
10063,我是通用天赋,2:11:29000|2:1:435000|2:3:21750|2:5:20445|2:18:63,,3000092:1440
10064,我是通用天赋,2:11:29500|2:1:442500|2:3:22125|2:5:20798|2:18:64,,3000092:1440
10065,我是通用天赋,2:11:30000|2:1:450000|2:3:22500|2:5:21150|2:18:65,,3000092:1440
10066,我是通用天赋,2:11:30500|2:1:457500|2:3:22875|2:5:21503|2:18:66,,3000092:1656
10067,我是通用天赋,2:11:31000|2:1:465000|2:3:23250|2:5:21855|2:18:67,,3000092:1656
10068,我是通用天赋,2:11:31500|2:1:472500|2:3:23625|2:5:22208|2:18:68,,3000092:1674
10069,我是通用天赋,2:11:32000|2:1:480000|2:3:24000|2:5:22560|2:18:69,,3000092:1674
10070,我是通用天赋,2:11:32500|2:1:487500|2:3:24375|2:5:22913|2:18:70,,3000092:1674
10071,我是通用天赋,2:11:33000|2:1:495000|2:3:24750|2:5:23265|2:18:71,,3000092:1908
10072,我是通用天赋,2:11:33500|2:1:502500|2:3:25125|2:5:23618|2:18:72,,3000092:1908
10073,我是通用天赋,2:11:34000|2:1:510000|2:3:25500|2:5:23970|2:18:73,,3000092:1926
10074,我是通用天赋,2:11:34500|2:1:517500|2:3:25875|2:5:24323|2:18:74,,3000092:1926
10075,我是通用天赋,2:11:35000|2:1:525000|2:3:26250|2:5:24675|2:18:75,,3000092:1926
10076,我是通用天赋,2:11:35500|2:1:532500|2:3:26625|2:5:25028|2:18:76,,3000092:2178
10077,我是通用天赋,2:11:36000|2:1:540000|2:3:27000|2:5:25380|2:18:77,,3000092:2178
10078,我是通用天赋,2:11:36500|2:1:547500|2:3:27375|2:5:25733|2:18:78,,3000092:2196
10079,我是通用天赋,2:11:37000|2:1:555000|2:3:27750|2:5:26085|2:18:79,,3000092:2196
