awake_count,quality_level,hero_star,quality,hero_quality_level_need,hero_count_need,skill_open,potential,ignore_advance
0,1,0,3,0,0,100111001|0|0|0|0|0,100,0
1,1,1,3,1,2,100111001|100112001|0|0|0|0,3750,0
2,1,2,3,1,3,100111001|100112001|200111001|0|0|0,3750,0
3,2,0,4,2,1,100111002|100112001|200111001|0|0|0,3750,0
4,2,1,4,2,2,100111002|100112002|200111001|0|0|0,3750,0
5,2,2,4,2,3,100111002|100112002|200111002|0|0|0,3750,0
6,2,3,4,2,4,100111002|100112002|200111002|200112001|0|0,3750,0
7,3,0,4,3,1,100111003|100112002|200111002|200112001|0|0,3750,0
8,3,1,4,3,2,100111003|100112003|200111002|200112001|0|0,3750,0
9,3,2,4,3,3,100111003|100112003|200111003|200112001|0|0,3750,0
10,3,3,4,3,4,100111003|100112003|200111003|200112002|0|0,3750,0
11,4,0,5,4,1,100111004|100112003|200111003|200112002|0|0,3750,0
12,4,1,5,4,2,100111004|100112004|200111003|200112002|0|0,3750,0
13,4,2,5,4,3,100111004|100112004|200111004|200112002|0|0,3750,0
14,4,3,5,4,4,100111004|100112004|200111004|200112003|0|0,3750,0
15,4,4,5,4,5,100111004|100112004|200111004|200112003|200113001|0,3750,0
16,5,0,5,5,1,100111005|100112004|200111004|200112003|200113001|0,3750,0
17,5,1,5,5,2,100111005|100112005|200111004|200112003|200113001|0,3750,0
18,5,2,5,5,3,100111005|100112005|200111005|200112003|200113001|0,3750,0
19,5,3,5,5,4,100111005|100112005|200111005|200112004|200113001|0,3750,0
20,5,4,5,5,5,100111005|100112005|200111005|200112004|200113002|0,3750,0
21,6,0,6,6,1,100111006|100112005|200111005|200112004|200113002|0,4500,1
22,6,1,6,6,2,100111006|100112006|200111005|200112004|200113002|0,4500,1
23,6,2,6,6,3,100111006|100112006|200111006|200112004|200113002|0,4500,1
24,6,3,6,6,4,100111006|100112006|200111006|200112005|200113002|0,4500,1
25,6,4,6,6,5,100111006|100112006|200111006|200112005|200113003|0,4500,1
26,6,5,6,6,6,100111006|100112006|200111006|200112005|200113003|200114001,4500,1
27,7,0,6,7,1,100111007|100112006|200111006|200112005|200113003|200114001,5000,1
28,7,1,6,7,2,100111007|100112007|200111006|200112005|200113003|200114001,5000,1
29,7,2,6,7,3,100111007|100112007|200111007|200112005|200113003|200114001,5000,1
30,7,3,6,7,4,100111007|100112007|200111007|200112006|200113003|200114001,5000,1
31,7,4,6,7,5,100111007|100112007|200111007|200112006|200113004|200114001,5000,1
32,7,5,6,7,6,100111007|100112007|200111007|200112006|200113004|200114002,5000,1
33,8,5,6,8,1,100111008|100112007|200111007|200112006|200113004|200114002,6000,0
34,8,6,6,8,2,100111008|100112008|200111007|200112006|200113004|200114002,6000,0
35,8,7,6,8,3,100111008|100112008|200111008|200112006|200113004|200114002,6000,0
36,8,8,6,8,4,100111008|100112008|200111008|200112007|200113004|200114002,6000,0
37,8,9,6,8,5,100111008|100112008|200111008|200112007|200113005|200114002,6000,0
38,8,10,6,8,6,100111008|100112008|200111008|200112007|200113005|200114003,6000,0
