cid,dialog,dialog_book
2001,和我立下永恒誓约？呃……你的意思是想被变成石头吗？等……等下！我开玩笑的！其实我只是想看看你惊慌失措的样子而已，嘻嘻……,
2002,虽然我的力量至今仍沉睡在深海的某个角落，但当你我共同定下这份永恒的誓约时，是否能够找回那份力量，似乎也变得不那么重要了呢。,
2003,这份永恒誓约意味着彼此灵魂与信仰的结合，我曾经经历过无数危难与考验，而如今你与我同在，这场末日浩劫必将在我们手中结束！,
2004,签订誓约时为对方献上美妙的歌曲是海妖一族的传统，不过我担心在这里唱的话你会幸福得晕过去……还是晚上我们独处时再唱给你听吧！,
2005,哼哼！你竟然选择了我作为誓约对象，我还是挺惊讶的呢！虽然我不能带给你永恒的生命，但我保证会把你做成全世界最漂亮的木乃伊！,
2006,定不定誓约或许对我们并没有什么太大的影响，因为我们对彼此早已无比信任了。但我还是为那份从你灵魂深处传来的温柔而感到欣慰……,
2007,啊啦……能够得到你的认同，与你定下永恒的誓约，我很开心呢！不过我身边的这头小可爱似乎对这件事……呃……有点意见……,
2008,通过誓约而连接的灵魂，其实和药物调制是一样的道理，即使只是两种寻常的药材，在调配到一起的时候，也是能混合出不小的奇迹呢。,
2009,如同繁茂的大树与坚实的泥土一般，我们的誓约是彼此灵魂最紧密的依靠，无论何时我都会像大地一样尽全力保护你。,
2010,啊……如果和你签定这份契约的话，不就意味着莉莉丝以后只能当你一个人的偶像了吗？！真是令人头痛的选择呢！,
2011,我等这一天很久啦！哎？你怎么一直盯着我看？是在等着我给你一个誓约之吻吗？啊啦……我还是头一次见你的脸红成这样……,
2012,我很庆幸能够与你定下这份永恒的誓约，我永远会在你需要我时，与你共同面对一切，愿你能一如既往地信赖大地赐予的力量。,
2013,什……什么呀！我才不是因为喜欢你才和你定下这份誓约的呢！我只是觉得你这个家伙运气太差，要是没有我帮忙就会倒霉透顶而已！,
2014,即使身为胜利女神，我也有过恐惧和不安，但在与你立下的誓约中，我能感受到你灵魂深处的勇气，愿我们二人能够永远引领同伴的胜利。,
2015,每次在见到你时我总会想到，随着生命的流逝我们终将人神两隔，但签下誓约的这一刻我无比欣慰，因为你的青春将永远与我同在。,
2016,在订立誓约的这一刻，我可以感受到你灵魂的光辉，你的勇气足以胜过英灵殿任何一位英雄，能够永远在战场上伴随你是我无上的荣耀！,
2017,与人类定下誓约，确保她们不堕入邪道，是天使们的职责，愿我与你灵魂的融合带来勇气与智慧，愿我对你的爱驱散末日带来的恐惧。,
2018,誓约？我们种族对这些没什么概念……不过从和你定下誓约后，我们在战斗时能默契地把敌人打飞这件事来说，还是挺方便的呢！,
2019,契约是公正的象征，我在你的灵魂中能够感受到正义的光芒，却没有感受到复仇的晦暗，或许我们彼此结合，才能带来真正的秩序。,
2020,“愿誓约连接彼此的命运 ，愿我们的灵魂永不分离，直至世界尽头的永恒。”你看这段誓词写得怎么样？！我可足足想了一整晚呢！！,
2021,虽然作为众神信使，任何事情上我都希望能快人一步，但你不觉得我们关系的发展……快得有些离谱了吗？我兴奋得心脏都快跳出来了……,
2022,从与你相遇的那天，我就已经预见到了与你定下誓约的这一刻，既定的命运总是让人感到无趣，但与你命运的交汇，却给了我不少的惊喜。,
2023,即使是一片树叶，一丛花朵也能给自然带来属于自己的能量，即使我失去了掌控大地的能力，但我依旧会在战场上为你而全力以赴。,
2024,呵呵……你知道么？无数的恶魔、邪神甚至天使，都曾经将这份誓约书送到我面前，但你是唯一让我真心愿意在上面签下真名的人类……,
2025,万象离合是大自然的循环，彼此灵魂的结合也同样是大自然最珍贵的祝福，不管这场末日持续多久，我与你的誓约都将如磐石般永恒。,
2026,从古至今我很少立誓言，但每当我们在一起时，我却总希望时间能流逝得再慢一些，这种对你的期待，或许已经超过最坚定的誓言了吧。,
2027,我曾经并不认为誓约有什么意义，因为时间终将带走一切，但我在你灵魂的音律中，听见了希望与我一起面对永恒的承诺……,
2028,啊啦……这么渴求和我定下这份誓约……是觉得彼此作为导师与学生的关系已经不能满足你了吗？看来你也是个耐不住寂寞的家伙呢……,
2029,哼……虽然我对和正义阵营的家伙定誓约没什么兴趣，不过与你相处的这些时间里，至少你能证明自己的强大，以及……对我的好感……,
2030,我还记得在末日降临时，自己是第一次回应一名凡人的召唤，或许神明注定要我们相遇，共同背负解决这场末日浩劫的使命。,
2031,作为敢和我这名死神签定永恒誓约的人类来说，你胆子真是够大。但不可否认，我会很期待今后每一晚和你相拥而眠的时光……,
2032,每天夕阳落下之时，我都在期待将来会是谁在这里和我签下永恒的誓约，而如今命运已有了结果，在今后相处的日子里，请多多指教……,
2033,黑夜曾经是人类最恐惧的存在之一，但你我彼此定下这份誓约之后，黑夜将不再是封闭你目光的枷锁，而是守护你身影的坚盾。,
2034,与我定下永恒的誓约么？呵呵……真是个奇怪的人类呢……不过我挺高兴能有人分担审判亡者的工作，以及陪我打发无聊的午后……,
2035,誓约？嗯……我原本并不特别在意言语或是仪式上的誓言，但我至少能向你保证，我会一直守护你，直至诸神的黄昏再次降临。,
2036,好吧……虽然作为掌管梦境的女神，我曾在梦里幻想过很多次这样的场景，但没想到在现实中，你会真的愿意和我签定这份永恒的誓约……,
2037,没有什么比这份永恒的誓约更让我感到高兴的了，我会作为光明的化身，一直为你驱散黑暗，直至太阳不再升起的那一天到来……,
2038,即使来自不同的时空，神明的机缘依旧让我们相遇，这实在是幸福的事情……啊，对了！如果不介意的话，我能拍张照片留念吗？,
2039,哼……看在你这么真诚的份上，我就收下你这束结缘的百合花好了……等等！你……你这满脸的得意算什么啊！我们的身份还是有高低的！,
2040,哼哼！在定下这份誓约后，每天我都会用拳头好好地训练你的战斗技巧！毕竟，我还是希望能够在战场上守护好彼此的身后。,
2041,签订契约与打造武器一样，都需要灌注信任与心血，尽力去达成彼此的理念，我的誓言将化为最锋利的剑与最坚固的盾，始终为你而战！,
2042,你知道吗？我倾听过无数的愿望，送出过无数件礼物，但这份与你所定的誓约，在我看来却比世界上任何一件礼物都珍贵！,
2046,没有什么比誓约更让我感到安心，无论是神界还是黄泉，能和值得依靠的人共同面对这永恒的时光，身为神明的我也毫无遗憾了。,
2047,我从来没想过自己也有和别人签订爱之契约的那一天呢！事先说明，我可绝对没有偷偷朝你射箭喔，这一切都是命运的安排！,
2048,回报：与我共享永恒的生命，代价：你的灵魂将永远在深不见底的冥界陪伴我。呵呵……你明白这份契约的内容……意味着什么吧？,
2049,诗人们常说“我们都是一只翅膀的天使，只有相互拥抱着才能飞翔”，今天我总算明白这句诗的含义了，今后我将与你面对共同的命运！,
2050,啊啦……你终于无法抗拒混沌的魅力，而向我渴求这份象征永恒的誓约了吗？真是个性急的家伙，但这份直率也是你最大的优点呢！,
2051,如同坚守彩虹桥那样，我必将坚守彼此所许下的诺言，以北欧众神的荣耀起誓，此生我会与你共同面对一切命运的考验！,
2052,我早已习惯伴随着正义而来的孤独，但你的灵魂却让我感受到了一种亲切，或许在将来的命运之路上，有你的陪伴也是个不错的选择。,
2053,作为与我结下永恒誓约、我唯一认可的强者而言，你还是太年轻了，但我挺乐意在以后漫长的日子里，好好和你分享作为统治者的经验。,
2054,你真是太坏了……以前从没有说过愿意和我结下誓约的话……但身为缘结神，直到今天才明白你的感情，我也是个迟钝的家伙呢……,
2055,我曾以为越是拥有寒冰般坚硬的内心，就能够变得越加强大。但你让我明白了真正的强大实际是彼此信赖的感情，以及不可斩断的羁绊。,
2056,这份誓约指的是一辈子和你在一起么？我倒是挺乐意的，不过……我希望你不会介意每顿饭都吃烤肉的日子，哼哼……,
2057,人类在在待彼此羁绊的时候还真有仪式感……观察你这么长时间后我不得不承认，对你的感情……确实是一种难以用理性去分析的东西。,
2058,连接灵魂的永恒誓约喵？那是什么喵？可以吃喵？你说只要签了这份契约就有吃不完的小鱼干喵？！主人你真是太温柔了喵！爱死你了喵！,
2059,哎？你说一旦签下这份契约，我就永远回不去自己的世界了？嗯……其实我觉得和你相处这么长时间后……留在这个世界陪你也挺高兴……,
2060,我与你的誓约也是一种魔法，但这种魔法除了用爱与信任作为魔力外，没有任何方式能够启动……你知道这意味着什么吗？,
2061,嗯……愿意和我这名普通的妖怪签下这么重要的誓约，我还是挺意外的，愿大和的神明降下幸福的恩赐，愿我们的默契守护彼此的灵魂。,
2062,今晚月色格外地美，不是么？能和你在满月的日子交换彼此的誓约，实在是一件值得在永恒时光中，慢慢回忆的幸事……,
2063,即使没有这份誓约，我也早已把你当作家人般看待了，但我很欣慰你愿意与我建立起这永恒的羁绊，愿水神护佑我最重要的家人……,
2065,啊啦……每每想到签定誓约时，另一个我都能听到只会对你说的……那些脸红心跳的话……真是令人感到害羞呢……,
2067,哼哼！你似乎也很喜欢兔子呢！至少喜欢小动物的家伙不会是坏人，看在这件事的份上，我就和你签下这份誓约吧！,
2068,和我达成誓约，梦中都难以想象的场景竟然实现了！今后的日子我将更加细致照顾你，守护你的未来，还能给你做好吃的哦。,
2069,这份誓约象征着你我意志的结合，愿我的智慧能够带给你面对敌人的勇气，愿我的力量能够引导你通向胜利的路途。,
2070,啊……誓约真是一个很麻烦的仪式呢！有时间说这些誓词，不如早点回到战场上去把敌人打飞吧！,
2071,你知道么？誓约是一种牺牲 ，一种为彼此信念的牺牲。愿我的力量能与你结合，开创出我们所期待的世界。,
3072,虽然我不一定能永远驻留于你所在的时空，但我以天使之名发誓，无论在何时何地，我与你的约定都会散发出永不消逝的光芒。,
2073,哎？！这份契约原来是我们羁绊的证明吗？让我看看写了些什么……啊……真是麻烦！古代神明的文字太难懂啦！,
2074,这份誓约签下之时，我们的思想也彼此交融了呢！让我看看你在想什么……啊啦，原来你一直对我有这么刺激而大胆的欲望吗……亲爱的？,
2075,从神话时代起就没有任何人有资格与我签订这个誓约，但不管怎么说，幸运的家伙，你是我唯一的例外。,
2076,我总是想让所有人都为我的魅力所折服，却没想到，自己有一天会折服在你的魅力之下。你可真是我最大的意外啊！,
2077,在其他人面前，我展现的都是无比强大的力量，但只有在你面前，我才会展现自己温柔的一面。希望我们能携手并肩，一起为这个世界带来安宁与和平！,
2078,在与你签订契约之前，我曾希望我璀璨的光芒能照射进所有人的心里，但从今以后，我的光芒只为你一个人而绽放！,
2079,我终于等到这一天的到来，小樱真的太幸福了！从今往后，愿我这朵樱花，永远只为你一个人而盛开……,
2080,你就是与我签订誓约的人类吗？哼哼，从今天开始，就会由小兔陪伴在你左右了，还请多多关照呢！,
2081,我曾经很坚定的认为，这个世界上不会有人能让我为之心动，直到你的出现，让我曾经的坚定化作了泡影。,
