index,attr_fixd_type_type1,attr_fixd_type1,attr_fixd_value1,attr_fixd_type_type2,attr_fixd_type2,attr_fixd_value2
1,3,2,100,3,1,100
2,3,2,10,3,1,10
3,3,2,10,3,1,10
4,3,2,10,3,1,10
5,3,2,10,3,1,10
6,3,2,10,3,1,10
7,3,2,10,3,1,10
8,3,2,10,3,1,10
9,3,2,10,3,1,10
10,3,2,10,3,1,10
11,3,2,10,3,1,10
12,3,2,10,3,1,10
13,3,2,10,3,1,10
14,3,2,10,3,1,10
15,3,2,10,3,1,10
16,3,2,10,3,1,10
17,3,2,10,3,1,10
18,3,2,10,3,1,10
19,3,2,10,3,1,10
20,3,2,10,3,1,10
21,3,2,1,3,1,1
22,3,2,1,3,1,1
23,3,2,1,3,1,1
24,3,2,1,3,1,1
25,3,2,1,3,1,1
26,3,2,1,3,1,1
27,3,2,1,3,1,1
28,3,2,1,3,1,1
29,3,2,1,3,1,1
30,3,2,1,3,1,1
31,3,2,1,3,1,1
32,3,2,1,3,1,1
33,3,2,1,3,1,1
34,3,2,1,3,1,1
35,3,2,1,3,1,1
36,3,2,1,3,1,1
37,3,2,1,3,1,1
38,3,2,1,3,1,1
39,3,2,1,3,1,1
40,3,2,1,3,1,1
41,3,2,1,3,1,1
42,3,2,1,3,1,1
43,3,2,1,3,1,1
44,3,2,1,3,1,1
45,3,2,1,3,1,1
46,3,2,1,3,1,1
47,3,2,1,3,1,1
48,3,2,1,3,1,1
49,3,2,1,3,1,1
50,3,2,1,3,1,1
51,3,2,1,3,1,1
52,3,2,1,3,1,1
53,3,2,1,3,1,1
54,3,2,1,3,1,1
55,3,2,1,3,1,1
56,3,2,1,3,1,1
57,3,2,1,3,1,1
58,3,2,1,3,1,1
59,3,2,1,3,1,1
60,3,2,1,3,1,1
61,3,2,1,3,1,1
62,3,2,1,3,1,1
63,3,2,1,3,1,1
64,3,2,1,3,1,1
65,3,2,1,3,1,1
66,3,2,1,3,1,1
67,3,2,1,3,1,1
68,3,2,1,3,1,1
69,3,2,1,3,1,1
70,3,2,1,3,1,1
71,3,2,1,3,1,1
72,3,2,1,3,1,1
73,3,2,1,3,1,1
74,3,2,1,3,1,1
75,3,2,1,3,1,1
76,3,2,1,3,1,1
77,3,2,1,3,1,1
78,3,2,1,3,1,1
79,3,2,1,3,1,1
80,3,2,1,3,1,1
81,3,2,1,3,1,1
82,3,2,1,3,1,1
83,3,2,1,3,1,1
84,3,2,1,3,1,1
85,3,2,1,3,1,1
86,3,2,1,3,1,1
87,3,2,1,3,1,1
88,3,2,1,3,1,1
89,3,2,1,3,1,1
90,3,2,1,3,1,1
91,3,2,1,3,1,1
92,3,2,1,3,1,1
93,3,2,1,3,1,1
94,3,2,1,3,1,1
95,3,2,1,3,1,1
96,3,2,1,3,1,1
97,3,2,1,3,1,1
98,3,2,1,3,1,1
99,3,2,1,3,1,1
100,3,2,1,3,1,1
