name,value
OK,确认
AGREE,同意
REFUSE,拒绝
CANCEL,取消
SUCCESS,成功
FAIL,失败
BUY,购买
GOTO,前往
TIME_UNIT_MONTH,月
TIME_UNIT_DAY,天
TIME_UNIT_HOUR,小时
TIME_UNIT_MIN,分钟
TIME_UNIT_SEC,秒
INPUT_CANNOT_BE_EMPTY,输入不能为空
STRING_LENGTH_LIMIT,文字上限{0}字
GET_CONFIG_FAILD,读取配置失败
UNABLE_TO_CONNECT_TO_SERVER,无法连接到服务器
INVALID_TOKEN,无效的登录状态
INVALID_ENTRY_ID,无效的目标服务器
SERVER_ERROR,服务器出错了
INVALID_PARAM,参数无效
SERVER_IS_FULL,服务器已满
DUPLICATE_NAME,名字重复
ILLEGAL_NAME_LENGTH,名字长度不合法
ILLEGAL_NAME,名字包含无效字符
PASSPORT_CANT_BE_NULL,账号不能为空
CONFIRM_REPLACE_ARMOR,身上已经穿戴了一件装备，要戴上<color=#00ff00>{name}</color>吗？
USER_LEVEL_INVALID,等级不合法
ARMOR_SCORE_FORMAT,装备评分：{score}
ARMOR_LEVEL_FORMAT,装备等级：{level}
DUNGEON_WIN_RATE,当前胜率：{rate}%
DUNGEON_EXP_ADD_RATE,经验加成：{rate}%
SKILL_LOCK,该技能{level}级开放
SKILL_CONTINER_LOCK,该技能槽{level}级开放
CUR_DUNEGON_IS_LOCK,目标副本还未解锁
CUR_MAP_IS_LOCK,目标地图还未解锁
BOSS_TIAO_ZHAN,BOSS挑战
BOSS_SAO_DANG,BOSS扫荡
BUY_BOSS_FIGHT_COUNT_COST,今天第{0}次购买挑战BOSS次数将消花费 {1}钻石，确定继续吗？(您是VIP{2}，今天还可以购买{3}次)
FAST_FIGHT_COST,每次快速挂机立即获得2小时挂机收益(您是VIP{0}，今天一共可以购买{1}次)
BOSS_FIGHT_WIN_RATE_NOUT_ENOUGH,胜率80%以上才能挑战BOSS
USE_GOODS_TO_GET_BOSS_FIGHT_COUNT,您还有{0}张BOSS挑战券，是否使用？
REACH_USE_MAX_COUNT_TODAY,达到每日使用次数上限
IS_FIGHING_BOSS,挑战中
ALREADY_IN_DUNGEON,返回挂机
DO_CHANGE_DUNGEON,进入挂机
STRENGTH,力量
AGILITY,敏捷
INTELLIGENCE,智力
STAMINA,耐力
MAX_HP,最大生命
MAX_MP,最大魔法
MIN_ATTACK,最小攻击
MAX_ATTACK,最大攻击
DEFEND,防御力
PHYSC_DEF,物抗
MAGIC_DEF,魔抗
HIT,命中
DEHIT,闪避
CRIT,暴击值
DECRIT,韧性
MP_RECOVER,魔法回复
CUR_HP,当前生命
CUR_MP,当前魔法
ATTACK_ADD,增加攻击
HP_ADD,增加生命
HIT_ADD,增加命中
DEFEND_ADD,增加防御力
DECRIT_ADD,增加韧性
DEHIT_ADD,增加闪避
CRIT_ADD,增加暴击值
CRIT_DAMAGE_ADD,增加暴伤
DRAIN_HP,吸血
DEFEND_IGNORE,防御穿透
PHYSC_DEF_IGNORE,物抗穿透
MAGIC_DEF_IGNORE,魔抗穿透
PHYSC_DEF_ADD,增加物抗
MAGIC_DEF_ADD,增加魔抗
DEBUFF_RESIST,异常抵抗
HP_RECOVER,生命回复
BOUNCE_RATE,伤害反弹
EXP_ADD,经验获得
EXP,经验
VIP_EXP,vip经验
COIN_ADD,金币掉落
COIN,金币
GOLD,钻石
MEDAL,武勋
FUSION,熔炼值
ESSENCE,强化精华
GEM_TICKET,宝石券
PRESTIGE,声望
DEBRIS,神魂碎片
SUMMON_SCORE,召唤积分
HONOR,荣誉值
STAR_STONE,星石
HIGH_QUALITY_RATE,装备掉落
ARMOR_ATTR_PART1,<size=30><color=#FFFF00>基础属性：</color></size>
ARMOR_ATTR_PART1_ITEM,<size=25><color=#FFFFFF>{text}</color></size>
ARMOR_ATTR_PART2,<size=30><color=#FFFF00>附加属性：</color></size>
ARMOR_ATTR_PART2_ITEM,<size=25><color=#FF882C>{text}</color></size>
ARMOR_ATTR_PART3,<size=30><color=#FF0000>神器属性：</color></size>
ARMOR_ATTR_PART3_ITEM,<size=25><color=#FF0000>{text}</color></size>
TIME_SECOND,s
TIME_MINUTE,m
TIME_HOUR,h
STRENGTHEN_LEVEL_MAX,强化等级不可超过玩家等级
CONFIRM_INHERIT_AND_REPLACE_ARMOR,是否继承并替换上<color=#00ff00>{name}</color>？（继承原装备的强化等级、神器属性和宝石）
ARMOR_FULL,装备已满
HERO_FULL_IN_BATTLE,出战女神达到限制
HERO_IN_ADVENTURE,女神冒险中，不能出战
XILIAN_ATRRIBUTE_ONLY_ONE,蓝色以下装备不能洗练
GEM_TICKET_NOT_ENOUGH,宝石券不足
GEM_SLOT_OPEN_REQUEST,是否使用{cost}开启宝石孔
BAG_ADD_CAPACITY,每次购买背包可以增加10个背包空间，需要花费100钻石。
SELL_GOODS,回收1个道具可获得金币*{price}，也可以留作纪念。确定回收吗？
GEM_PART,镶嵌部位
WIN_RATE_NOT_ENOUGH,胜率不足
ALREADY_IN_TARGET_DUNGEON,已在目标副本中
ZHU_WU,主武
TOU_KUI,头盔
FU_SHOU,副手
XIONG_JIA,胸甲
JIE_ZI,戒指
HU_TUI,护腿
HU_SHOU,护手
YAO_DAI,腰带
XIANG_LIAN,项链
XIE_ZI,鞋子
SUMMON_REWARD_LEFT,{0}次召唤必得
WHITE,白色
GREEN,绿色
BLUE,蓝色
PURPLE,紫色
ORANGE,橙色
RED,红色
SUMMON_FREE_COUNT,免费次数({0}/{1})
SUMMON_BUTTON_LABEL,召唤{0}次
NOT_ENOUGH,不足
BATTLE_REPORT_ENEMY_APPEAR,发现敌人！Lv.{level}，{name}，HP：{hp}
BATTLE_REPORT_VICTORY,战斗胜利！
BATTLE_REPORT_DEFEAT,战斗失败！
BATTLE_REPORT_AWARD,获得{name}*{count}
BATTLE_REPORT_SEARCH_ENEMY,探索中
BATTLE_REPORT_ROUND_BEGIN,第{count}回合开始
ARENA_TARGET_USER_ERROR,目标玩家数据错误
ARENA_REPORT_SUBTITLE_1,受到了{0}的挑战，战斗{1}。{2}
ARENA_REPORT_SUBTITLE_2,挑战了{0}，战斗{1}。{2}
ARENA_RANK,排名
CONFIRM_SIGN_UP_HONOR_ARENA,在积分赛阶段无法更换阵容！确认以当前阵容参加积分赛？
NOT_CHANGE,不变
ARENA_SHOP_GOODS_DATA_ERROR,商品数据错误
ARENA_SHOP_GOODS_BUY_COUNT_LIMIT,购买数量超过限制
SUCCESS_BUY,购买成功
REACH_MAX_BAG_ARMOR_CAPACITY,包裹中的装备数量已达上限，将无法获取新装备
STILL_FIGHT,仍要战斗
LEFT_TIME,剩余
COST_TIME,耗时
HERO_STATE_FREE,空闲中
HERO_STATE_BATTLE,上阵
HERO_STATE_ADVENTURE,冒险中
ADVENTURE_QUEUE_FULL,你的可冒险女神达到上限，无法进行冒险哦~
DAILY_ADVENTURE_TIMES_EMPTY,你今日的探险次数已经用完了
ADVENTURE_SPEED_CONFIRM,要使用{cost}钻石立即完成此冒险吗?
ADVENTURE_CANCEL_CONFIRM,确定取消该次冒险吗？取消后你将不能获得该次探险的奖励
ARENA_CHALLENGE_REFRESH_SUCC,列表刷新成功
WU_JIANG,战士
MOU_SHI,法师
GONG_JIANG,射手
WU_JIANG_DESC,战士
MOU_SHI_DESC,法师
GONG_JIANG_DESC,射手
ARENA_LEFT_CHALLENGE_COUNT_NOT_ENCOUGH,今日挑战次数已经用完啦
ARMOR_CAN_DEVOUR_EMPTY,没有可吞噬的装备
SKILL_CONTINER_UNSELECT,未选择技能槽
HERO_UNSELECT,请选择一位女神
SPECIAL_ADVENTURE_CHANGE,运气爆棚！恭喜你在战场获得奇遇{star}星级{name}，限时{time}，赶快去冒险吧，过时则会消失哦
USER_INTRODUCTION_DEFAULT,这家伙很懒...
USER_GUILD_NAME_DEFAULT,无公会
SIGN_IN_TITLE,天天签到
SIGN_IN_BUBBLE_TIPS,每天签到可以获得大量奖励，每天0点刷新
SIGN_IN_MAKE_UP_ALERT,消耗{cost}钻石进行第{num}次补签，可以领取错过的奖励
SIGN_IN_TODAY_IS_ENDING,新的一天就要来啦，请稍后再试
GODDESS_BLESS_TITLE,女神的祝福
GODDESS_BLESS_SUBTITLE,Angel Bless
GODDESS_BLESS_DESC_TITLE_2025,创世女神的祝福
GODDESS_BLESS_DESC_TITLE_2023,丰收女神的祝福
GODDESS_BLESS_DESC_TITLE_2019,复仇女神的祝福
GODDESS_BLESS_DESC_TITLE_2014,胜利女神的祝福
GODDESS_BLESS_DESC_TITLE_2012,大地女神的祝福
GODDESS_BLESS_DESC_TITLE_2011,天空女神的祝福
GODDESS_BLESS_DESC_TITLE_2016,女武神的祝福
GODDESS_BLESS_DESC_TYPE_0,金币获得
GODDESS_BLESS_DESC_TYPE_1,经验获得
GODDESS_BLESS_DESC_TYPE_2,熔炼值
GODDESS_BLESS_DESC_TYPE_3,装备掉率
GODDESS_BLESS_DESC_TYPE_4,快速挂机收益
GODDESS_BLESS_DESC_TYPE_5,快速挂机卷使用上限
ACTIVITY_NEWBIE_TITLE,新手活动
ACTIVITY_NEWBIE_TAB_TRIAL_TITLE,七日试炼
ACTIVITY_NEWBIE_TAB_TRIAL_SUBTITLE,7 Days Trial
ACTIVITY_NEWBIE_TAB_LOGIN_TITLE,七日登录
ACTIVITY_NEWBIE_TAB_LOGIN_SUBTITLE,7 Days Log In
ACTIVITY_NEWBIE_TAB_BUNDLE_TITLE,新手礼包
ACTIVITY_NEWBIE_TAB_BUNDLE_SUBTITLE,Beginner's Bundle
ACTIVITY_NEWBIE_TIME_REMAIN_LABEL,活动剩余时间
ACTIVITY_NEWBIE_TIME_REMAIN,{day}天{hour}时{min}分
ACTIVITY_NEWBIE_ALERT_NOT_OPENED,暂未开放
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_0,每日福利
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_1,副本过关
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_2,提升等级
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_4,快速挂机
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_5,竞技挑战
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_6,装备强化
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_7,世界BOSS
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_8,装备熔炼
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_9,装备打造
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_10,女神觉醒
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_11,女神召唤
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_12,天空塔
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_13,女神培养
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_14,提升战力
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_15,高阶女神
ACTIVITY_NEWBIE_TRIAL_TASK_TYPE_99,打折抢购
ACTIVITY_NEWBIE_TRIAL_ACTIVE_NOT_ENOUGH,活跃度不足
ACTIVITY_NEWBIE_TRIAL_BUY_CONFIRM_ALERT,确认要购买吗？
ACTIVITY_HOLIDAY_EXCHANGE_NOT_ENOUGH,兑换次数已达上限
ACTIVITY_GOODS_NOT_ENOUGH,材料不足，无法兑换
TASK_BUTTON_RECEIVE,领 取
TASK_BUTTON_RECEIVED,已领取
TASK_BUTTON_GO,前 往
TASK_BUTTON_NOT_OPENING,未开放
TASK_BUTTON_IN_PROGRESS,进行中
TASK_PROGRESS_TEXT,完成：({cur}/{total})
TASK_SALES_ORIGINAL_PRICE_KEY,原价
WORLD_BOSS_KILLED_MAIL_TITLE,世界BOSS击杀奖励
WORLD_BOSS_RANK_MAIL_TITLE,世界BOSS排名奖励
WORLD_BOSS_KILLED_MAIL_CONTENT,恭喜你在{0} 完成了对{1}的最后一击！\n获得奖励：
WORLD_BOSS_RANK_MAIL_CONTENT,恭喜你在{0} {1}世界BOSS的挑战中排名第{2}！\n获得奖励：
TIME_MORNING,早间
TIME_NOONING,午间
TIME_EVENING,晚间
CHAT_IN_CD,聊天发送过于频繁，请稍后再试
