id,name,quality_level,desc,condition_type,need_reach_num,tab,reward,show
101,资深玩家,1,玩家等级达到3阶100级,1,300,1,1:2:100,1
201,闪亮之星,1,任意女神的SSR+星级达到5,2,1,1,1:2:100,1
301,彩虹的尽头,2,任意女神的UR星级达到5,3,1,1,1:2:100,1
401,五星好评-勋章,2,任意女神的UR+星级达到5,4,1,1,1:2:100,1
501,坚不可摧,2,任意女神装备全套T3装备,5,1,1,1:2:100,1
601,珍贵的宝物,1,装备1件品质为UR+5的圣物,6,1,1,1:2:100,1
602,昂贵的宝物,2,装备6件品质为UR+5的圣物,6,6,1,1:2:100,1
603,无价的宝物,3,装备12件品质为UR+5的圣物,6,12,1,1:2:100,1
701,百炼成铁,1,装备1件+90的圣物,7,1,1,1:2:100,1
702,百炼成钢,2,装备6件+90的圣物,7,6,1,1:2:100,1
703,牢不可破,3,装备12件+90的圣物,7,12,1,1:2:100,1
801,神器爱好者,1,任意1名女神装备6件满星神器,8,1,1,1:2:100,1
802,神器收藏家,2,任意6名女神装备6件满星神器,8,6,1,1:2:100,1
803,神器大亨,3,任意12名女神装备6件满星神器,8,12,1,1:2:100,1
901,人靠衣装,1,任意1名女神装备1件满级橙色内饰,9,1,1,1:2:100,1
1001,盛装出席,2,任意6名女神装备6件满级橙色内饰,10,6,1,1:2:100,1
1002,聚光灯的焦点,3,任意12名女神装备6件满级橙色内饰,10,12,1,1:2:100,1
1101,衣柜太小啦,1,解锁红色品质以上的时装100件,11,100,1,1:2:100,1
1201,无双女神,1,任意1名女神培养度全满,12,1,1,1:2:100,1
1202,精英小队,2,任意6名女神培养度全满,12,6,1,1:2:100,1
1203,完美战团,3,任意12名女神培养度全满,12,12,1,1:2:100,1
1301,开后宫,1,和1名女神誓约,13,1,1,1:2:100,1
1302,后宫之王,2,和20名女神誓约,13,20,1,1:2:100,1
1303,三千佳丽,3,和50名女神誓约,13,50,1,1:2:100,1
1401,宝石满手,1,任意1名女神装备1个15级宝石,14,1,1,1:2:100,1
1501,珠光宝气,2,任意1名女神装备4个15级宝石,15,1,1,1:2:100,1
1502,富贵逼人,3,任意6名女神装备4个15级宝石,15,6,1,1:2:100,1
1601,天赋初现,1,主天赋达到30级,16,30,1,1:2:100,1
1602,天赋过人,2,主天赋达到60级,16,60,1,1:2:100,1
1603,天赋惊人,3,主天赋达到85级,16,85,1,1:2:100,1
1701,星光点点,1,殿堂闪耀值达到500,17,500,1,1:2:100,1
1702,亮闪闪,2,殿堂闪耀值达到1000,17,1000,1,1:2:100,1
