npc_id,name,avatar_path,spine_name,spine_name_shenhe,role,job,level,skill_id_list,skill_id_normal_attack,hp,minatk,maxatk,pdef,mdef,def,defend_ignore_level,hit,dhit,cir,dcir,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
10001,堕落的女武神,2049.png,YKLS0,YKLS0,24,1,120,112202001,0,1346625,54600,60060,2520,3209,3209,7560,9660,23,7350,7350,0,0,0,0,0,0,0,3000,0,0,0
10002,路西法分身,2041.png,HFSTS0,HFSTS0,24,2,120,112901001,0,2693250,109200,120120,5040,6418,6418,15120,19320,46,14700,14700,0,0,0,0,0,0,0,3000,0,0,0
10003,天使试炼长,NPC48.png,NPC48,NPC48,24,3,120,112801001,0,1410750,57200,62920,2640,3362,3362,7920,10120,24,7700,7700,0,0,0,0,0,0,0,3000,0,0,0
10004,噬魂巫女,2040.png,HSZR0,HSZR0,24,1,120,112902001,0,2821500,114400,125840,5280,6724,6724,15840,20240,48,15400,15400,0,0,0,0,0,0,0,3000,0,0,0
10005,战魔女,NPC12.png,NPC12,NPC12,24,2,120,111901001,0,1474875,59800,65780,2760,3515,3515,8280,10580,25,8050,8050,0,0,0,0,0,0,0,3000,0,0,0
10006,白骨姬,2015.png,YD0,YD0,24,3,120,100310001,0,2949750,119600,131560,5520,7029,7029,16560,21160,51,16100,16100,0,0,0,0,0,0,0,3000,0,0,0
10007,影妖,NPC13.png,NPC13,NPC13,24,1,120,112202001,0,1539000,62400,68640,2880,3667,3667,8640,11040,26,8400,8400,0,0,0,0,0,0,0,3000,0,0,0
10008,姑获夫人,2008.png,SN0,SN0,24,2,120,112901001,0,3078000,124800,137280,5760,7335,7335,17280,22080,53,16800,16800,0,0,0,0,0,0,0,3000,0,0,0
10009,龙女,NPC27.png,NPC27,NPC27,24,3,120,112801001,0,1763438,71500,78650,3300,4202,4202,9900,12650,30,9625,9625,0,0,0,0,0,0,0,3000,0,0,0
10010,鬼罗刹,2014.png,NK0,NK0,24,1,120,112902001,0,3526875,143000,157300,6600,8405,8405,19800,25300,61,19250,19250,0,0,0,0,0,0,0,3000,0,0,0
10011,伏羲分身,2026.png,FX0,FX0,24,2,120,110201001,0,1667250,67600,74360,3120,3973,3973,9360,11960,29,9100,9100,0,0,0,0,0,0,0,3000,0,0,0
10012,怨灵公主,2004.png,Y0,Y0,24,3,120,100302001,0,3334500,135200,148720,6240,7946,7946,18720,23920,57,18200,18200,0,0,0,0,0,0,0,3000,0,0,0
10013,判官,NPC26.png,NPC26,NPC26,24,1,120,112202001,0,1731375,70200,77220,3240,4126,4126,9720,12420,30,9450,9450,0,0,0,0,0,0,0,3000,0,0,0
10014,鬼女,2032.png,TZDS0,TZDS0,24,2,120,112901001,0,3462750,140400,154440,6480,8252,8252,19440,24840,59,18900,18900,0,0,0,0,0,0,0,3000,0,0,0
10015,食人魔,NPC22.png,NPC22,NPC22,24,3,120,112801001,0,1795500,72800,80080,3360,4279,4279,10080,12880,31,9800,9800,0,0,0,0,0,0,0,3000,0,0,0
