id,cid,awake_star,consume_goods,add_level,str_add,agi_add,int_add,sta_add
1,1,1,5:3000188:30,10,200,200,200,200
2,1,2,5:3000188:60,10,200,200,200,200
3,1,3,5:3000188:90,10,200,200,200,200
4,1,4,5:3000188:120,10,200,200,200,200
5,1,5,5:3000188:150,10,200,200,200,200
6,2,1,5:3000188:30,10,200,200,200,200
7,2,2,5:3000188:60,10,200,200,200,200
8,2,3,5:3000188:90,10,200,200,200,200
9,2,4,5:3000188:120,10,200,200,200,200
10,2,5,5:3000188:150,10,200,200,200,200
11,3,1,5:3000188:30,10,200,200,200,200
12,3,2,5:3000188:60,10,200,200,200,200
13,3,3,5:3000188:90,10,200,200,200,200
14,3,4,5:3000188:120,10,200,200,200,200
15,3,5,5:3000188:150,10,200,200,200,200
16,4,1,5:3000188:30,10,200,200,200,200
17,4,2,5:3000188:60,10,200,200,200,200
18,4,3,5:3000188:90,10,200,200,200,200
19,4,4,5:3000188:120,10,200,200,200,200
20,4,5,5:3000188:150,10,200,200,200,200
21,5,1,5:3000188:30,10,200,200,200,200
22,5,2,5:3000188:60,10,200,200,200,200
23,5,3,5:3000188:90,10,200,200,200,200
24,5,4,5:3000188:120,10,200,200,200,200
25,5,5,5:3000188:150,10,200,200,200,200
26,6,1,5:3000188:30,10,200,200,200,200
27,6,2,5:3000188:60,10,200,200,200,200
28,6,3,5:3000188:90,10,200,200,200,200
29,6,4,5:3000188:120,10,200,200,200,200
30,6,5,5:3000188:150,10,200,200,200,200
31,7,1,5:3000188:30,10,200,200,200,200
32,7,2,5:3000188:60,10,200,200,200,200
33,7,3,5:3000188:90,10,200,200,200,200
34,7,4,5:3000188:120,10,200,200,200,200
35,7,5,5:3000188:150,10,200,200,200,200
36,8,1,5:3000188:10|5:3000127:20,10,240,240,240,240
37,8,2,5:3000188:20|5:3000127:40,10,240,240,240,240
38,8,3,5:3000188:30|5:3000127:60,10,240,240,240,240
39,8,4,5:3000188:40|5:3000127:80,10,240,240,240,240
40,8,5,5:3000188:50|5:3000127:100,10,240,240,240,240
41,9,1,5:3000188:10|5:3000127:20,10,240,240,240,240
42,9,2,5:3000188:20|5:3000127:40,10,240,240,240,240
43,9,3,5:3000188:30|5:3000127:60,10,240,240,240,240
44,9,4,5:3000188:40|5:3000127:80,10,240,240,240,240
45,9,5,5:3000188:50|5:3000127:100,10,240,240,240,240
46,10,1,5:3000188:10|5:3000127:20,10,240,240,240,240
47,10,2,5:3000188:20|5:3000127:40,10,240,240,240,240
48,10,3,5:3000188:30|5:3000127:60,10,240,240,240,240
49,10,4,5:3000188:40|5:3000127:80,10,240,240,240,240
50,10,5,5:3000188:50|5:3000127:100,10,240,240,240,240
51,11,1,5:3000188:10|5:3000127:20,10,240,240,240,240
52,11,2,5:3000188:20|5:3000127:40,10,240,240,240,240
53,11,3,5:3000188:30|5:3000127:60,10,240,240,240,240
54,11,4,5:3000188:40|5:3000127:80,10,240,240,240,240
55,11,5,5:3000188:50|5:3000127:100,10,240,240,240,240
56,12,1,5:3000188:10|5:3000127:20,10,240,240,240,240
57,12,2,5:3000188:20|5:3000127:40,10,240,240,240,240
58,12,3,5:3000188:30|5:3000127:60,10,240,240,240,240
59,12,4,5:3000188:40|5:3000127:80,10,240,240,240,240
60,12,5,5:3000188:50|5:3000127:100,10,240,240,240,240
61,13,1,5:3000188:10|5:3000127:20,10,240,240,240,240
62,13,2,5:3000188:20|5:3000127:40,10,240,240,240,240
63,13,3,5:3000188:30|5:3000127:60,10,240,240,240,240
64,13,4,5:3000188:40|5:3000127:80,10,240,240,240,240
65,13,5,5:3000188:50|5:3000127:100,10,240,240,240,240
66,14,1,5:3000188:10|5:3000127:20,10,240,240,240,240
67,14,2,5:3000188:20|5:3000127:40,10,240,240,240,240
68,14,3,5:3000188:30|5:3000127:60,10,240,240,240,240
69,14,4,5:3000188:40|5:3000127:80,10,240,240,240,240
70,14,5,5:3000188:50|5:3000127:100,10,240,240,240,240
71,15,1,5:3000188:30,10,200,200,200,200
72,15,2,5:3000188:60,10,200,200,200,200
73,15,3,5:3000188:90,10,200,200,200,200
74,15,4,5:3000188:120,10,200,200,200,200
75,15,5,5:3000188:150,10,200,200,200,200
76,16,1,5:3000188:10|5:3000127:20,10,240,240,240,240
77,16,2,5:3000188:20|5:3000127:40,10,240,240,240,240
78,16,3,5:3000188:30|5:3000127:60,10,240,240,240,240
79,16,4,5:3000188:40|5:3000127:80,10,240,240,240,240
80,16,5,5:3000188:50|5:3000127:100,10,240,240,240,240
81,17,1,5:3000188:10|5:3000127:20,10,240,240,240,240
82,17,2,5:3000188:20|5:3000127:40,10,240,240,240,240
83,17,3,5:3000188:30|5:3000127:60,10,240,240,240,240
84,17,4,5:3000188:40|5:3000127:80,10,240,240,240,240
85,17,5,5:3000188:50|5:3000127:100,10,240,240,240,240
86,18,1,5:3000188:10|5:3000127:20,10,240,240,240,240
87,18,2,5:3000188:20|5:3000127:40,10,240,240,240,240
88,18,3,5:3000188:30|5:3000127:60,10,240,240,240,240
89,18,4,5:3000188:40|5:3000127:80,10,240,240,240,240
90,18,5,5:3000188:50|5:3000127:100,10,240,240,240,240
