id,cid,type,dialogue
1,1,1,哎？！我是在做梦吗？！你是修好传送门的那个人类吧？
2,1,2,哎？！我是在做梦吗？！你是修好传送门的那个人类吧？
3,1,3,啊，原来是你，我正检查晶石之泉的状态，请不要打扰我。
4,1,3,嗯？找我有事吗？如果有什么想聊的话，可以去我的房间。
5,1,3,这片森林我曾经来过很多次，但还有很多地方没有探索过。
6,2,1,啊！你是之前打扰我午睡的家伙！我芬妮尔今天非咬掉你的头！
7,2,2,要我帮你开发钻石矿？那下次见面最好带几块美味的肉排给我。
8,2,2,其实我可不想天天睡觉，如果你雇佣我工作的话我或许会考虑。
9,2,2,又是你啊，有美味的肉排吗？有的话我就去帮你打理矿坑喔！
10,2,3,看看这块切割精美的钻石！这可是我的得意之作！
11,2,3,嗯……我好像发现了新的矿脉，等着我的好消息吧！
12,2,3,ZZZ……啊！是你！别看着我发笑！我……我才没偷懒睡午觉呢！
13,2,3,是你啊！有兴趣帮我找一只从月亮上来的兔子么？把她抓来给我，我就帮你去开采新的钻石矿。
14,2,3,好吧，我猜熙玉那只兔子又找你告我的状了。别总怀疑我！我可没兴趣拿她当晚餐！
15,2,3,你问我和那个叫悠妮丝的家伙关系如何？她火辣的身材很合我口味喔！不过看见我就会脸红着跑开让我很不爽！
16,3,1,你是之前那个人类？！我是不死鸟妮菲塔莉，请多关照啦！
17,3,2,你说想让我帮你去火山开采资源？嗯……让我再考虑一下吧。
18,3,3,是你啊，我也会偶尔出来走走，天天呆在火山口可太闷了。
19,3,3,我打算让火山喷发一次！这样可以带来更多有价值的资源！
20,3,3,和其他怕火的人类不同，你好像很喜欢来火山这边呢！
21,4,1,之前都没来得及自我介绍，奴家名为雪樱，九尾的长女，幸会。
22,4,2,嗯，感谢你对我的信任，但我还没想好是否要与你达成同盟。
23,4,2,是你啊，我刚寻找完炼金所需的材料，要一块散散步吗？
24,4,2,用炼金术合成宝石的技巧还是非常困难的，请再给我一点时间。
25,4,3,今天的炼金也很成功，希望宝石的产量也能让您满意。
26,4,3,啊啦，您今天只是单纯来看望我的？这可真让我受宠若惊了……
27,4,3,啊！是您啊，有兴趣今晚陪我去赏樱吗？今晚是个好时间呢！
28,5,1,哟，没想到在这会遇到你，我是北海巨妖艾琳诺，请多指教了。
29,5,2,我正在恢复神核祭坛的力量，完成后应该可以帮你不少忙。
30,5,2,我理解你急需我帮助，但我还没准备好，恐怕你得再等等。
31,5,3,我偶尔会来山脚的瀑布处休息，毕竟我还是喜欢呆在水里。
32,5,3,啊！你吓到我了，请不要在做祷告的时候打扰我喔……
33,5,3,你是来巡视的吗？祭坛一切正常，今天的收获也很丰富。
34,6,1,咦？你是人类吗？！除了嫦娥姐姐外我还是第一次遇到别的人类呢！
35,6,2,难道是这条路吗……啊！是你啊，我好像迷路了，能带我回幻兽之森吗？
36,6,2,呃……抱歉，我只是想试试是否能通过传送门回到月宫，没想到连接到了这里……
37,6,2,能让我躲一下吗？有只自称芬妮尔的狼，一直在矿山那边找我，我感觉不大妙……
38,6,3,主人，那个……您最近喂过芬妮尔吗？我总感觉她在用一种观赏美食的眼神盯着我……
39,6,3,主人，和我去矿山看看如何？我和芬妮尔又发现一大片新矿脉呢！
40,6,3,哼哼！主人您来得正好，要见识一下雪樱姐姐新教我的宝石炼金技巧吗？
41,6,3,听说来了一位名叫悠妮丝的米诺陶洛斯族幻兽呢！这下可不用怕芬妮尔欺负我了！
42,7,1,哎？这道传送门是你开的吗？呼……太好了，悠妮丝正愁在迷宫里找不到出去的路呢……
43,7,2,是你啊，那个……悠妮丝正准备把钻石原矿送到工坊去，如果方便的话，能帮我一块搬吗……？
44,7,2,嗯？你是上次见到的那个人类啊……看来世界比悠妮丝想象得要小呢……
45,7,2,唔，有话请一会儿再说，悠妮丝刚刚发现一大片新的钻石矿脉呢……
46,7,3,那个……您最好去工坊看看，我听说狼人芬妮尔饿得够呛，正抓熙玉那只兔子当午餐呐……
47,7,3,呜……搬运矿石的推车好像坏了，如果您不赶时间的话，能帮悠妮丝修一下吗？
48,7,3,哎？您是专门来找悠妮丝的吗？别担心……就算迷宫再复杂，我也能分清方向呢……
49,7,1,哎？！你怎么找到这来了？已经到圣诞节了吗？
50,7,2,啊，原来是你啊。你有看到一个盒子吗？嗯……方方的，上面缠着彩丝带。
51,7,2,啊啊啊啊！下面的人小心！我要掉下来啦！
52,7,2,糟了，我把雪橇给弄丢了，这下子又要罚站了……要不你陪我一起站吧！
53,7,3,主人，人家的角又开始痒痒了，能让人家在你身上蹭蹭吗？
54,7,3,主人，主人，今年圣诞节你想要什么礼物呢？姜饼，巧克力，还，是，我？
55,7,3,雪下得好大……今晚什么时候出门呢主人？孩子们一定都等不及了。
