id,group,difficulty,boss_name,kill_reward,avatar_path,spine_name,image_id,role,quality,star,job,level,skill_id_list,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
1,1,1,混沌之主,5:3000108:1|5:3000104:1|1:2:100,NPC44.png,NPC44,6,22,6,5,1,100,111801001|111802001,611881,5700000,560000,600000,20444,45600,15200,15200,2999999,120,20000,1000,0,10,0,0,50,1000,1000,3000,0,0,0
2,1,2,混沌之主,5:3000127:1|5:3000048:5|5:3000107:1,NPC44.png,NPC44,6,22,7,5,1,100,111801001|111802001,1079159,8550000,840000,900000,30666,68400,22800,22800,4499999,180,30000,1500,0,10,0,0,70,1200,1200,3000,0,0,0
3,2,1,业火妖姬,5:3000108:1|5:3000104:1|1:2:100,NPC30.png,NPC30,8,22,6,5,2,105,112602001|100204001,2964204,7695000,672000,720000,21262,59736,19760,19760,2999999,125,23000,1150,0,20,0,0,90,1200,1200,3000,0,0,0
4,2,2,业火妖姬,5:3000127:1|5:3000049:5|5:3000107:1,NPC30.png,NPC30,8,22,7,5,2,105,112602001|100204001,12051710,11542500,1008000,1080000,31893,89604,29640,29640,4499999,188,34500,1725,0,20,0,0,110,1440,1440,3000,0,0,0
5,3,1,堕落天使,5:3000108:1|5:3000104:1|1:2:100,NPC53.png,NPC53,1,22,6,5,3,110,100304001|110401001,22486975,10388250,806400,864000,22112,78254,25688,25688,2999999,130,26450,1323,0,30,0,0,130,1300,1300,3000,0,0,0
6,3,2,堕落天使,5:3000127:1|5:2000006:1|5:3000107:1,NPC53.png,NPC53,1,22,7,5,3,110,100304001|110401001,307584695,15582375,1209600,1296000,33168,117381,38532,38532,4499999,195,39675,1985,0,30,0,0,150,1560,1560,3000,0,0,0
7,4,1,虚空死灵,5:3000108:1|5:3000104:1|1:2:100,NPC40.png,NPC40,4,22,6,5,1,115,100204001|112602001,506305800,14024138,967680,1036800,22997,102513,33394,33394,2999999,135,30418,1521,0,40,0,0,170,1500,1500,3000,0,0,0
8,4,2,虚空死灵,5:3000127:1|1:2:500|5:3000107:1,NPC40.png,NPC40,4,22,7,5,1,115,100204001|112602001,633144600,21036207,1451520,1555200,34496,153770,50091,50091,4499999,203,45627,2282,0,40,0,0,190,1800,1800,3000,0,0,0
9,5,1,堕落蛇灵,5:3000108:1|5:3000104:1|1:2:100,NPC36.png,NPC36,2,22,6,5,2,120,113102001|112401001,905997312,18932586,1161216,1244160,23917,134292,43413,43413,2999999,140,34980,1749,0,50,0,0,210,1700,1700,3000,0,0,0
10,5,2,堕落蛇灵,5:3000127:1|5:3000188:20|5:3000107:1,NPC36.png,NPC36,2,22,7,5,2,120,113102001|112401001,1082344032,28398879,1741824,1866240,35876,201438,65120,65120,4499999,210,52470,2624,0,50,0,0,230,2040,2040,3000,0,0,0
11,6,1,混沌之羽,5:3000108:1|5:3000104:1|1:2:100,NPC54.png,NPC54,5,22,6,5,3,125,112602001|112901001,307584695,25558991,1393459,1492992,24873,175922,56437,56437,2999999,145,40227,2011,0,60,0,0,250,1900,1900,3000,0,0,0
12,6,2,混沌之羽,5:3000127:1|5:2000011:20|5:3000107:1,NPC54.png,NPC54,5,22,7,5,3,125,112602001|112901001,506305800,38338487,2090189,2239488,37310,263883,84656,84656,4499999,218,60341,3017,0,60,0,0,270,2280,2280,3000,0,0,0
13,7,1,混沌魔蛇,5:3000108:1|5:3000104:1|1:2:100,NPC31.png,NPC31,7,22,6,5,1,130,113301001|112202001,633144600,34504637,1672151,1791590,25868,230458,73367,73367,2999999,150,46261,2313,0,70,0,0,290,2000,2000,3000,0,0,0
14,7,2,混沌魔蛇,5:3000127:1|5:1000010:1|5:3000107:1,NPC31.png,NPC31,7,22,7,5,1,130,113301001|112202001,905997312,51756956,2508227,2687385,38802,345687,110051,110051,4499999,225,69392,3470,0,70,0,0,310,2400,2400,3000,0,0,0
15,8,1,混沌蝎王,5:3000108:1|5:3000104:1|1:2:100,NPC15.png,NPC15,9,22,6,5,2,135,100304001|112801001,1082344032,46581260,2006581,2149908,26903,301901,95378,95378,2999999,155,53200,2660,0,80,0,0,330,2300,2300,3000,0,0,0
16,8,2,混沌蝎王,5:3000127:1|5:3000107:1|5:3000107:1,NPC15.png,NPC15,9,22,7,5,2,135,100304001|112801001,307584695,69871890,3009872,3224862,40355,452852,143067,143067,4499999,233,79800,3990,0,80,0,0,350,2760,2760,3000,0,0,0
17,9,1,混沌冰龙,5:3000108:1|5:3000104:1|1:2:100,NPC55.png,NPC55,3,22,6,5,3,140,112202001|110301001,506305800,62884701,2407897,2579890,27979,395490,123991,123991,2999999,160,61180,3059,0,90,0,0,370,2600,2600,3000,0,0,0
18,9,2,混沌冰龙,5:3000127:1|5:6000001:5|5:3000107:1,NPC55.png,NPC55,3,22,7,5,3,140,112202001|110301001,633144600,94327052,3611846,3869835,41969,593235,185987,185987,4499999,240,91770,4589,0,90,0,0,390,3120,3120,3000,0,0,0
19,10,1,虚空魔灵,5:3000108:1|5:3000104:1|1:2:100,NPC47.png,NPC47,10,22,6,5,1,145,110102001|115001001,905997312,84894347,2889477,3095868,29098,518092,161188,161188,2999999,165,70358,3518,0,100,0,0,410,2900,2900,3000,0,0,0
20,10,2,虚空魔灵,5:3000127:1|5:3000188:20|5:3000107:1,NPC47.png,NPC47,10,22,7,5,1,145,110102001|115001001,1082344032,127341521,4334216,4643802,43647,777138,241782,241782,4499999,248,105537,5277,0,100,0,0,430,3480,3480,3000,0,0,0
21,11,1,混沌之主,5:3000108:1|5:3000105:1|1:2:100,NPC44.png,NPC44,6,22,6,5,2,150,100303001|100203001,307584695,95081669,3207319,3436414,30262,551767,178919,178919,2999999,170,77393,3870,0,110,0,0,450,3200,3200,3000,0,0,0
22,11,2,混沌之主,5:3000127:1|5:3000048:5|5:3000107:1,NPC44.png,NPC44,6,22,7,5,2,150,100303001|100203001,506305800,142622504,4810979,5154621,45393,827651,268379,268379,4499999,255,116090,5805,0,110,0,0,470,3840,3840,3000,0,0,0
23,12,1,业火妖姬,5:3000108:1|5:3000105:1|1:2:100,NPC30.png,NPC30,8,22,6,5,3,155,111301001|111302001,633144600,106491469,3560125,3814419,31473,587632,198600,198600,2999999,175,85133,4257,0,120,0,0,490,3500,3500,3000,0,0,0
24,12,2,业火妖姬,5:3000127:1|5:3000049:5|5:3000107:1,NPC30.png,NPC30,8,22,7,5,3,155,111301001|111302001,905997312,159737204,5340188,5721629,47210,881448,297900,297900,4499999,263,127700,6386,0,120,0,0,510,4200,4200,3000,0,0,0
25,13,1,堕落天使,5:3000108:1|5:3000105:1|1:2:100,NPC53.png,NPC53,1,22,6,5,1,160,112202001|100304001,1082344032,119270445,3951738,4234005,32732,625828,220446,220446,2999999,180,93646,4682,0,130,0,0,530,3800,3800,3000,0,0,0
26,13,2,堕落天使,5:3000127:1|5:2000006:1|5:3000107:1,NPC53.png,NPC53,1,22,7,5,1,160,112202001|100304001,307584695,178905668,5927607,6351008,49098,938742,330669,330669,4499999,270,140469,7023,0,130,0,0,550,4560,4560,3000,0,0,0
27,14,1,虚空死灵,5:3000108:1|5:3000105:1|1:2:100,NPC40.png,NPC40,4,22,6,5,2,165,100304001|100304001,506305800,133582899,4386430,4699746,34041,666507,244695,244695,2999999,185,103010,5151,0,140,0,0,570,4100,4100,3000,0,0,0
28,14,2,虚空死灵,5:3000127:1|1:2:500|5:3000107:1,NPC40.png,NPC40,4,22,7,5,2,165,100304001|100304001,633144600,200374349,6579645,7049619,51062,999761,367043,367043,4499999,278,154515,7727,0,140,0,0,590,4920,4920,3000,0,0,0
29,15,1,堕落蛇灵,5:3000108:1|5:3000105:1|1:2:100,NPC36.png,NPC36,2,22,6,5,3,170,115101001|115102001,905997312,149612846,4868937,5216718,35402,709830,271612,271612,2999999,190,113311,5666,0,150,0,0,610,4400,4400,3000,0,0,0
30,15,2,堕落蛇灵,5:3000127:1|5:3000188:20|5:3000107:1,NPC36.png,NPC36,2,22,7,5,3,170,115101001|115102001,1082344032,224419269,7303406,7825077,53103,1064745,407418,407418,4499999,285,169967,8499,0,150,0,0,630,5280,5280,3000,0,0,0
31,16,1,混沌之羽,5:3000108:1|5:3000105:1|1:2:100,NPC54.png,NPC54,5,22,6,5,1,175,100304001|100307001,307584695,167566388,5404520,5790557,36818,755969,301489,301489,2999999,195,124643,6232,0,160,0,0,650,4700,4700,3000,0,0,0
32,16,2,混沌之羽,5:3000127:1|5:2000011:20|5:3000107:1,NPC54.png,NPC54,5,22,7,5,1,175,100304001|100307001,506305800,251349582,8106780,8685836,55227,1133954,452234,452234,4499999,293,186965,9348,0,160,0,0,670,5640,5640,3000,0,0,0
33,17,1,混沌魔蛇,5:3000108:1|5:3000105:1|1:2:100,NPC31.png,NPC31,7,22,6,5,2,180,113201001|112801001,633144600,187674355,5999017,6427518,38291,805107,334653,334653,2999999,200,137107,6855,0,170,0,0,690,5000,5000,3000,0,0,0
34,17,2,混沌魔蛇,5:3000127:1|5:1000010:1|5:3000107:1,NPC31.png,NPC31,7,22,7,5,2,180,113201001|112801001,905997312,281511533,8998526,9641277,57437,1207661,501980,501980,4499999,300,205661,10283,0,170,0,0,710,6000,6000,3000,0,0,0
35,18,1,混沌蝎王,5:3000108:1|5:3000105:1|1:2:100,NPC15.png,NPC15,9,22,6,5,3,185,100307001|112901001,1082344032,210195277,6658909,7134545,39823,857439,371465,371465,2999999,205,150818,7541,0,180,0,0,730,5300,5300,3000,0,0,0
36,18,2,混沌蝎王,5:3000127:1|5:3000107:1|5:3000107:1,NPC15.png,NPC15,9,22,7,5,3,185,100307001|112901001,307584695,315292916,9988364,10701818,59735,1286159,557198,557198,4499999,308,226227,11312,0,180,0,0,750,6360,6360,3000,0,0,0
37,19,1,混沌冰龙,5:3000108:1|5:3000105:1|1:2:100,NPC55.png,NPC55,3,22,6,5,1,190,112801001|112202001,506305800,235418710,7391389,7919345,41416,913173,412326,412326,2999999,210,165899,8295,0,190,0,0,770,5600,5600,3000,0,0,0
38,19,2,混沌冰龙,5:3000127:1|5:6000001:5|5:3000107:1,NPC55.png,NPC55,3,22,7,5,1,190,112801001|112202001,633144600,353128065,11087084,11879018,62124,1369760,618489,618489,4499999,315,248849,12443,0,190,0,0,790,6720,6720,3000,0,0,0
