cfg_id,hero_quality_level,light_up_pos,attr_type_type,attr_type,attr_value,attr_type_type2,attr_type2,attr_value2
1,1,1,2,3,20,2,1,150
2,1,2,2,3,40,2,1,220
3,2,1,2,3,20,2,1,220
4,2,2,2,3,30,2,1,330
5,2,3,2,3,50,2,1,550
6,3,1,2,3,30,2,1,260
7,3,2,2,3,40,2,1,400
8,3,3,2,3,80,2,1,800
9,4,1,2,3,40,2,1,440
10,4,2,2,3,60,2,1,580
11,4,3,2,3,90,2,1,880
12,4,4,2,3,100,2,1,1030
13,5,1,2,3,60,2,1,580
14,5,2,2,3,70,2,1,770
15,5,3,2,3,110,2,1,1150
16,5,4,2,3,140,2,1,1350
17,6,1,2,3,70,2,1,700
18,6,2,2,3,90,2,1,900
19,6,3,2,3,100,2,1,1060
20,6,4,2,3,120,2,1,1220
21,6,5,2,3,140,2,1,1430
22,7,1,2,3,110,2,1,1140
23,7,2,2,3,150,2,1,1500
24,7,3,2,3,170,2,1,1760
25,7,4,2,3,200,2,1,2000
26,7,5,2,3,240,2,1,2400
